#Cont nu	incident	atten	VAR4	VAR5	nu dr	inci dr
3.971000000000000e+3	2.334000000000000e-7	2.334000000000000e-7			1.479000000000000e-1	3.964000000000000e-3
3.951000000000000e+3	2.370000000000000e-7	2.370000000000000e-7			1.472000000000000e-1	3.976000000000000e-3
3.932000000000000e+3	2.405000000000000e-7	2.405000000000000e-7			1.464000000000000e-1	3.988000000000000e-3
3.912000000000000e+3	2.442000000000000e-7	2.442000000000000e-7			1.457000000000000e-1	4.000000000000000e-3
3.892000000000000e+3	2.479000000000000e-7	2.479000000000000e-7			1.450000000000000e-1	4.012000000000000e-3
3.873000000000000e+3	2.516000000000000e-7	2.516000000000000e-7			1.442000000000000e-1	4.024000000000000e-3
3.854000000000000e+3	2.554000000000000e-7	2.554000000000000e-7			1.435000000000000e-1	4.037000000000000e-3
3.835000000000000e+3	2.593000000000000e-7	2.593000000000000e-7			1.428000000000000e-1	4.049000000000000e-3
3.815000000000000e+3	2.632000000000000e-7	2.632000000000000e-7			1.421000000000000e-1	4.061000000000000e-3
3.796000000000000e+3	2.672000000000000e-7	2.672000000000000e-7			1.414000000000000e-1	4.073000000000000e-3
3.777000000000000e+3	2.712000000000000e-7	2.712000000000000e-7			1.407000000000000e-1	4.086000000000000e-3
3.759000000000000e+3	2.753000000000000e-7	2.753000000000000e-7			1.400000000000000e-1	4.097000000000000e-3
3.740000000000000e+3	2.795000000000000e-7	2.795000000000000e-7			1.393000000000000e-1	4.097000000000000e-3
3.721000000000000e+3	2.837000000000000e-7	2.837000000000000e-7			1.386000000000000e-1	4.096000000000000e-3
3.703000000000000e+3	2.880000000000000e-7	2.880000000000000e-7			1.379000000000000e-1	4.095000000000000e-3
3.684000000000000e+3	2.923000000000000e-7	2.923000000000000e-7			1.372000000000000e-1	4.093000000000000e-3
3.666000000000000e+3	2.967000000000000e-7	2.967000000000000e-7			1.365000000000000e-1	4.092000000000000e-3
3.648000000000000e+3	3.012000000000000e-7	3.012000000000000e-7			1.358000000000000e-1	4.091000000000000e-3
3.629000000000000e+3	3.058000000000000e-7	3.058000000000000e-7			1.352000000000000e-1	4.090000000000000e-3
3.611000000000000e+3	3.104000000000000e-7	3.104000000000000e-7			1.345000000000000e-1	4.088000000000000e-3
3.593000000000000e+3	3.151000000000000e-7	3.151000000000000e-7			1.338000000000000e-1	4.087000000000000e-3
3.575000000000000e+3	3.198000000000000e-7	3.198000000000000e-7			1.332000000000000e-1	4.086000000000000e-3
3.558000000000000e+3	3.247000000000000e-7	3.247000000000000e-7			1.325000000000000e-1	4.085000000000000e-3
3.540000000000000e+3	3.296000000000000e-7	3.296000000000000e-7			1.318000000000000e-1	4.083000000000000e-3
3.522000000000000e+3	3.346000000000000e-7	3.346000000000000e-7			1.312000000000000e-1	4.082000000000000e-3
3.505000000000000e+3	3.396000000000000e-7	3.396000000000000e-7			1.305000000000000e-1	4.081000000000001e-3
3.487000000000000e+3	3.447000000000000e-7	3.447000000000000e-7			1.299000000000000e-1	4.076000000000000e-3
3.470000000000000e+3	3.500000000000000e-7	3.500000000000000e-7			1.292000000000000e-1	4.061000000000000e-3
3.452000000000000e+3	3.552000000000000e-7	3.552000000000000e-7			1.286000000000000e-1	4.044000000000000e-3
3.435000000000000e+3	3.605999999999999e-7	3.605999999999999e-7			1.279000000000000e-1	4.028000000000000e-3
3.418000000000000e+3	3.660999999999999e-7	3.660999999999999e-7			1.273000000000000e-1	4.012000000000000e-3
3.401000000000000e+3	3.716000000000000e-7	3.716000000000000e-7			1.267000000000000e-1	3.996000000000001e-3
3.384000000000000e+3	3.772000000000000e-7	3.772000000000000e-7			1.260000000000000e-1	3.979000000000000e-3
3.367000000000000e+3	3.829000000000000e-7	3.829000000000000e-7			1.254000000000000e-1	3.963000000000000e-3
3.350000000000000e+3	3.886999999999999e-7	3.886999999999999e-7			1.248000000000000e-1	3.947000000000000e-3
3.334000000000000e+3	3.946000000000000e-7	3.946000000000000e-7			1.242000000000000e-1	3.930999999999999e-3
3.317000000000000e+3	4.005000000000000e-7	4.005000000000000e-7			1.235000000000000e-1	3.915000000000000e-3
3.301000000000000e+3	4.066000000000000e-7	4.066000000000000e-7			1.229000000000000e-1	3.900000000000000e-3
3.284000000000000e+3	4.126999999999999e-7	4.126999999999999e-7			1.223000000000000e-1	3.884000000000000e-3
3.268000000000000e+3	4.189999999999999e-7	4.189999999999999e-7			1.217000000000000e-1	3.868000000000000e-3
3.251000000000000e+3	4.252999999999999e-7	4.252999999999999e-7			1.211000000000000e-1	3.853000000000000e-3
3.235000000000000e+3	4.316999999999999e-7	4.316999999999999e-7			1.205000000000000e-1	3.837000000000000e-3
3.219000000000000e+3	4.381999999999999e-7	4.381999999999999e-7			1.199000000000000e-1	3.817000000000000e-3
3.203000000000000e+3	4.449000000000000e-7	4.449000000000000e-7			1.193000000000000e-1	3.781000000000000e-3
3.187000000000000e+3	4.515999999999999e-7	4.515999999999999e-7			1.187000000000000e-1	3.744000000000000e-3
