#Cont nu	total qheat	no qheat	qheat & PAHs
8.728000000000000e+3	3.445000000000000e-30	3.447000000000000e-30	3.447000000000000e-30
7.897000000000000e+3	3.810000000000000e-30	3.814000000000000e-30	3.814000000000000e-30
7.146000000000000e+3	4.238000000000000e-30	4.244000000000000e-30	4.244000000000000e-30
6.466000000000000e+3	4.755000000000000e-30	4.765000000000000e-30	4.765000000000000e-30
5.850000000000000e+3	5.401000000000000e-30	5.418000000000000e-30	5.418000000000000e-30
5.294000000000000e+3	6.236000000000000e-30	6.264000000000000e-30	6.264000000000000e-30
4.790000000000000e+3	7.363000000000000e-30	7.410000000000000e-30	7.410000000000000e-30
4.545000000000000e+3	8.123000000000000e-30	8.183000000000000e-30	8.183000000000000e-30
4.522000000000000e+3	8.203000000000000e-30	8.265000000000000e-30	8.265000000000000e-30
4.500000000000000e+3	8.284000000000000e-30	8.348000000000000e-30	8.348000000000000e-30
4.477000000000000e+3	8.367000000000000e-30	8.432000000000000e-30	8.432000000000000e-30
4.455000000000000e+3	8.451000000000000e-30	8.518000000000000e-30	8.518000000000000e-30
4.433000000000000e+3	8.537000000000000e-30	8.605000000000000e-30	8.605000000000000e-30
4.411000000000000e+3	8.624000000000000e-30	8.694000000000000e-30	8.694000000000000e-30
4.389000000000000e+3	8.712000000000000e-30	8.785000000000000e-30	8.785000000000000e-30
4.367000000000000e+3	8.802000000000000e-30	8.876000000000000e-30	8.876000000000000e-30
4.345000000000000e+3	8.895000000000000e-30	8.970000000000000e-30	8.970000000000000e-30
4.323000000000000e+3	8.989000000000000e-30	9.067000000000000e-30	9.067000000000000e-30
4.302000000000000e+3	9.086000000000000e-30	9.165000000000000e-30	9.165000000000000e-30
4.280000000000000e+3	9.184000000000000e-30	9.265000000000000e-30	9.265000000000000e-30
4.259000000000000e+3	9.283000000000000e-30	9.367000000000000e-30	9.367000000000000e-30
4.238000000000000e+3	9.385000000000000e-30	9.471000000000000e-30	9.471000000000000e-30
4.217000000000000e+3	9.488000000000000e-30	9.576000000000000e-30	9.576000000000000e-30
4.196000000000000e+3	9.593000000000000e-30	9.683000000000000e-30	9.683000000000000e-30
4.175000000000000e+3	9.700000000000000e-30	9.792000000000000e-30	9.792000000000000e-30
4.154000000000000e+3	9.809000000000000e-30	9.904000000000000e-30	9.904000000000000e-30
4.133000000000000e+3	9.919000000000000e-30	1.002000000000000e-29	1.002000000000000e-29
4.113000000000000e+3	1.003000000000000e-29	1.013000000000000e-29	1.013000000000000e-29
4.092000000000000e+3	1.015000000000000e-29	1.025000000000000e-29	1.025000000000000e-29
4.072000000000000e+3	1.027000000000000e-29	1.037000000000000e-29	1.037000000000000e-29
4.051000000000000e+3	1.039000000000000e-29	1.050000000000000e-29	1.050000000000000e-29
4.031000000000000e+3	1.051000000000000e-29	1.062000000000000e-29	1.062000000000000e-29
4.011000000000000e+3	1.064000000000000e-29	1.075000000000000e-29	1.075000000000000e-29
3.991000000000000e+3	1.077000000000000e-29	1.088000000000000e-29	1.088000000000000e-29
3.971000000000000e+3	1.090000000000000e-29	1.101000000000000e-29	1.101000000000000e-29
3.951000000000000e+3	1.103000000000000e-29	1.115000000000000e-29	1.115000000000000e-29
3.932000000000000e+3	1.116000000000000e-29	1.129000000000000e-29	1.129000000000000e-29
3.912000000000000e+3	1.130000000000000e-29	1.143000000000000e-29	1.143000000000000e-29
3.892000000000000e+3	1.144000000000000e-29	1.157000000000000e-29	1.157000000000000e-29
3.873000000000000e+3	1.158000000000000e-29	1.172000000000000e-29	1.172000000000000e-29
3.854000000000000e+3	1.173000000000000e-29	1.187000000000000e-29	1.187000000000000e-29
3.835000000000000e+3	1.188000000000000e-29	1.202000000000000e-29	1.202000000000000e-29
3.815000000000000e+3	1.204000000000000e-29	1.218000000000000e-29	1.218000000000000e-29
3.796000000000000e+3	1.219000000000000e-29	1.234000000000000e-29	1.234000000000000e-29
3.777000000000000e+3	1.235000000000000e-29	1.251000000000000e-29	1.251000000000000e-29
