VAR1	nFn/Hb=1448.8	nFn	VAR4	VAR5	VAR6	VAR7	VAR8
3.410000000000000e-5	2.070000000000000e-3	2.990000000000000e+0	2.990000000000000e+0	3.002000000000000e+0			
3.480000000000000e-5	2.110000000000000e-3	3.040000000000000e+0	3.040000000000000e+0	3.057000000000000e+0			
3.550000000000000e-5	2.140000000000000e-3	3.100000000000000e+0	3.100000000000000e+0	3.113000000000000e+0			
3.620000000000000e-5	2.180000000000000e-3	3.160000000000000e+0	3.160000000000000e+0	3.169000000000000e+0			
3.690000000000000e-5	2.220000000000000e-3	3.210000000000000e+0	3.210000000000000e+0	3.227000000000000e+0			
3.770000000000000e-5	2.260000000000000e-3	3.270000000000000e+0	3.270000000000000e+0	3.285000000000000e+0			
3.840000000000000e-5	2.300000000000000e-3	3.330000000000000e+0	3.330000000000000e+0	3.344000000000000e+0			
3.920000000000000e-5	2.350000000000000e-3	3.390000000000000e+0	3.390000000000000e+0	3.404000000000000e+0			
4.000000000000000e-5	2.390000000000000e-3	3.450000000000000e+0	3.450000000000000e+0	3.465000000000000e+0			
4.080000000000000e-5	2.430000000000000e-3	3.510000000000000e+0	3.510000000000000e+0	3.527000000000000e+0			
4.160000000000000e-5	2.470000000000000e-3	3.580000000000000e+0	3.580000000000000e+0	3.590000000000000e+0			
4.250000000000000e-5	2.520000000000000e-3	3.640000000000000e+0	3.640000000000000e+0	3.654000000000000e+0			
4.330000000000000e-5	2.560000000000000e-3	3.710000000000000e+0	3.710000000000000e+0	3.719000000000000e+0			
4.420000000000000e-5	2.610000000000000e-3	3.770000000000000e+0	3.770000000000000e+0	3.785000000000000e+0			
4.510000000000000e-5	2.660000000000000e-3	3.840000000000000e+0	3.840000000000000e+0	3.852000000000000e+0			
4.600000000000000e-5	2.700000000000000e-3	3.910000000000000e+0	3.910000000000000e+0	3.920000000000000e+0			
4.690000000000000e-5	2.750000000000000e-3	3.980000000000000e+0	3.980000000000000e+0	3.990000000000000e+0			
4.790000000000000e-5	2.800000000000000e-3	4.050000000000000e+0	4.050000000000000e+0	4.060000000000000e+0			
4.880000000000000e-5	2.850000000000000e-3	4.120000000000000e+0	4.120000000000000e+0	4.131000000000000e+0			
4.980000000000000e-5	2.900000000000000e-3	4.190000000000000e+0	4.190000000000000e+0	4.204000000000000e+0			
5.080000000000000e-5	2.950000000000000e-3	4.260000000000000e+0	4.260000000000000e+0	4.277000000000000e+0			
5.180000000000000e-5	3.000000000000000e-3	4.340000000000000e+0	4.340000000000000e+0	4.352000000000000e+0			
5.290000000000000e-5	3.050000000000000e-3	4.410000000000000e+0	4.410000000000000e+0	4.428000000000000e+0			
5.390000000000000e-5	3.110000000000000e-3	4.490000000000000e+0	4.490000000000000e+0	4.506000000000000e+0			
5.500000000000000e-5	3.160000000000000e-3	4.570000000000000e+0	4.570000000000000e+0	4.584000000000000e+0			
5.610000000000000e-5	3.220000000000000e-3	4.650000000000000e+0	4.650000000000000e+0	4.664000000000000e+0			
5.730000000000000e-5	3.270000000000000e-3	4.730000000000001e+0	4.730000000000001e+0	4.745000000000000e+0			
5.840000000000000e-5	3.330000000000000e-3	4.810000000000000e+0	4.810000000000000e+0	4.827000000000000e+0			
5.960000000000000e-5	3.390000000000000e-3	4.900000000000000e+0	4.900000000000000e+0	4.910999999999999e+0			
6.080000000000000e-5	3.450000000000000e-3	4.980000000000001e+0	4.980000000000001e+0	4.996000000000001e+0			
6.200000000000000e-5	3.510000000000000e-3	5.070000000000000e+0	5.070000000000000e+0	5.082000000000000e+0			
6.329999999999999e-5	3.570000000000000e-3	5.150000000000000e+0	5.150000000000000e+0	5.170000000000000e+0			
6.449999999999999e-5	3.630000000000000e-3	5.240000000000000e+0	5.240000000000000e+0	5.259000000000000e+0			
6.580000000000000e-5	3.690000000000000e-3	5.330000000000000e+0	5.330000000000000e+0	5.350000000000000e+0			
6.719999999999999e-5	3.750000000000000e-3	5.430000000000000e+0	5.430000000000000e+0	5.442000000000000e+0			
6.850000000000000e-5	3.820000000000000e-3	5.519999999999999e+0	5.519999999999999e+0	5.535999999999999e+0			
6.990000000000001e-5	3.880000000000000e-3	5.610000000000000e+0	5.610000000000000e+0	5.631000000000000e+0			
7.130000000000000e-5	3.950000000000000e-3	5.710000000000000e+0	5.710000000000000e+0	5.727000000000000e+0			
7.270000000000000e-5	4.020000000000000e-3	5.810000000000000e+0	5.810000000000000e+0	5.825000000000000e+0			
7.420000000000000e-5	4.090000000000000e-3	5.910000000000000e+0	5.910000000000000e+0	5.925000000000000e+0			
7.570000000000000e-5	4.160000000000000e-3	6.010000000000000e+0	6.010000000000000e+0	6.027000000000000e+0			
7.720000000000000e-5	4.230000000000000e-3	6.110000000000000e+0	6.110000000000000e+0	6.130000000000000e+0			
7.880000000000000e-5	4.300000000000000e-3	6.220000000000000e+0	6.220000000000000e+0	6.234000000000000e+0			
8.040000000000000e-5	4.370000000000000e-3	6.320000000000000e+0	6.320000000000000e+0	6.341000000000000e+0			
8.200000000000000e-5	4.450000000000000e-3	6.430000000000000e+0	6.430000000000000e+0	6.449000000000000e+0			
