freq	gra abs	gra scat	sil abs	sil scat
1.015000000000000e-2	2.410000000000000e-24	2.340000000000000e-26	2.190000000000000e-23	5.200000000000001e-27
1.045800000000000e-2	2.530000000000000e-24	2.650000000000000e-26	1.710000000000000e-23	3.450000000000000e-27
1.077500000000000e-2	2.650000000000000e-24	2.990000000000000e-26	1.270000000000000e-23	2.240000000000000e-27
1.110300000000000e-2	2.780000000000000e-24	3.370000000000000e-26	9.290000000000000e-24	1.870000000000000e-27
1.144000000000000e-2	2.920000000000000e-24	3.810000000000000e-26	6.760000000000000e-24	1.870000000000000e-27
1.178700000000000e-2	3.070000000000000e-24	4.300000000000000e-26	4.980000000000000e-24	2.310000000000000e-27
1.214500000000000e-2	3.230000000000000e-24	4.860000000000000e-26	3.690000000000000e-24	3.200000000000000e-27
1.251300000000000e-2	3.400000000000000e-24	5.470000000000000e-26	2.960000000000000e-24	4.310000000000000e-27
1.289300000000000e-2	3.580000000000000e-24	6.170000000000000e-26	2.420000000000000e-24	5.780000000000000e-27
1.328500000000000e-2	3.770000000000000e-24	6.950000000000000e-26	2.200000000000000e-24	7.370000000000000e-27
1.368800000000000e-2	3.970000000000000e-24	7.820000000000000e-26	2.040000000000000e-24	9.330000000000000e-27
1.410400000000000e-2	4.180000000000000e-24	8.830000000000000e-26	2.050000000000000e-24	1.130000000000000e-26
1.453200000000000e-2	4.390000000000000e-24	9.970000000000002e-26	2.070000000000000e-24	1.370000000000000e-26
1.497300000000000e-2	4.620000000000000e-24	1.130000000000000e-25	2.140000000000000e-24	1.630000000000000e-26
1.542700000000000e-2	4.870000000000000e-24	1.270000000000000e-25	2.200000000000000e-24	1.930000000000000e-26
1.589600000000000e-2	5.130000000000000e-24	1.430000000000000e-25	2.230000000000000e-24	2.240000000000000e-26
1.637800000000000e-2	5.420000000000000e-24	1.620000000000000e-25	2.240000000000000e-24	2.600000000000000e-26
1.687500000000000e-2	5.720000000000000e-24	1.830000000000000e-25	2.230000000000000e-24	2.990000000000000e-26
1.738800000000000e-2	6.040000000000000e-24	2.060000000000000e-25	2.210000000000000e-24	3.460000000000000e-26
1.791600000000000e-2	6.380000000000001e-24	2.330000000000000e-25	2.200000000000000e-24	4.000000000000000e-26
1.845900000000000e-2	6.750000000000000e-24	2.640000000000000e-25	2.200000000000000e-24	4.610000000000000e-26
1.902000000000000e-2	7.129999999999999e-24	2.990000000000000e-25	2.210000000000000e-24	5.280000000000000e-26
1.959700000000000e-2	7.540000000000000e-24	3.380000000000000e-25	2.240000000000000e-24	6.040000000000000e-26
2.019200000000000e-2	7.980000000000000e-24	3.820000000000000e-25	2.290000000000000e-24	6.910000000000000e-26
2.080500000000000e-2	8.440000000000000e-24	4.330000000000000e-25	2.340000000000000e-24	7.910000000000002e-26
2.143700000000000e-2	8.930000000000000e-24	4.900000000000000e-25	2.380000000000000e-24	9.040000000000000e-26
2.208700000000000e-2	9.430000000000000e-24	5.540000000000000e-25	2.440000000000000e-24	1.030000000000000e-25
2.275800000000000e-2	9.970000000000000e-24	6.270000000000000e-25	2.490000000000000e-24	1.170000000000000e-25
2.344900000000000e-2	1.050000000000000e-23	7.090000000000000e-25	2.550000000000000e-24	1.320000000000000e-25
2.416100000000000e-2	1.110000000000000e-23	8.020000000000000e-25	2.610000000000000e-24	1.500000000000000e-25
2.489400000000000e-2	1.180000000000000e-23	9.100000000000000e-25	2.670000000000000e-24	1.700000000000000e-25
2.565000000000000e-2	1.250000000000000e-23	1.030000000000000e-24	2.720000000000000e-24	1.930000000000000e-25
2.642800000000000e-2	1.320000000000000e-23	1.170000000000000e-24	2.770000000000000e-24	2.190000000000000e-25
2.723100000000000e-2	1.400000000000000e-23	1.330000000000000e-24	2.830000000000000e-24	2.480000000000000e-25
2.805700000000000e-2	1.480000000000000e-23	1.510000000000000e-24	2.880000000000000e-24	2.800000000000000e-25
2.890900000000000e-2	1.560000000000000e-23	1.710000000000000e-24	2.940000000000000e-24	3.170000000000000e-25
2.978700000000000e-2	1.650000000000000e-23	1.930000000000000e-24	2.990000000000000e-24	3.580000000000000e-25
3.069100000000000e-2	1.740000000000000e-23	2.190000000000000e-24	3.050000000000000e-24	4.040000000000000e-25
3.162300000000000e-2	1.840000000000000e-23	2.490000000000000e-24	3.120000000000000e-24	4.570000000000000e-25
3.258300000000000e-2	1.950000000000000e-23	2.830000000000000e-24	3.190000000000000e-24	5.160000000000000e-25
3.357200000000000e-2	2.060000000000000e-23	3.220000000000000e-24	3.260000000000000e-24	5.840000000000000e-25
3.459100000000000e-2	2.180000000000000e-23	3.650000000000001e-24	3.330000000000000e-24	6.590000000000000e-25
3.564100000000000e-2	2.310000000000000e-23	4.130000000000000e-24	3.410000000000000e-24	7.410000000000000e-25
3.672300000000000e-2	2.440000000000000e-23	4.670000000000000e-24	3.500000000000000e-24	8.350000000000000e-25
3.783800000000000e-2	2.570000000000000e-23	5.290000000000000e-24	3.590000000000000e-24	9.389999999999998e-25
3.898600000000000e-2	2.720000000000000e-23	5.980000000000000e-24	3.680000000000000e-24	1.060000000000000e-24
4.017000000000000e-2	2.870000000000000e-23	6.750000000000000e-24	3.780000000000001e-24	1.190000000000000e-24
4.138900000000000e-2	3.030000000000000e-23	7.630000000000000e-24	3.880000000000000e-24	1.340000000000000e-24
4.264600000000000e-2	3.200000000000000e-23	8.620000000000000e-24	3.980000000000000e-24	1.520000000000000e-24
4.394000000000000e-2	3.370000000000000e-23	9.660000000000000e-24	4.090000000000000e-24	1.700000000000000e-24
4.527400000000000e-2	3.560000000000000e-23	1.080000000000000e-23	4.210000000000000e-24	1.910000000000000e-24
4.664900000000000e-2	3.750000000000000e-23	1.210000000000000e-23	4.330000000000000e-24	2.150000000000000e-24
4.806500000000000e-2	3.950000000000000e-23	1.360000000000000e-23	4.460000000000000e-24	2.410000000000000e-24
4.952400000000000e-2	4.150000000000000e-23	1.490000000000000e-23	4.590000000000000e-24	2.700000000000000e-24
5.102700000000000e-2	4.360000000000000e-23	1.650000000000000e-23	4.740000000000000e-24	3.020000000000000e-24
5.257600000000000e-2	4.580000000000000e-23	1.820000000000000e-23	4.880000000000000e-24	3.370000000000000e-24
5.417200000000000e-2	4.810000000000000e-23	2.000000000000000e-23	5.040000000000000e-24	3.760000000000000e-24
5.581700000000000e-2	5.029999999999999e-23	2.170000000000000e-23	5.210000000000001e-24	4.200000000000000e-24
5.751100000000000e-2	5.270000000000000e-23	2.360000000000000e-23	5.380000000000000e-24	4.680000000000000e-24
5.925700000000000e-2	5.509999999999999e-23	2.570000000000000e-23	5.560000000000000e-24	5.220000000000000e-24
6.105600000000000e-2	5.760000000000000e-23	2.770000000000000e-23	5.750000000000001e-24	5.780000000000000e-24
6.290900000000001e-2	6.000000000000000e-23	2.960000000000000e-23	5.950000000000000e-24	6.380000000000001e-24
6.481900000000000e-2	6.249999999999999e-23	3.160000000000000e-23	6.160000000000000e-24	7.050000000000000e-24
6.678700000000000e-2	6.520000000000000e-23	3.380000000000000e-23	6.370000000000000e-24	7.780000000000000e-24
6.881400000000000e-2	6.789999999999999e-23	3.590000000000000e-23	6.610000000000000e-24	8.530000000000000e-24
7.090299999999999e-2	7.069999999999999e-23	3.800000000000000e-23	6.860000000000001e-24	9.330000000000000e-24
7.305600000000000e-2	7.360000000000000e-23	4.020000000000000e-23	7.129999999999999e-24	1.020000000000000e-23
7.527400000000000e-2	7.660000000000000e-23	4.259999999999999e-23	7.400000000000000e-24	1.120000000000000e-23
7.755900000000000e-2	7.970000000000000e-23	4.490000000000000e-23	7.720000000000000e-24	1.210000000000000e-23
7.991300000000000e-2	8.280000000000000e-23	4.720000000000000e-23	8.050000000000000e-24	1.310000000000000e-23
