VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
-4.233131947990044e-1				3.773000000000000e-1	Na 1
5.379449592914868e-1				3.451000000000000e+0	Na 2
7.218930162149574e-1				5.271000000000000e+0	Na 3
8.606972740520387e-1				7.256000000000000e+0	Na 4
1.003029470553618e+0				1.007000000000000e+1	Na 5
1.103803720955957e+0				1.270000000000000e+1	Na 6
1.186956335465412e+0				1.538000000000000e+1	Na 7
1.287577809078705e+0				1.939000000000000e+1	Na 8
1.343211590179747e+0				2.204000000000000e+1	Na 9
2.033021444682910e+0				1.079000000000000e+2	Na10
2.084933574936716e+0				1.216000000000000e+2	Na11
-2.540668415405572e-1				5.570999999999999e-1	Mg 1
4.493154614916006e-2				1.109000000000000e+0	Mg 2
7.704838094311078e-1				5.894999999999999e+0	Mg 3
9.058498266423187e-1				8.050999999999998e+0	Mg 4
1.017033339298780e+0				1.040000000000000e+1	Mg 5
1.138302698166281e+0				1.375000000000000e+1	Mg 6
1.218272853571447e+0				1.653000000000000e+1	Mg 7
1.291146761731885e+0				1.955000000000000e+1	Mg 8
1.381295623003826e+0				2.406000000000000e+1	Mg 9
1.429913697763754e+0				2.691000000000000e+1	Mg10
2.110926242266420e+0				1.291000000000000e+2	Mg11
2.158362492095249e+0				1.440000000000000e+2	Mg12
-3.582285293460408e-1				4.383000000000000e-1	Al 1
1.420764610732848e-1				1.387000000000000e+0	Al 2
3.193143040905120e-1				2.086000000000000e+0	Al 3
9.440382800544181e-1				8.790999999999998e+0	Al 4
1.051538390515327e+0				1.126000000000000e+1	Al 5
1.145196406114182e+0				1.397000000000000e+1	Al 6
1.249442961442582e+0				1.776000000000000e+1	Al 7
1.318897714627487e+0				2.084000000000000e+1	Al 8
1.384890796530554e+0				2.426000000000000e+1	Al 9
1.468199586072612e+0				2.939000000000000e+1	Al10
1.513217600067939e+0				3.260000000000000e+1	Al11
2.184123354239671e+0				1.528000000000000e+2	Al12
2.227115082589125e+0				1.687000000000000e+2	Al13
-2.149550416684559e-1				6.095999999999999e-1	Si 1
7.990446766672072e-2				1.202000000000000e+0	Si 2
3.921691494897360e-1				2.467000000000000e+0	Si 3
5.206145218782358e-1				3.316000000000000e+0	Si 4
1.089905111439398e+0				1.230000000000000e+1	Si 5
1.176669932668150e+0				1.502000000000000e+1	Si 6
1.256477206241677e+0				1.805000000000000e+1	Si 7
1.346744054604849e+0				2.222000000000000e+1	Si 8
1.412628520544375e+0				2.586000000000000e+1	Si 9
1.464638559095033e+0				2.915000000000000e+1	Si10
1.544564097496043e+0				3.504000000000000e+1	Si11
1.586137025230793e+0				3.855999999999999e+1	Si12
2.253095585849031e+0				1.791000000000000e+2	Si13
2.294025094095323e+0				1.968000000000000e+2	Si14
-1.108103879529268e-1				7.748000000000000e-1	P  1
1.631613749770184e-1				1.456000000000000e+0	P  2
3.469394626989906e-1				2.223000000000000e+0	P  3
5.761108941208397e-1				3.768000000000000e+0	P  4
6.802448370426076e-1				4.789000000000000e+0	P  5
1.207903530386051e+0				1.614000000000000e+1	P  6
1.284205067701794e+0				1.924000000000000e+1	P  7
