VAR1	VAR2	VAR3	VAR4	VAR5
4.956310679611651e-4	1.531500000000000e+15	5.509400000000000e+4		
5.260517799352750e-4	1.625500000000000e+15	5.669900000000000e+4		
5.583171521035599e-4	1.725200000000000e+15	5.835200000000000e+4		
5.924595469255663e-4	1.830700000000000e+15	6.005200000000000e+4		
6.286731391585761e-4	1.942600000000000e+15	6.180200000000000e+4		
6.670226537216829e-4	2.061100000000000e+15	6.360300000000000e+4		
7.076375404530744e-4	2.186600000000000e+15	6.545700000000000e+4		
7.506796116504854e-4	2.319600000000000e+15	6.736500000000000e+4		
7.962783171521037e-4	2.460500000000000e+15	6.932800000000000e+4		
8.445631067961165e-4	2.609700000000000e+15	7.134800000000000e+4		
8.957605177993528e-4	2.767900000000000e+15	7.342700000000000e+4		
9.499676375404531e-4	2.935400000000000e+15	7.556700000000000e+4		
1.007411003236246e-3	3.112900000000000e+15	7.777000000000000e+4		
1.068252427184466e-3	3.300900000000000e+15	8.003600000000000e+4		
1.132718446601942e-3	3.500100000000000e+15	8.236900000000000e+4		
1.201003236245955e-3	3.711100000000000e+15	8.476900000000000e+4		
1.273365695792880e-3	3.934700000000000e+15	8.724000000000000e+4		
1.350000000000000e-3	4.171500000000000e+15	8.978200000000000e+4		
1.431197411003236e-3	4.422400000000000e+15	9.239900000000000e+4		
1.517216828478964e-3	4.688200000000000e+15	9.509100000000000e+4		
1.608317152103560e-3	4.969700000000000e+15	9.786300000000000e+4		
1.704854368932039e-3	5.268000000000000e+15	1.007100000000000e+5		
1.807119741100324e-3	5.584000000000000e+15	1.036500000000000e+5		
1.915469255663430e-3	5.918800000000000e+15	1.066700000000000e+5		
2.030226537216828e-3	6.273400000000000e+15	1.097800000000000e+5		
2.151812297734628e-3	6.649100000000000e+15	1.129800000000000e+5		
2.280614886731392e-3	7.047100000000000e+15	1.162700000000000e+5		
2.417055016181230e-3	7.468700000000000e+15	1.196600000000000e+5		
2.561585760517799e-3	7.915300000000000e+15	1.231500000000000e+5		
2.714724919093851e-3	8.388500000000000e+15	1.267400000000000e+5		
2.876925566343042e-3	8.889700000000000e+15	1.304300000000000e+5		
3.048770226537217e-3	9.420700000000000e+15	1.342300000000000e+5		
3.230809061488673e-3	9.983200000000000e+15	1.381400000000000e+5		
3.423624595469256e-3	1.057900000000000e+16	1.421700000000000e+5		
3.627831715210356e-3	1.121000000000000e+16	1.463100000000000e+5		
3.844336569579288e-3	1.187900000000000e+16	1.505800000000000e+5		
4.073462783171521e-3	1.258700000000000e+16	1.549700000000000e+5		
4.316504854368932e-3	1.333800000000000e+16	1.594800000000000e+5		
4.573786407766990e-3	1.413300000000000e+16	1.641300000000000e+5		
4.846278317152104e-3	1.497500000000000e+16	1.689200000000000e+5		
5.134951456310680e-3	1.586700000000000e+16	1.738400000000000e+5		
5.440776699029126e-3	1.681200000000000e+16	1.789000000000000e+5		
5.764724919093851e-3	1.781300000000000e+16	1.841200000000000e+5		
6.108090614886731e-3	1.887400000000000e+16	1.894800000000000e+5		
