u	LTE	log(t)=4	log t 2	log t 0	log t -2	log t -4	log t -6	log t -8	log t -10
6.642000000000000e-4	2.010000000000000e+6	4.805900000000000e+5	4.805900000000000e+5	4.805900000000000e+5	4.805900000000000e+5	4.805900000000000e+5	1.586800000000000e+5	2.178000000000000e+3	2.194700000000000e+1
7.331000000000000e-4	2.703000000000000e+6	6.459800000000000e+5	6.459800000000000e+5	6.459800000000000e+5	6.459900000000000e+5	6.459900000000000e+5	1.808600000000000e+5	2.370000000000000e+3	2.385100000000000e+1
8.091000000000000e-4	3.633000000000000e+6	8.682800000000000e+5	8.682800000000000e+5	8.682800000000000e+5	8.682800000000000e+5	8.682800000000000e+5	2.047400000000000e+5	2.577900000000000e+3	2.591600000000000e+1
8.930000000000000e-4	4.884000000000000e+6	1.167000000000000e+6	1.167000000000000e+6	1.167000000000000e+6	1.167000000000000e+6	1.167100000000000e+6	2.304100000000000e+5	2.803100000000000e+3	2.815400000000000e+1
9.856000000000002e-4	6.565000000000000e+6	1.568600000000000e+6	1.568600000000000e+6	1.568600000000000e+6	1.568600000000000e+6	1.568700000000000e+6	2.579500000000000e+5	3.047000000000000e+3	3.058100000000000e+1
1.088000000000000e-3	8.826000000000000e+6	2.108100000000000e+6	2.108100000000000e+6	2.108100000000000e+6	2.108200000000000e+6	2.108700000000000e+6	2.874900000000000e+5	3.311200000000000e+3	3.321200000000000e+1
1.201000000000000e-3	1.186000000000000e+7	2.833300000000000e+6	2.833300000000000e+6	2.833300000000000e+6	2.833300000000000e+6	2.835200000000000e+6	3.191500000000000e+5	3.597300000000000e+3	3.606400000000000e+1
1.325000000000000e-3	1.595000000000000e+7	3.807900000000000e+6	3.807900000000000e+6	3.807900000000000e+6	3.807900000000000e+6	3.811600000000000e+6	3.531000000000000e+5	3.907300000000000e+3	3.915400000000000e+1
1.463000000000000e-3	2.144000000000000e+7	5.118400000000000e+6	5.118400000000000e+6	5.118400000000000e+6	5.118400000000000e+6	5.117400000000000e+6	3.894900000000000e+5	4.242900000000000e+3	4.250200000000000e+1
1.614000000000000e-3	2.881000000000000e+7	6.882900000000000e+6	6.882900000000000e+6	6.882900000000000e+6	6.882900000000000e+6	6.845600000000000e+6	4.285400000000000e+5	4.606300000000000e+3	4.612900000000000e+1
1.782000000000000e-3	3.873000000000000e+7	9.263300000000000e+6	9.263300000000000e+6	9.263300000000000e+6	9.263300000000000e+6	9.096000000000000e+6	4.704500000000000e+5	4.999800000000000e+3	5.005700000000000e+1
1.966000000000000e-3	5.205000000000000e+7	1.248000000000000e+7	1.248000000000000e+7	1.248000000000000e+7	1.248000000000000e+7	1.196600000000000e+7	5.154600000000000e+5	5.425700000000000e+3	5.431000000000000e+1
2.170000000000000e-3	6.996000000000000e+7	1.683000000000000e+7	1.683000000000000e+7	1.683000000000000e+7	1.683000000000000e+7	1.554300000000000e+7	5.638400000000000e+5	5.886800000000000e+3	5.891600000000000e+1
2.395000000000000e-3	9.403000000000000e+7	2.271000000000000e+7	2.271000000000000e+7	2.271000000000000e+7	2.271000000000000e+7	1.989600000000000e+7	6.158600000000000e+5	6.385900000000000e+3	6.390100000000000e+1
2.644000000000000e-3	1.264000000000000e+8	3.064700000000000e+7	3.064700000000000e+7	3.064700000000000e+7	3.064700000000000e+7	2.507400000000000e+7	6.718300000000000e+5	6.925900000000000e+3	6.929700000000000e+1
2.918000000000000e-3	1.698000000000000e+8	4.134500000000000e+7	4.134500000000000e+7	4.134500000000000e+7	4.134600000000000e+7	3.110700000000000e+7	7.320800000000000e+5	7.510200000000000e+3	7.513600000000000e+1
3.220000000000000e-3	2.282000000000000e+8	5.603300000000000e+7	5.603300000000000e+7	5.603300000000000e+7	5.603300000000000e+7	3.810800000000000e+7	7.970400000000000e+5	8.142300000000000e+3	8.145300000000000e+1
3.554000000000000e-3	3.067000000000000e+8	7.552900000000000e+7	7.552900000000000e+7	7.552900000000000e+7	7.552900000000000e+7	4.589400000000000e+7	8.669600000000000e+5	8.825900000000000e+3	8.828600000000000e+1
3.923000000000000e-3	4.121000000000000e+8	1.017400000000000e+8	1.017400000000000e+8	1.017400000000000e+8	1.017400000000000e+8	5.454200000000000e+7	9.423100000000000e+5	9.565300000000000e+3	9.567700000000000e+1
4.330000000000000e-3	5.537000000000000e+8	1.369400000000000e+8	1.369400000000000e+8	1.369400000000000e+8	1.369400000000000e+8	6.404500000000000e+7	1.023500000000000e+6	1.036500000000000e+4	1.036700000000000e+2
4.779000000000000e-3	7.439000000000000e+8	1.842300000000000e+8	1.842300000000000e+8	1.842300000000000e+8	1.842300000000000e+8	7.439600000000000e+7	1.111100000000000e+6	1.122900000000000e+4	1.123100000000000e+2
5.274000000000000e-3	9.993000000000000e+8	2.477300000000000e+8	2.477300000000000e+8	2.477300000000000e+8	2.477300000000000e+8	8.559400000000000e+7	1.205600000000000e+6	1.216200000000000e+4	1.216400000000000e+2
5.821000000000000e-3	1.342000000000000e+9	3.330000000000000e+8	3.330000000000000e+8	3.330000000000000e+8	3.330000000000000e+8	9.764400000000000e+7	1.307400000000000e+6	1.317100000000000e+4	1.317300000000000e+2
6.425000000000000e-3	1.803000000000000e+9	4.474700000000000e+8	4.474700000000000e+8	4.474700000000000e+8	4.474700000000000e+8	1.105600000000000e+8	1.417300000000000e+6	1.426100000000000e+4	1.426300000000000e+2
7.091000000000000e-3	2.422000000000000e+9	6.011300000000000e+8	6.011300000000000e+8	6.011300000000000e+8	6.011300000000000e+8	1.243700000000000e+8	1.535800000000000e+6	1.543800000000000e+4	1.543900000000000e+2
7.827000000000000e-3	3.252000000000000e+9	8.073900000000000e+8	8.073900000000000e+8	8.073900000000000e+8	8.073800000000000e+8	1.391100000000000e+8	1.663500000000000e+6	1.670800000000000e+4	1.671000000000000e+2
8.638000000000000e-3	4.367000000000000e+9	1.084200000000000e+9	1.084200000000000e+9	1.084200000000000e+9	1.084200000000000e+9	1.548200000000000e+8	1.801300000000000e+6	1.808000000000000e+4	1.808000000000000e+2
9.534000000000002e-3	5.863000000000000e+9	1.513600000000000e+9	1.513600000000000e+9	1.513600000000000e+9	1.513200000000000e+9	1.783900000000000e+8	2.027400000000000e+6	2.033700000000000e+4	2.033800000000000e+2
1.015000000000000e-2	7.077000000000000e+9	1.823800000000000e+9	1.823800000000000e+9	1.823800000000000e+9	1.822600000000000e+9	1.899800000000000e+8	2.131200000000000e+6	2.137200000000000e+4	2.137300000000000e+2
1.046000000000000e-2	7.737000000000000e+9	1.994400000000000e+9	1.994400000000000e+9	1.994400000000000e+9	1.992400000000000e+9	1.957300000000000e+8	2.183100000000000e+6	2.189000000000000e+4	2.189100000000000e+2
1.078000000000000e-2	8.459000000000000e+9	2.180900000000000e+9	2.180900000000000e+9	2.180900000000000e+9	2.177700000000000e+9	2.016000000000000e+8	2.236200000000000e+6	2.242000000000000e+4	2.242000000000000e+2
1.111000000000000e-2	9.248000000000000e+9	2.384800000000000e+9	2.384800000000000e+9	2.384800000000000e+9	2.379700000000000e+9	2.075800000000000e+8	2.290600000000000e+6	2.296200000000000e+4	2.296200000000000e+2
1.144000000000000e-2	1.011000000000000e+10	2.607800000000000e+9	2.607800000000000e+9	2.607800000000000e+9	2.599800000000000e+9	2.136900000000000e+8	2.346200000000000e+6	2.351600000000000e+4	2.351700000000000e+2
1.179000000000000e-2	1.105000000000000e+10	2.851500000000000e+9	2.851500000000000e+9	2.851500000000000e+9	2.839400000000000e+9	2.199100000000000e+8	2.403000000000000e+6	2.408400000000000e+4	2.408500000000000e+2
1.215000000000000e-2	1.208000000000000e+10	3.117900000000000e+9	3.117900000000000e+9	3.118000000000000e+9	3.099900000000000e+9	2.262500000000000e+8	2.461200000000000e+6	2.466400000000000e+4	2.466500000000000e+2
1.252000000000000e-2	1.321000000000000e+10	3.409200000000000e+9	3.409200000000000e+9	3.409300000000000e+9	3.382900000000000e+9	2.327200000000000e+8	2.520700000000000e+6	2.525800000000000e+4	2.525900000000000e+2
1.290000000000000e-2	1.444000000000000e+10	3.727700000000000e+9	3.727700000000000e+9	3.727700000000000e+9	3.689700000000000e+9	2.393100000000000e+8	2.581600000000000e+6	2.586600000000000e+4	2.586600000000000e+2
1.329000000000000e-2	1.579000000000000e+10	4.075800000000000e+9	4.075800000000000e+9	4.075800000000000e+9	4.021900000000000e+9	2.460400000000000e+8	2.643800000000000e+6	2.648700000000000e+4	2.648800000000000e+2
1.369000000000000e-2	1.726000000000000e+10	4.456300000000000e+9	4.456300000000000e+9	4.456300000000000e+9	4.381000000000000e+9	2.528900000000000e+8	2.707500000000000e+6	2.712300000000000e+4	2.712300000000000e+2
1.411000000000000e-2	1.887000000000000e+10	4.872300000000000e+9	4.872300000000000e+9	4.872300000000000e+9	4.768500000000000e+9	2.598900000000000e+8	2.772600000000000e+6	2.777300000000000e+4	2.777300000000000e+2
1.453000000000000e-2	2.062000000000000e+10	5.327000000000000e+9	5.327000000000000e+9	5.327000000000000e+9	5.185900000000000e+9	2.670200000000000e+8	2.839100000000000e+6	2.843700000000000e+4	2.843800000000000e+2
1.498000000000000e-2	2.254000000000000e+10	5.823900000000000e+9	5.823900000000000e+9	5.824000000000000e+9	5.634500000000000e+9	2.742900000000000e+8	2.907200000000000e+6	2.911700000000000e+4	2.911800000000000e+2
