VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16	VAR17	VAR18	VAR19	VAR20	VAR21	VAR22
6.357000000000001e+2	2.025000000000000e-20	6.973000000000000e+1	1.267000000000000e-19	5.949000000000000e+1	1.045000000000000e-18	8.746000000000000e+0	3.264000000000000e-19	6.060000000000000e+0	6.597000000000000e-19	6.108000000000000e+0	5.996000000000000e-18	1.288000000000000e+0	4.872000000000000e-19								
6.484000000000000e+2	1.924000000000000e-20	7.043000000000001e+1	1.249000000000000e-19	6.008000000000000e+1	1.021000000000000e-18	8.817000000000000e+0	3.258000000000000e-19	6.108000000000000e+0	6.514999999999999e-19	6.157000000000000e+0	5.938999999999999e-18	1.299000000000000e+0	5.158000000000000e-19								
6.614000000000000e+2	1.827000000000000e-20	7.112999999999999e+1	1.231000000000000e-19	6.068000000000000e+1	9.988000000000000e-19	8.887000000000000e+0	3.251000000000000e-19	6.157000000000000e+0	6.446000000000000e-19	6.206000000000001e+0	5.880999999999999e-18	1.309000000000000e+0	5.483000000000000e-19								
6.747000000000001e+2	1.735000000000000e-20	7.184000000000000e+1	1.213000000000000e-19	6.129000000000000e+1	9.765000000000000e-19	8.958000000000000e+0	3.244000000000000e-19	6.206000000000001e+0	6.389000000000000e-19	6.256000000000000e+0	5.822999999999999e-18	1.320000000000000e+0	5.846999999999999e-19								
6.882000000000001e+2	1.648000000000000e-20	7.256000000000000e+1	1.196000000000000e-19	6.190000000000000e+1	9.545999999999998e-19	9.030000000000000e+0	3.237000000000000e-19	6.256000000000000e+0	6.342999999999999e-19	6.306000000000000e+0	5.766000000000000e-18	1.330000000000000e+0	6.251000000000000e-19								
7.020000000000000e+2	1.564000000000000e-20	7.328000000000000e+1	1.179000000000000e-19	6.252000000000000e+1	9.330000000000000e-19	9.102000000000000e+0	3.229000000000000e-19	6.306000000000000e+0	6.309000000000000e-19	6.357000000000000e+0	5.708000000000000e-18	1.341000000000000e+0	6.693999999999999e-19								
7.161000000000000e+2	1.485000000000000e-20	7.401000000000000e+1	1.161000000000000e-19	6.314000000000000e+1	9.118999999999998e-19	9.175000000000000e+0	3.221000000000000e-19	6.357000000000000e+0	6.283999999999999e-19	6.408000000000000e+0	5.650000000000000e-18	1.352000000000000e+0	7.178000000000000e-19								
7.305000000000000e+2	1.409000000000000e-20	7.475000000000000e+1	1.144000000000000e-19	6.377000000000000e+1	8.911000000000000e-19	9.249000000000000e+0	3.213000000000000e-19	6.408000000000000e+0	6.269000000000000e-19	6.459000000000000e+0	5.592000000000000e-18	1.362000000000000e+0	7.702000000000000e-19								
7.452000000000000e+2	1.338000000000000e-20	7.550000000000000e+1	1.128000000000000e-19	6.441000000000000e+1	8.706999999999998e-19	9.323000000000000e+0	3.204000000000000e-19	6.459000000000000e+0	6.262000000000000e-19	6.511000000000000e+0	5.535000000000000e-18	1.373000000000000e+0	8.268000000000000e-19								
7.601000000000000e+2	1.269000000000000e-20	7.625000000000000e+1	1.111000000000000e-19	6.505000000000000e+1	8.507000000000000e-19	9.398000000000000e+0	3.194000000000000e-19	6.511000000000000e+0	6.264000000000000e-19	6.563000000000000e+0	5.477000000000000e-18	1.384000000000000e+0	8.874000000000000e-19								
