!MOLECULE																	
ArH+																	
!MOECULAR WEIGHT																	
37																	
!NUMBER OF ENERGY LEVELS																	
11																	
!Level	E_lo	g_low	J_lower														
35	9	7	2.60E-10	2.50E-10	2.40E-10	2.40E-10	2.40E-10	2.40E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.60E-10	2.60E-10	2.70E-10	3.00E-10	3.40E-10
36	9	8	3.10E-10	3.30E-10	3.50E-10	3.70E-10	4.00E-10	4.30E-10	4.50E-10	4.70E-10	4.90E-10	5.10E-10	5.20E-10	5.20E-10	5.40E-10	6.30E-10	7.10E-10
37	10	1	1.30E-11	1.50E-11	1.50E-11	1.40E-11	1.30E-11	1.20E-11	1.10E-11	9.60E-12	9.10E-12	8.70E-12	8.40E-12	8.30E-12	8.80E-12	1.10E-11	1.40E-11
38	10	2	4.90E-11	4.80E-11	4.50E-11	4.20E-11	3.90E-11	3.40E-11	3.10E-11	2.90E-11	2.80E-11	2.70E-11	2.60E-11	2.60E-11	2.70E-11	3.20E-11	3.90E-11
39	10	3	7.90E-11	7.70E-11	7.30E-11	6.80E-11	6.30E-11	5.60E-11	5.20E-11	4.90E-11	4.60E-11	4.50E-11	4.30E-11	4.30E-11	4.50E-11	5.30E-11	6.20E-11
40	10	4	1.00E-10	1.00E-10	9.90E-11	9.60E-11	9.20E-11	8.60E-11	8.10E-11	7.80E-11	7.60E-11	7.30E-11	7.10E-11	7.10E-11	7.50E-11	9.00E-11	1.10E-10
41	10	5	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.20E-10	1.10E-10	1.10E-10	1.00E-10	1.00E-10	9.70E-11	9.50E-11	9.50E-11	9.90E-11	1.10E-10	1.30E-10
42	10	6	1.70E-10	1.70E-10	1.70E-10	1.60E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.40E-10	1.40E-10	1.40E-10	1.50E-10	1.70E-10	2.10E-10
43	10	7	2.00E-10	2.00E-10	2.00E-10	1.90E-10	1.90E-10	1.80E-10	1.80E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.80E-10	2.00E-10	2.30E-10
44	10	8	2.40E-10	2.40E-10	2.30E-10	2.30E-10	2.30E-10	2.40E-10	2.40E-10	2.40E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.60E-10	2.90E-10	3.30E-10
45	10	9	2.80E-10	3.00E-10	3.30E-10	3.50E-10	3.80E-10	4.10E-10	4.40E-10	4.60E-10	4.80E-10	5.00E-10	5.20E-10	5.20E-10	5.40E-10	6.30E-10	7.10E-10
46	11	1	9.00E-12	9.50E-12	9.50E-12	9.20E-12	8.80E-12	8.40E-12	7.90E-12	7.60E-12	7.50E-12	7.30E-12	7.20E-12	7.10E-12	7.50E-12	9.30E-12	1.20E-11
47	11	2	2.60E-11	2.70E-11	2.60E-11	2.60E-11	2.50E-11	2.30E-11	2.20E-11	2.10E-11	2.10E-11	2.00E-11	2.00E-11	2.00E-11	2.10E-11	2.60E-11	3.20E-11
48	11	3	5.60E-11	5.50E-11	5.30E-11	5.10E-11	4.90E-11	4.50E-11	4.30E-11	4.00E-11	3.90E-11	3.80E-11	3.70E-11	3.70E-11	3.90E-11	4.50E-11	5.40E-11
49	11	4	8.10E-11	7.90E-11	7.50E-11	7.20E-11	6.80E-11	6.30E-11	5.90E-11	5.60E-11	5.40E-11	5.20E-11	5.10E-11	5.10E-11	5.30E-11	6.20E-11	7.30E-11
50	11	5	9.90E-11	1.00E-10	9.90E-11	9.80E-11	9.50E-11	9.00E-11	8.60E-11	8.30E-11	8.00E-11	7.80E-11	7.60E-11	7.60E-11	8.00E-11	9.60E-11	1.20E-10
51	11	6	1.30E-10	1.30E-10	1.30E-10	1.20E-10	1.20E-10	1.20E-10	1.10E-10	1.10E-10	1.00E-10	1.00E-10	9.90E-11	9.90E-11	1.00E-10	1.20E-10	1.40E-10
52	11	7	1.70E-10	1.70E-10	1.60E-10	1.60E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.60E-10	1.80E-10	2.20E-10
53	11	8	2.10E-10	2.00E-10	1.90E-10	1.90E-10	1.80E-10	1.80E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.80E-10	1.80E-10	1.90E-10	2.10E-10	2.50E-10
54	11	9	2.60E-10	2.50E-10	2.40E-10	2.30E-10	2.30E-10	2.30E-10	2.40E-10	2.40E-10	2.40E-10	2.50E-10	2.50E-10	2.50E-10	2.60E-10	2.90E-10	3.30E-10
55	11	10	2.80E-10	3.00E-10	3.20E-10	3.40E-10	3.70E-10	4.00E-10	4.30E-10	4.50E-10	4.80E-10	4.90E-10	5.10E-10	5.10E-10	5.30E-10	6.20E-10	7.00E-10
!NOTES:
!CDMS data from Al Wootten
!coll data from HCO+ as per Al recommendation
!I obtained the numbers from CDMS.http://www.astro.uni-koeln.de/cdms/
!H. S. P. Mueller, F. Schloeder, J. Stutzki, and G. Winnewisser,
!J. Mol. Struct. 742, 215–227 (2005)
!
!They cite:
!The J = 1 – 0 transition frequency was reported in
!(1) K. B. Laughlin, G. A. Blake, R. C. Cohen, D. C. Hovde, and R. J. Saykally, 1987, Phys. Rev. Lett., 58, 996.
!Additional lines up to J = 7 – 6 were taken from
!(2) J. M. Brown, D. A. Jennings, M. Vanek, L. R. Zink, and K. Evenson, 1988, J. Mol. Spectrosc. 128, 587.
!The ab initio dipole moment was taken from
!(9) M. Cheng, J. M. Brown, P. Rosmus, R. Linguerri, N. Komiha, and E. G. Myers, 2007, Phys. Rev. A 70, Art. No. 012502.
