Te	heat	VAR3	VAR4	VAR5	VAR6
5.489000000000000e+2	4.135899999999999e-23	7.362800000000000e-24	5.489000000000000e+2	4.293300000000000e-23	7.378000000000000e-24
6.301899999999999e+2	3.842700000000000e-23	7.674400000000000e-24	6.301900000000001e+2	3.989900000000000e-23	7.693400000000000e-24
7.235300000000000e+2	3.570600000000000e-23	7.937100000000000e-24	7.235300000000000e+2	3.708000000000000e-23	7.949300000000000e-24
8.306900000000000e+2	3.318100000000000e-23	8.151599999999998e-24	8.306900000000000e+2	3.446000000000000e-23	8.146200000000000e-24
9.537199999999998e+2	3.083499999999999e-23	8.319399999999998e-24	9.537200000000000e+2	3.202300000000000e-23	8.286100000000000e-24
1.095000000000000e+3	2.865000000000000e-23	8.442999999999998e-24	1.095000000000000e+3	2.975700000000000e-23	8.371800000000000e-24
1.257100000000000e+3	2.661999999999999e-23	8.523800000000000e-24	1.257100000000000e+3	2.764500000000000e-23	8.406100000000000e-24
1.443300000000000e+3	2.473600000000000e-23	8.563399999999998e-24	1.443300000000000e+3	2.567700000000000e-23	8.391600000000000e-24
1.657100000000000e+3	2.346100000000000e-23	8.539000000000000e-24	1.657100000000000e+3	2.396400000000000e-23	8.324900000000000e-24
1.902500000000000e+3	2.175600000000000e-23	8.503400000000000e-24	1.902500000000000e+3	2.225400000000000e-23	8.220700000000000e-24
2.184300000000000e+3	2.020100000000000e-23	8.427999999999998e-24	2.184300000000000e+3	2.065800000000000e-23	8.077600000000000e-24
2.507800000000000e+3	1.875200000000000e-23	8.319200000000000e-24	2.507800000000000e+3	1.916600000000000e-23	7.901500000000002e-24
2.879300000000000e+3	1.761200000000000e-23	8.181500000000000e-24	2.879300000000000e+3	1.777600000000000e-23	7.701400000000000e-24
3.305700000000000e+3	1.631700000000000e-23	8.032799999999998e-24	3.305700000000000e+3	1.647400000000000e-23	7.490300000000000e-24
3.795300000000000e+3	1.512300000000000e-23	7.888899999999998e-24	3.795300000000000e+3	1.525700000000000e-23	7.285800000000000e-24
4.357400000000000e+3	1.395100000000000e-23	7.780699999999998e-24	4.357400000000000e+3	1.412000000000000e-23	7.111400000000001e-24
5.002799999999999e+3	1.291600000000000e-23	7.733200000000000e-24	5.002800000000000e+3	1.305800000000000e-23	7.092000000000000e-24
5.743700000000000e+3	1.195200000000000e-23	7.797699999999998e-24	5.743700000000000e+3	1.206700000000000e-23	7.182500000000000e-24
6.594400000000000e+3	1.103700000000000e-23	8.024699999999998e-24	6.594400000000000e+3	1.114200000000000e-23	7.397600000000000e-24
7.571100000000000e+3	1.018300000000000e-23	8.464200000000000e-24	7.571100000000000e+3	1.028000000000000e-23	7.788200000000000e-24
8.692400000000000e+3	9.388400000000000e-24	9.174700000000000e-24	8.692400000000000e+3	9.477200000000000e-24	8.416400000000000e-24
-----------	-------------	-----------	9.979800000000000e+3	8.730500000000002e-24	9.374000000000000e-24
9.979800000000000e+3	8.660399999999998e-24	1.024200000000000e-23	1.145800000000000e+4	8.036300000000002e-24	1.082700000000000e-23
