#
# this is a list of the lowest and strongest He-like transitions
# of the first 30 elements
# the entry El n  0 is the two-photon continuum
#
#>>chng 06 jul 21 add third n=2 line as per Ryan's LOC run
#>>chng 06 aug 17, further lines added for Ryan's loc run
#>>chng 06 aug 18, use mean wl of 2S - 2P multiplet
#
# helium lines are
# 2s 1S  - ground - two-photon
Co26	346.344A
#
Ni27	3.19299A	# two-photon singlet
Ni27	3.20724A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 1.59658A to "Blnd" 1.59658A, update He-like triplet labels and wl
Blnd	1.59658A
Ni27	1.59233A
Ni27	1.60362A
Ni27	1.58849A
# >>chng 13 aug 01, wl from 326.896A to 363.877A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 363.877A to "Blnd" 240.529A, update He-like triplet labels and wl
Blnd	240.529A
Ni27	390.529A
Ni27	363.877A
Ni27	226.283A
Ni27	316.987A
#
Cu28	2.97067A	# two-photon singlet
Cu28	2.98350A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 1.48538A to "Blnd" 1.48538A, update He-like triplet labels and wl
Blnd	1.48538A
Cu28	1.48106A
Cu28	1.49175A
Cu28	1.47758A
# >>chng 13 aug 01, wl from 309.299A to 347.741A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 347.741A to "Blnd" 219.149A, update He-like triplet labels and wl
Blnd	219.149A
Cu28	373.455A
Cu28	347.741A
Cu28	206.701A
Cu28	283.198A
#
Zn29	2.77053A	# two-photon singlet
Zn29	2.78217A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 1.38530A to "Blnd" 1.38530A, update He-like triplet labels and wl
Blnd	1.38530A
Zn29	1.38092A
Zn29	1.39109A
Zn29	1.37781A
# >>chng 13 aug 01, wl from 293.067A to 333.000A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 333.000A to "Blnd" 199.704A, update He-like triplet labels and wl
Blnd	199.704A
Zn29	357.270A
Zn29	333.000A
Zn29	188.929A
Zn29	256.016A

