  20190923 # magic number
########################################################################
#
# Ionization potentials of all ions of all natural elements.
#
# Description of the columns:
#
# column 1 : element number (H = 1, He = 2, etc.)
# column 2 : charge before ionization (neutral = 0, etc)
# column 3 : ionization potential in cm^-1
# column 4 : uncertainty in ionization potential in cm^-1; 0, if unknown
# column 5 : literature reference, see bottom of file
# column 6 : spectrum of the ion before ionization
# column 7 : configuration of the ion after ionization
#
########################################################################
 19   1 255072.8        1.5             # L12188               K  II      	'K III (3p5 2P*<3/2>)'
 19   2 369427          14              # L11770               K  III     	'K IV (3p4 3P<2>)'
 19   3 491330          150             # L11770               K  IV      	'K V (3p3 4S*<3/2>)'
 19   4 666700          1300            # L241                 K  V       	'K VI (3p2 3P<0>)'
 19   5 802000          1600            # L7185                K  VI      	'K VII (3p 2P*<1/2>)'
 19   6 948200          900             # L7185                K  VII     	'K VIII (3s2 1S<0>)'
 19   7 1249100         400             # L12392               K  VIII    	'K IX (3s 2S<1/2>)'
 19   8 1418063         20              # L4344                K  IX      	'K X (2p6 1S<0>)'
 19   9 4062400         600             # L11770               K  X       	'K XI (2p5 2P*<3/2>)'
 19  10 4562000         6000            # L11770               K  XI      	'K XII (2p4 3P<2>)'
 19  11 5090000         7000            # L11770               K  XII     	'K XIII (2p3 4S*<3/2>)'
 19  12 5764500         4000            # L11770               K  XIII    	'K XIV (2p2 3P<0>)'
 19  13 6341600         2600            # L11770               K  XIV     	'K XV (2p 2P*<1/2>)'
 19  14 6943800         2000            # L11770               K  XV      	'K XVI (2s2 1S<0>)'
 19  15 7804700         2800            # L11770               K  XVI     	'K XVII (2s 2S<1/2>)'
 19  16 8344140         60              # L16264c99            K  XVII    	'K XVIII (1s2 1S<0>)'
 19  17 37189176.0      1.0             # L8473                K  XVIII   	'K XIX (1s 2S<1/2>)'
 19  18 39795784        7               # L7188                K  XIX     	''
 20   0 49305.9240      0.0020          # L8900                Ca I       	'Ca II (4s 2S<1/2>)'
 20   1 95751.87        0.03            # L7185,L7323          Ca II      	'Ca III (3p6 1S<0>)'
 20   2 410642.3        2.0             # L1405                Ca III     	'Ca IV (3p5 2P*<3/2>)'
 20   3 542595          17              # L11770               Ca IV      	'Ca V (3p4 3P<2>)'
 20   4 680230          640             # L11770               Ca V       	'Ca VI (3p3 4S*<3/2>)'
 20   5 877400          2000            # L7185                Ca VI      	'Ca VII (3p2 3P<0>)'
 20   6 1026000         2000            # L7185                Ca VII     	'Ca VIII (3p 2P*<1/2>)'
 20   7 1187600         1000            # L7185                Ca VIII    	'Ca IX (3s2 1S<0>)'
 20   8 1520640         500             # L7185                Ca IX      	'Ca X (3s 2S<1/2>)'
 20   9 1704049         35              # L11770               Ca X       	'Ca XI (2p6 1S<0>)'
 20  10 4771550         970             # L11770               Ca XI      	'Ca XII (2p5 2P*<3/2>)'
 20  11 5309100         7100            # L11770               Ca XII     	'Ca XIII (2p4 3P<2>)'
 20  12 5876800         8800            # L11770               Ca XIII    	'Ca XIV (2p3 4S*<3/2>)'
 20  13 6591300         4600            # L11770               Ca XIV     	'Ca XV (2p2 3P<0>)'
 20  14 7210400         3100            # L11770               Ca XV      	'Ca XVI (2p 2P*<1/2>)'
 20  15 7853400         2700            # L11770               Ca XVI     	'Ca XVII (2s2 1S<0>)'
 20  16 8766000         3200            # L11770               Ca XVII    	'Ca XVIII (2s 2S<1/2>)'
 20  17 9337690         60              # L16264c99            Ca XVIII   	'Ca XIX (1s2 1S<0>)'
 20  18 41367028        4               # L12128               Ca XIX     	'Ca XX (1s 2S<1/2>)'
 20  19 44117409        8               # L7188                Ca XX      	''
 21   0 52922.0         0.5             # L7185,L2110          Sc I       	'Sc II (3d.4s 3D<1>)'
 21   1 103237.1        2.0             # L7185,L5141          Sc II      	'Sc III (3d 2D<3/2>)'
 21   2 199677.37       0.10            # L1891,L7185          Sc III     	'Sc IV (3p6 1S<0>)'
 21   3 592732          3               # L7185,L2826          Sc IV      	'Sc V (3p5 2P*<3/2>)'
 21   4 741620          280             # L11770               Sc V       	'Sc VI (3p4 3P<2>)'
 21   5 892700          400             # L7185                Sc VI      	'Sc VII (3p3 4S*<3/2>)'
 21   6 1113000         2000            # L7185                Sc VII     	'Sc VIII (3p2 3P<0>)'
 21   7 1275000         2000            # L7185                Sc VIII    	'Sc IX (3p 2P*<1/2>)'
 21   8 1452000         1000            # L7185                Sc IX      	'Sc X (3s2 1S<0>)'
