#
# RATE05 - February 17 2006 - non-dipole - www.udfa.net
#
# REFERENCE: 
# Woodall, Ag\'undez, Markwick-Kemper, Millar, 2006, A\&A submitted.
#
# We strongly recommend you read the paper before attempting implementation of this data.
#
# *** NOTE: Exercise caution with use of the rate coefficients of the following reactions ***
# *** You need to do something about them, otherwise at 10 K you will get garbage results ***
# 93,172,267,283,289,311,314,353,355,379,421,433,445,448,450,459,468,490,492,493,495,503,
# 504,522,535,542,660,2938,2940,3527-8,3530-1,3546,3547,3549,3550,3552,3553,3575-3580,4001,4002,
# 4007,4008,4105,4109,4133,4551,4578,4586,4588,4589,4590,4594,4597,4598
#
# FORMAT:
# ix,reactant1,reactant2,reactant3,product1,product2,product3,product4,alpha,beta,gamma,clem,tmin,tmax,accuracy,source
#
121,C,CH3C4H,,C6H2,H2,,,6.50E-10,0.00,0.0,M,10,300,A,HH93
122,C,SO2,,CO,SO,,,7.00E-11,0.00,0.0,L,10,300,C,SH04
123,C,S2,,CS,S,,,7.00E-11,0.00,0.0,L,10,300,C,SH04
124,C,C6,,C2,C5,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
125,C,C6H,,C7,H,,,2.00E-10,0.00,0.0,L,10,300,C,SH04
126,C,C5N,,C5,CN,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
127,C,C6H2,,C7H,H,,,7.40E-10,0.00,0.0,M,10,300,A,SH04
128,C,C7H,,C8,H,,,2.00E-10,0.00,0.0,L,10,300,C,SH04
129,C,C7H2,,C8H,H,,,8.40E-10,0.00,0.0,M,10,300,A,SH04
130,C,C7H4,,C8H2,H2,,,8.00E-10,0.17,0.0,M,10,300,A,CH94
131,C,C8,,C2,C7,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
132,C,C8H,,C9,H,,,2.00E-10,0.00,0.0,L,10,300,C,SH04
133,C,C7N,,C7,CN,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
134,C,C8H2,,C9H,H,,,9.00E-10,0.00,0.0,M,10,300,A,SH04
135,C,C9H,,C10,H,,,2.00E-10,0.00,0.0,L,10,300,C,SH04
136,C,C9N,,C9,CN,,,1.00E-13,0.00,0.0,L,10,300,C,SH04
137,CH,N,,NH,C,,,3.03E-11,0.65,1207.0,C,990,1100,B,NIST
138,CH,N,,CN,H,,,1.66E-10,-0.09,0.0,M,222,584,A,NIST
139,CH,O,,OH,C,,,2.52E-11,0.00,2381.0,C,10,6000,B,NIST
140,CH,O,,CO,H,,,6.60E-11,0.00,0.0,L,10,2000,A,NIST
141,CH,O,,CO,H,,,1.02E-10,0.00,914.0,C,2000,6000,A,NIST
142,CH,CH4,,CH3,CH2,,,2.28E-11,0.70,3000.0,L,100,300,C,
143,CH,CH4,,C2H4,H,,,1.05E-10,-1.04,36.0,M,23,300,A,NIST
144,CH,OH,,HCO,H,,,1.44E-11,0.50,5000.0,L,166,300,C,
145,CH,NH3,,CH2NH,H,,,1.69E-10,-0.41,19.0,L,23,1300,B,NIST
146,CH,C2H2,,C3H2,H,,,3.39E-10,0.00,0.0,,23,710,B,NIST
147,CH,N2,,HCN,N,,,5.60E-13,0.88,10128.0,C,1000,4000,B,NIST
148,CH,HCO,,CO,CH2,,,2.87E-12,0.70,500.0,L,16,300,C,
149,CH,NO,,HCN,O,,,1.20E-10,-0.13,0.0,L,13,3790,A,NIST
150,CH,NO,,CN,OH,,,1.40E-10,0.00,0.0,C,298,298,A,NIST
151,CH,NO,,HCO,N,,,1.16E-11,-0.13,0.0,L,13,708,C,NIST
152,CH,NO,,OCN,H,,,4.10E-11,0.00,0.0,L,298,298,A,NIST
153,CH,H2CO,,HCO,CH2,,,9.21E-12,0.70,2000.0,L,66,300,C,
154,CH,HNO,,NO,CH2,,,1.73E-11,0.00,0.0,L,10,300,C,SH04
155,CH,O2,,CO,OH,,,2.60E-11,0.00,0.0,L,298,298,A,NIST
156,CH,O2,,HCO,O,,,1.44E-11,0.70,3000.0,L,100,2365,A,
157,CH,S,,HS,C,,,1.73E-11,0.50,4000.0,L,133,300,C,MI84
158,CH,S,,CS,H,,,5.00E-11,0.00,0.0,L,10,300,C,SH04
159,CH,CH3OH,,CH3,H2CO,,,2.49E-10,-1.93,0.0,M,298,753,A,NIST
