#
# RATE05 - February 17 2006 - non-dipole - www.udfa.net
#
# REFERENCE: 
# Woodall, Ag\'undez, Markwick-Kemper, Millar, 2006, A\&A submitted.
#
# We strongly recommend you read the paper before attempting implementation of this data.
#
# *** NOTE: Exercise caution with use of the rate coefficients of the following reactions ***
# *** You need to do something about them, otherwise at 10 K you will get garbage results ***
# 93,172,267,283,289,311,314,353,355,379,421,433,445,448,450,459,468,490,492,493,495,503,
# 504,522,535,542,660,2938,2940,3527-8,3530-1,3546,3547,3549,3550,3552,3553,3575-3580,4001,4002,
# 4007,4008,4105,4109,4133,4551,4578,4586,4588,4589,4590,4594,4597,4598
#
# FORMAT:
# ix,reactant1,reactant2,reactant3,product1,product2,product3,product4,alpha,beta,gamma,clem,tmin,tmax,accuracy,source
#
2195,C2H+,HCN,,HC3N+,H,,,1.35E-09,0.00,0.0,M,10,41000,A,8624
2196,C2H,C2H3+,,C2H2+,C2H2,,,3.30E-10,0.00,0.0,L,10,300,C,HL89
2197,C2H,C2H3+,,C4H2+,H2,,,3.30E-10,0.00,0.0,L,10,41000,C,HL89
2198,C2H,C2H3+,,C4H3+,H,,,3.30E-10,0.00,0.0,L,10,41000,C,HL89
2199,C2H,CO+,,HCO+,C2,,,3.90E-10,0.00,0.0,L,10,41000,C,
2200,C2H,C2H4+,,H2C3H+,CH2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2201,C2H,C2H4+,,C4H3+,H2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2202,C2H,Si+,,SiC2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
2203,C2H+,HCO,,CO,C2H2+,,,7.60E-10,0.00,0.0,L,10,41000,C,
2204,C2H,HCO+,,CO,C2H2+,,,7.80E-10,0.00,0.0,L,10,41000,C,
2205,C2H,HN2+,,N2,C2H2+,,,7.80E-10,0.00,0.0,L,10,41000,C,
2206,C2H+,H2CO,,H3CO+,C2,,,1.10E-09,0.00,0.0,L,10,41000,C,
2207,C2H,H2CO+,,HCO,C2H2+,,,7.70E-10,0.00,0.0,L,10,41000,C,
2208,C2H,HNO+,,NO,C2H2+,,,7.70E-10,0.00,0.0,L,10,41000,C,
2209,C2H,S+,,C2S+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,MH90
2210,C2H,O2H+,,O2,C2H2+,,,7.60E-10,0.00,0.0,L,10,41000,C,
2211,C2H,C3H2+,,C5H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2212,C2H,C3H3+,,C5H3+,H,,,7.50E-10,0.00,0.0,L,10,41000,C,HL89
2213,C2H,H2C3H+,,C5H3+,H,,,7.50E-10,0.00,0.0,L,10,41000,C,HL89
2214,C2H,C3H3+,,C5H2+,H2,,,7.50E-10,0.00,0.0,L,10,41000,C,HL89
2215,C2H,H2C3H+,,C5H2+,H2,,,7.50E-10,0.00,0.0,L,10,41000,C,HL89
2216,C2H+,CO2,,HC2O+,CO,,,9.40E-10,0.00,0.0,L,10,41000,C,
2217,C2H,C4H+,,C6+,H2,,,6.00E-10,0.00,0.0,L,10,41000,C,HL89
2218,C2H,C4H+,,C6H+,H,,,6.00E-10,0.00,0.0,L,10,41000,C,HL89
2219,C2H,C4H2+,,C6H2+,H,,,1.30E-09,0.00,0.0,L,10,41000,C,HL89
2220,C2H+,HC3N,,C4H+,HCN,,,7.60E-10,0.00,0.0,M,10,41000,A,9399
2221,C2H+,HC3N,,C4H2+,CN,,,4.56E-10,0.00,0.0,M,10,41000,A,9399
2222,C2H+,HC3N,,HC3NH+,C2,,,1.41E-09,0.00,0.0,M,10,41000,A,9399
2223,C2H+,HC3N,,HC5N+,H,,,1.18E-09,0.00,0.0,M,10,41000,A,9399
2224,C2H,C4H3+,,C6H3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2225,C2H,C5H2+,,C7H2+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,HL89
2226,C2H,C6H2+,,C8H2+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,HL89
2227,C2H,C7H2+,,C9H2+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,HL89
2228,CN,C2H2+,,HC3N+,H,,,9.00E-10,0.00,0.0,L,10,41000,C,
2229,CN+,HCN,,C2N2+,H,,,3.15E-10,0.00,0.0,M,10,41000,A,8404
2230,CN+,HCO,,CO,HCN+,,,3.70E-10,0.00,0.0,L,10,41000,C,
2231,CN+,NO,,OCN+,N,,,1.90E-10,0.00,0.0,M,10,41000,A,8404
2232,CN+,H2CO,,HCO+,HCN,,,5.20E-10,0.00,0.0,L,10,41000,C,
2233,CN,HNO+,,NO,HCN+,,,8.70E-10,0.00,0.0,L,10,41000,C,
2234,CN+,O2,,NO+,CO,,,8.60E-11,0.00,0.0,M,10,41000,A,8404
2235,CN+,O2,,OCN+,O,,,8.60E-11,0.00,0.0,M,10,41000,A,8404
2236,CN,O2H+,,O2,HCN+,,,8.60E-10,0.00,0.0,L,10,41000,C,
2237,CN+,CO2,,C2O+,NO,,,2.25E-10,0.00,0.0,M,10,41000,A,8404
2238,CN+,CO2,,OCN+,CO,,,2.25E-10,0.00,0.0,M,10,41000,A,8404
2239,C2H2+,C2H2,,C4H2+,H2,,,4.90E-10,0.00,0.0,M,10,41000,A,7712
2240,C2H2+,C2H2,,C4H3+,H,,,9.10E-10,0.00,0.0,M,10,41000,A,7712
2241,C2H2+,HCN,,HCNH+,C2H,,,2.30E-10,0.00,0.0,M,10,41000,A,8002
2242,C2H2+,HCN,,HC3NH+,H,,,1.30E-10,0.00,0.0,M,10,41000,A,8002
2243,C2H2+,HNC,,HCNH+,C2H,,,2.30E-10,0.00,0.0,L,10,41000,C,
2244,C2H2+,C2H3,,H2C3H+,CH2,,,3.30E-10,0.00,0.0,L,10,41000,C,HL89
2245,C2H2+,C2H3,,C4H3+,H2,,,3.30E-10,0.00,0.0,L,10,41000,C,HL89
2246,C2H2,C2H3+,,C4H3+,H2,,,7.20E-10,0.00,0.0,M,10,41000,A,8012
2247,C2H2+,C2H4,,C4H5+,H,,,3.17E-10,0.00,0.0,L,10,41000,A,9399
2248,C2H2,C2H4+,,C4H5+,H,,,1.93E-10,0.00,0.0,M,10,41000,A,9399
2249,C2H2+,C2H4,,H2C3H+,CH3,,,6.62E-10,0.00,0.0,L,10,41000,A,9399
2250,C2H2,C2H4+,,C3H2+,CH3,,,6.45E-10,0.00,0.0,M,10,41000,A,9399
2251,C2H2+,Si,,SiC2H+,H,,,2.00E-10,0.00,0.0,L,10,41000,C,HM89
2252,C2H2,Si+,,SiC2H+,H,,,2.50E-10,0.00,0.0,M,10,41000,A,9110
2253,C2H2+,Si,,SiC2+,H2,,,2.00E-10,0.00,0.0,L,10,41000,C,HM89
2254,C2H2+,HCO,,CO,C2H3+,,,3.70E-10,0.00,0.0,L,10,41000,C,
2255,C2H2,HCO+,,CO,C2H3+,,,1.40E-09,0.00,0.0,M,10,41000,A,7713
2256,C2H2,HN2+,,N2,C2H3+,,,1.41E-09,0.00,0.0,M,10,41000,A,7713
2257,C2H2,C2H5+,,C3H3+,CH4,,,6.84E-11,0.00,0.0,M,10,41000,A,7712
2258,C2H2,C2H5+,,C4H5+,H2,,,1.22E-10,0.00,0.0,M,10,41000,A,7712
2259,C2H2,CH3CH3+,,C2H5+,C2H3,,,2.47E-10,0.00,0.0,M,10,41000,A,9399
2260,C2H2,CH3CH3+,,C3H5+,CH3,,,9.10E-10,0.00,0.0,M,10,41000,A,9399
2261,C2H2,CH3CH3+,,C4H7+,H,,,1.43E-10,0.00,0.0,M,10,41000,A,9399
2262,C2H2+,CH3CH3,,C2H4+,C2H4,,,2.48E-10,0.00,0.0,M,10,41000,A,9399
2263,C2H2+,CH3CH3,,C3H5+,CH3,,,7.45E-10,0.00,0.0,M,10,41000,A,9399
2264,C2H2+,P,,HC2P+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,MI91
2265,C2H2,P+,,HC2P+,H,,,1.24E-09,0.00,0.0,M,10,41000,A,8912
2266,C2H2,PH+,,PC2H2+,H,,,1.30E-09,0.00,0.0,M,10,41000,A,8912
2267,C2H2+,S,,C2S+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,SY92
2268,C2H2+,S,,HC2S+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,SY92
2269,C2H2,S+,,HC2S+,H,,,9.50E-10,0.00,0.0,M,10,41000,C,8808
2270,C2H2+,SiH4,,Si+,C2H4,H2,,6.60E-11,0.00,0.0,M,10,41000,B,7428
2271,C2H2+,SiH4,,SiH+,C2H5,,,4.40E-11,0.00,0.0,M,10,41000,B,7428
2272,C2H2+,SiH4,,SiH2+,C2H4,,,1.65E-10,0.00,0.0,M,10,41000,B,7428
2273,C2H2+,SiH4,,SiH3+,C2H3,,,7.26E-10,0.00,0.0,M,10,41000,B,7428
2274,C2H2,PH2+,,PC2H2+,H2,,,1.40E-09,0.00,0.0,M,10,41000,A,8912
2275,C2H2,PH3+,,PC2H3+,H2,,,5.80E-10,0.00,0.0,M,10,41000,A,8912
2276,C2H2,O2+,,CH2CO+,O,,,1.30E-10,0.00,0.0,M,10,41000,B,0014
2277,C2H2,O2+,,HCO+,H,CO,,6.50E-11,0.00,0.0,M,10,41000,B,0014
2278,C2H2+,H2S,,HS,C2H3+,,,4.60E-11,0.00,0.0,M,10,41000,A,7714
2279,C2H2+,H2S,,H3S+,C2H,,,4.60E-11,0.00,0.0,M,10,41000,A,7714
2280,C2H2,C3+,,C5H+,H,,,1.70E-09,0.00,0.0,M,10,41000,B,8805
2281,C2H2+,C3H,,C5H+,H2,,,1.75E-09,0.00,0.0,L,10,41000,C,HL89
2282,C2H2+,C3H,,C5H2+,H,,,1.75E-09,0.00,0.0,L,10,41000,C,HL89
2283,C2H2,C3H+,,C5H2+,H,,,8.40E-10,0.00,0.0,M,10,41000,B,9399
2284,C2H2,C2N+,,C3H+,HCN,,,8.00E-10,0.00,0.0,M,10,41000,A,8301
2285,C2H2,C2N+,,HC4N+,H,,,2.00E-10,0.00,0.0,M,10,41000,A,8301
2286,C2H2+,C3H2,,C5H3+,H,,,1.30E-09,0.00,0.0,L,10,41000,C,HL89
2287,C2H2+,H2CCC,,C5H3+,H,,,1.30E-09,0.00,0.0,L,10,41000,C,HL89
2288,C2H2,C3H2+,,C5H3+,H,,,5.50E-10,0.00,0.0,M,10,41000,A,8624
2289,C2H2+,C3H2,,C5H2+,H2,,,7.00E-10,0.00,0.0,L,10,41000,C,HL89
2290,C2H2+,H2CCC,,C5H2+,H2,,,7.00E-10,0.00,0.0,L,10,41000,C,HL89
2291,C2H2+,C3H3,,C5H3+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2292,C2H2+,C3H3,,CH3C4H+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2293,C2H2,C3H3+,,C5H3+,H2,,,1.10E-09,0.00,0.0,M,10,41000,B,8712
2294,C2H2+,CH3CCH,,CH3C4H+,H2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2295,C2H2+,CH3CCH,,C5H5+,H,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2296,C2H2,CH3CCH+,,C5H5+,H,,,4.90E-10,0.00,0.0,M,10,41000,A,8501
2297,C2H2+,CH3CN,,CH3CNH+,C2H,,,8.36E-10,0.00,0.0,M,10,41000,A,9026
2298,C2H2+,CH3CN,,C3H5+,CN,,,1.06E-09,0.00,0.0,M,10,41000,A,9026
2299,C2H2+,CH3CN,,CH3CCH+,HCN,,,1.06E-09,0.00,0.0,M,10,41000,A,9026
2300,C2H2,C3H5+,,C5H5+,H2,,,3.80E-10,0.00,0.0,M,10,41000,A,9801
2301,C2H2,HCO2+,,CO2,C2H3+,,,1.37E-09,0.00,0.0,M,10,41000,A,7713
2302,C2H2,C4+,,C3H2+,C3,,,1.92E-10,0.00,0.0,M,10,41000,A,9399
2303,C2H2,C4+,,C6H+,H,,,1.41E-09,0.00,0.0,M,10,41000,A,9399
2304,C2H2,SO+,,H2CS+,CO,,,7.20E-10,0.00,0.0,M,10,41000,B,0014
2305,C2H2,SO+,,HCS+,HCO,,,2.64E-10,0.00,0.0,M,10,41000,B,0014
2306,C2H2,SO+,,CH2CO+,S,,,2.04E-10,0.00,0.0,M,10,41000,B,0014
2307,C2H2+,C4H,,C6H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2308,C2H2,C4H+,,C6H2+,H,,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
2309,C2H2+,C4H,,C6H+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2310,C2H2+,H2CCCC,,C6H2+,H2,,,1.00E-17,0.00,0.0,L,10,41000,C,HL89
2311,C2H2+,H2CCCC,,C6H3+,H,,,1.40E-10,0.00,0.0,M,10,41000,A,8645
2312,C2H2,C4H2+,,C6H3+,H,,,7.00E-12,0.00,0.0,L,10,41000,C,HL89
2313,C2H2,HC3N+,,C4H2+,HCN,,,5.12E-10,0.00,0.0,M,10,41000,B,8616
2314,C2H2,HC3N+,,C2H2+,HC3N,,,1.28E-10,0.00,0.0,M,10,41000,B,8616
2315,C2H2,C2N2+,,C2H2+,NCCN,,,5.80E-10,0.00,0.0,M,10,41000,A,8932
2316,C2H2,C4H4+,,C6H4+,H2,,,1.20E-11,0.00,0.0,L,10,300,A,9399
2317,C2H2,C4H4+,,C6H5+,H,,,9.00E-11,0.00,0.0,L,10,300,A,9399
2318,C2H2,SiC2+,,SiC4H+,H,,,5.16E-10,0.00,0.0,M,10,41000,A,9288
2319,C2H2,SiC2H+,,SiC4H+,H2,,,2.00E-11,0.00,0.0,M,10,41000,A,8917
2320,C2H2,C5+,,C7H+,H,,,1.80E-09,0.00,0.0,M,10,41000,B,8805
2321,C2H2+,C5H,,C7H+,H2,,,1.75E-09,0.00,0.0,L,10,41000,C,HL89
2322,C2H2+,C5H,,C7H2+,H,,,1.75E-09,0.00,0.0,L,10,41000,C,HL89
2323,C2H2,C4N+,,C5H+,HCN,,,8.00E-10,0.00,0.0,M,10,41000,B,8727
2324,C2H2+,C5H2,,C7H2+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2325,C2H2+,C5H2,,C7H3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2326,C2H2,C6+,,C8H+,H,,,8.68E-10,0.00,0.0,M,10,41000,B,8805
2327,C2H2,C6+,,C5H2+,C3,,,5.32E-10,0.00,0.0,M,10,41000,B,8805
2328,C2H2,C6H+,,C8H2+,H,,,5.80E-10,0.00,0.0,M,10,41000,B,8805
2329,C2H2+,C6H,,C8H+,H2,,,1.20E-09,0.00,0.0,L,10,41000,C,HL89
2330,C2H2+,C6H,,C8H2+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,HL89
2331,C2H2+,C6H2,,C8H2+,H2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2332,C2H2+,C6H2,,C8H3+,H,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2333,C2H2+,C7H,,C9H+,H2,,,2.00E-09,0.00,0.0,L,10,41000,C,HL89
2334,C2H2+,C7H,,C9H2+,H,,,2.00E-09,0.00,0.0,L,10,41000,C,HL89
2335,C2H2+,C7H2,,C9H2+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2336,C2H2,C7H2+,,C9H2+,H2,,,3.00E-10,0.00,0.0,L,10,41000,C,HL89
2337,C2H2+,C7H2,,C9H3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2338,C2H2,C7H2+,,C9H3+,H,,,7.00E-10,0.00,0.0,L,10,41000,C,HL89
2339,HCN+,HCN,,HCNH+,CN,,,1.60E-09,0.00,0.0,M,10,41000,A,8101
2340,HCN+,HNC,,HCNH+,CN,,,1.00E-09,0.00,0.0,L,10,41000,C,
2341,HCN,C2H3+,,HCNH+,C2H2,,,2.90E-09,0.00,0.0,M,10,41000,A,8011
2342,HNC,C2H3+,,HCNH+,C2H2,,,2.90E-09,0.00,0.0,L,10,41000,C,
2343,HCN+,CO,,HCO+,CN,,,1.40E-10,0.00,0.0,M,10,41000,A,8101
2344,HCN,Si+,,SiNC+,H,,,1.40E-12,0.00,0.0,M,10,41000,B,8917
2345,HNC,Si+,,SiNC+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
2346,HCN+,HCO,,HCNH+,CO,,,3.70E-10,0.00,0.0,L,10,41000,C,
2347,HCN+,HCO,,H2CO+,CN,,,3.70E-10,0.00,0.0,L,10,41000,C,
2348,HCN,HCO+,,HCNH+,CO,,,3.10E-09,0.00,0.0,M,205,565,A,8512
2349,HNC,HCO+,,HCNH+,CO,,,3.10E-09,0.00,0.0,L,10,41000,C,
2350,HCN,HN2+,,HCNH+,N2,,,3.20E-09,0.00,0.0,M,10,41000,A,7605
2351,HNC,HN2+,,HCNH+,N2,,,3.20E-09,0.00,0.0,L,10,41000,C,
2352,HCN,C2H5+,,C2H4,HCNH+,,,2.70E-09,0.00,0.0,M,10,41000,A,8011
2353,HNC,C2H5+,,C2H4,HCNH+,,,2.70E-09,0.00,0.0,L,10,41000,C,
2354,HCN+,H2CO,,H3CO+,CN,,,1.00E-09,0.00,0.0,L,10,41000,C,
2355,HCN,H2CO+,,HCO,HCNH+,,,1.40E-09,0.00,0.0,M,10,41000,A,7701
2356,HNC,H2CO+,,HCO,HCNH+,,,1.40E-09,0.00,0.0,L,10,41000,C,
2357,HCN,HNO+,,NO,HCNH+,,,9.90E-10,0.00,0.0,L,10,41000,C,
2358,HNC,HNO+,,NO,HCNH+,,,9.90E-10,0.00,0.0,L,10,41000,C,
2359,HCN,H3CO+,,H2CO,HCNH+,,,1.30E-09,0.00,0.0,M,10,41000,A,7814
2360,HNC,H3CO+,,H2CO,HCNH+,,,1.30E-09,0.00,0.0,L,10,41000,C,
2361,HCN+,S,,HS+,CN,,,5.70E-10,0.00,0.0,L,10,41000,C,
2362,HCN,PH+,,HCNH+,P,,,3.06E-10,0.00,0.0,M,10,41000,A,8302
2363,HCN,O2H+,,O2,HCNH+,,,9.70E-10,0.00,0.0,L,10,41000,C,
2364,HNC,O2H+,,O2,HCNH+,,,9.70E-10,0.00,0.0,L,10,41000,C,
2365,HCN,HS+,,S,HCNH+,,,8.60E-10,0.00,0.0,M,10,41000,A,8401
2366,HNC,HS+,,S,HCNH+,,,8.60E-10,0.00,0.0,L,10,41000,C,
2367,HCN,H3S+,,H2S,HCNH+,,,1.50E-09,0.00,0.0,M,10,41000,A,7809
2368,HNC,H3S+,,H2S,HCNH+,,,1.50E-09,0.00,0.0,L,10,41000,C,
2369,HCN,C3+,,C3H+,CN,,,2.60E-10,0.00,0.0,M,10,41000,B,9399
2370,HCN,C3+,,C4N+,H,,,1.04E-09,0.00,0.0,M,10,41000,B,9399
2371,HCN+,CO2,,HCO2+,CN,,,2.10E-10,0.00,0.0,M,10,41000,A,8101
2372,HCN,NCCNH+,,HCNH+,NCCN,,,2.00E-09,0.00,0.0,E,10,41000,C,
2373,HCN,HSiS+,,HCNH+,SiS,,,6.10E-10,0.00,0.0,M,10,41000,B,8933
2374,C2H3+,C2H3,,C2H5+,C2H,,,5.00E-10,0.00,0.0,L,10,41000,C,
2375,C2H3+,C2H3,,C3H3+,CH3,,,5.00E-10,0.00,0.0,L,10,41000,C,
2376,C2H3,C2H4+,,C2H5+,C2H2,,,5.00E-10,0.00,0.0,L,10,41000,C,
2377,C2H3+,C2H4,,C2H5+,C2H2,,,8.90E-10,0.00,0.0,M,10,41000,A,9399
2378,C2H3+,Si,,SiC2H+,H2,,,2.00E-10,0.00,0.0,L,10,41000,C,HM89
2379,C2H3+,Si,,SiC2H2+,H,,,2.00E-10,0.00,0.0,L,10,41000,C,HM89
2380,C2H3,Si+,,SiC2H2+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
2381,C2H3,HCO+,,C2H4+,CO,,,1.40E-09,0.00,0.0,L,10,41000,C,
2382,C2H3+,CH3CH3,,C2H5+,C2H4,,,2.91E-10,0.00,0.0,M,10,41000,A,9399
2383,C2H3+,CH3CH3,,C3H5+,CH4,,,2.48E-10,0.00,0.0,M,10,41000,A,9399
2384,C2H3+,CH3CH3,,C4H7+,H2,,,8.06E-11,0.00,0.0,M,10,41000,A,9399
2385,C2H3+,S,,HC2S+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,MH90
2386,C2H3,S+,,HC2S+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,MH90
2387,C2H3+,H2S,,H3S+,C2H2,,,8.40E-10,0.00,0.0,M,10,41000,A,7714
2388,C2H3+,C3H,,C3H2+,C2H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2389,C2H3+,C3H,,C5H2+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2390,C2H3+,C3H,,C5H3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2391,C2H3+,C3H2,,C3H3+,C2H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2392,C2H3+,H2CCC,,H2C3H+,C2H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2393,C2H3+,C3H2,,CH3C4H+,H,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2394,C2H3+,H2CCC,,CH3C4H+,H,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2395,C2H3,C3H2+,,CH3C4H+,H,,,6.00E-10,0.00,0.0,L,10,41000,C,HL89
2396,C2H3+,C3H2,,C5H3+,H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2397,C2H3+,H2CCC,,C5H3+,H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2398,C2H3,C3H2+,,C5H3+,H2,,,6.00E-10,0.00,0.0,L,10,41000,C,HL89
2399,C2H3+,C3H3,,CH3CCH+,C2H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2400,C2H3+,C3H3,,CH3C4H+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2401,C2H3,C3H3+,,CH3C4H+,H2,,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
2402,C2H3,H2C3H+,,CH3C4H+,H2,,,1.50E-09,0.00,0.0,L,10,41000,C,HL89
2403,C2H3+,C3H3,,C5H5+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2404,C2H3+,CH3CCH,,C3H5+,C2H2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2405,C2H3+,CH3CCH,,C5H5+,H2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2406,C2H3+,C4H,,C6H2+,H2,,,4.00E-10,0.00,0.0,L,10,41000,C,HL89
2407,C2H3+,C4H,,C6H3+,H,,,4.00E-10,0.00,0.0,L,10,41000,C,HL89
2408,C2H3,C4H+,,C6H3+,H,,,2.00E-09,0.00,0.0,L,10,41000,C,HL89
2409,C2H3+,C4H,,C4H2+,C2H2,,,4.00E-10,0.00,0.0,L,10,41000,C,HL89
2410,C2H3+,H2CCCC,,C6H3+,H2,,,3.00E-10,0.00,0.0,L,10,41000,C,HL89
2411,C2H3,C4H2+,,C6H3+,H2,,,3.00E-10,0.00,0.0,L,10,41000,C,HL89
2412,C2H3+,H2CCCC,,C4H3+,C2H2,,,3.00E-10,0.00,0.0,L,10,41000,C,HL89
2413,C2H3+,H2CCCC,,C6H4+,H,,,3.00E-10,0.00,0.0,L,10,41000,C,HL89
2414,C2H3,C4H2+,,C6H4+,H,,,1.20E-09,0.00,0.0,L,10,41000,C,HL89
2415,C2H3+,HC3N,,HC3NH+,C2H2,,,3.80E-09,0.00,0.0,M,10,41000,A,8518
2416,C2H3,C4H3+,,C6H4+,H2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2417,C2H3,C4H3+,,C6H5+,H,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2418,C2H3+,NCCN,,NCCNH+,C2H2,,,1.10E-09,0.00,0.0,M,10,41000,B,9805
2419,C2H3+,C5H,,C5H2+,C2H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2420,C2H3+,C5H,,C7H2+,H2,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2421,C2H3+,C5H,,C7H3+,H,,,1.00E-09,0.00,0.0,L,10,41000,C,HL89
2422,C2H3+,C5H2,,C7H3+,H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2423,C2H3,C5H2+,,C7H3+,H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2424,C2H3+,C5H2,,C5H3+,C2H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2425,C2H3+,C5H2,,C7H4+,H,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2426,C2H3,C5H2+,,C7H4+,H,,,4.00E-10,0.00,0.0,L,10,41000,C,HL89
2427,C2H3+,C6H,,C6H2+,C2H2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2428,C2H3+,C6H,,C8H2+,H2,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2429,C2H3+,C6H,,C8H3+,H,,,5.00E-10,0.00,0.0,L,10,41000,C,HL89
2430,C2H3+,C6H2,,C6H3+,C2H2,,,3.00E-10,0.00,0.0,L,10,41000,C,HL89
2431,C2H3+,C6H2,,C8H3+,H2,,,3.00E-10,0.00,0.0,L,10,41000,C,HL89
2432,C2H3,C6H2+,,C8H3+,H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2433,C2H3+,C6H2,,C8H4+,H,,,3.00E-10,0.00,0.0,L,10,41000,C,HL89
2434,C2H3,C6H2+,,C8H4+,H,,,4.00E-10,0.00,0.0,L,10,41000,C,HL89
2435,C2H3+,C6H6,,C6H7+,C2H2,,,1.60E-09,0.00,0.0,M,10,41000,A,9505
2436,C2H3+,C7H,,C7H2+,C2H2,,,1.10E-09,0.00,0.0,L,10,41000,C,HL89
2437,C2H3+,C7H,,C9H2+,H2,,,1.10E-09,0.00,0.0,L,10,41000,C,HL89
2438,C2H3+,C7H,,C9H3+,H,,,1.10E-09,0.00,0.0,L,10,41000,C,HL89
2439,C2H3+,C7H2,,C7H3+,C2H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2440,C2H3+,C7H2,,C9H3+,H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2441,C2H3,C7H2+,,C9H3+,H2,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2442,C2H3+,C7H2,,C9H4+,H,,,8.00E-10,0.00,0.0,L,10,41000,C,HL89
2443,C2H3,C7H2+,,C9H4+,H,,,4.00E-10,0.00,0.0,L,10,41000,C,HL89
2444,CO,HN2+,,HCO+,N2,,,8.80E-10,0.00,0.0,M,10,41000,A,8006
2445,CO+,H2CO,,HCO+,HCO,,,1.65E-09,0.00,0.0,M,10,41000,A,7805
2446,CO,HNO+,,NO,HCO+,,,1.00E-10,0.00,0.0,M,10,41000,A,7104
2447,CO,SiH4+,,SiH3,HCO+,,,1.00E-09,0.00,0.0,L,10,41000,C,HM89
2448,CO,O2H+,,O2,HCO+,,,8.40E-10,0.00,0.0,L,10,41000,C,
2449,CO+,H2S,,HS,HCO+,,,1.56E-10,0.00,0.0,M,10,41000,A,8401
2450,CO,H2Cl+,,HCl,HCO+,,,7.80E-10,0.00,0.0,M,200,520,A,8502
2451,CO,CH3CN+,,CH2CN,HCO+,,,2.00E-09,0.00,0.0,L,10,41000,C,HL90
2452,CO,HNSi+,,SiN,HCO+,,,2.00E-09,0.00,0.0,L,10,41000,C,HM89
2453,CO,SiO+,,CO2,Si+,,,7.90E-10,0.00,0.0,L,10,41000,C,HM89
