#			
# this is the "table1.dat" from the A&A web site, that goes with the paper			
# >>refer	all	dr	Mazzotta, P., Mazzitelli, G., Colafrancesco, S.,
# >>refercon	& Vittorio, N. 1998, A&AS, 113, 403-409		
#			
# anything starting with a # is a comment and is ignored			
#			
#   1-  8  A8    ---     Ion       Ion's label			
#  10- 20  E11.5 cm3/s   c1        c1 coefficient			
#  22- 32  E11.5 cm3/s   c2        ? c2 coefficient			
#  34- 44  E11.5 cm3/s   c3        ? c3 coefficient			
#  46- 56  E11.5 cm3/s   c4        ? c4 coefficient			
#  58- 64  F7.2  cm3/s   E1        E1 coefficient			
#  66- 72  F7.2  cm3/s   E2        ? E2 coefficient			
#  74- 79  F6.2  cm3/s   E3        ? E3 coefficient			
#  81- 86  F6.2  cm3/s   E4        ? E4 coefficient
#
# NB - this file is tab delimited, so formatting info not needed
#			
Ar10	2.76E-07	7.25E-09	0.00E+00	0.00E+00	261.61	85.96	0	0
Ar11	3.49E-08	3.45E-09	1.90E-07	0.00E+00	180	37.91	304.69	0
Ar12	2.75E-07	2.78E-08	0.00E+00	0.00E+00	288.6	39.68	0	0
Ar13	3.87E-07	7.52E-08	0.00E+00	0.00E+00	372.81	52.02	0	0
Ar14	5.35E-08	3.47E-07	0.00E+00	0.00E+00	51.37	393.8	0	0
Ar15	4.42E-08	9.88E-09	1.13E-07	0.00E+00	59.13	11.43	374.89	0
Ar16	1.41E-08	1.44E-07	1.58E-08	0.00E+00	98.61	509.91	16.87	0
Ar17	3.38E-07	0.00E+00	0.00E+00	0.00E+00	2614.2	0	0	0
Ar18	1.80E-07	0.00E+00	0.00E+00	0.00E+00	2784.4	0	0	0
K  2	1.90E-08	0.00E+00	0.00E+00	0.00E+00	44.41	0	0	0
K  3	8.70E-09	0.00E+00	0.00E+00	0.00E+00	32.74	0	0	0
K  4	2.50E-08	0.00E+00	0.00E+00	0.00E+00	30.42	0	0	0
K  5	2.50E-08	0.00E+00	0.00E+00	0.00E+00	26.73	0	0	0
K  6	8.75E-08	0.00E+00	0.00E+00	0.00E+00	24.81	0	0	0
K  7	9.30E-08	0.00E+00	0.00E+00	0.00E+00	24.73	0	0	0
K  8	6.93E-08	0.00E+00	0.00E+00	0.00E+00	20.23	0	0	0
