# Chemistry relevant to early universe.  Taken from Table 1 of Puy & Signore 1998
D,D-=>D2,e-:hmrate:1.14e-09:-0.10e+00:0.00e+00  		# Gay et al. 2011, reaction 187 (a)
HeD+,D=>D2+,He:hmrate_exo:7.18e-10:0.13e+00:3.31e+04  		# Gay et al. 2011, reaction 188 ()
He,D2+=>HeD+,D:hmrate:2.45e-10:0.00e+00:9.34e+03  		# Gay et al. 2011, reaction 189 (a)
D2+,D2=>D3+,D:hmrate_exo:1.54e-09:4.20e-02:4.66e+04  		# Gay et al. 2011, reaction 190 ()
D2+,H2=>HD2+,H:hmrate_exo:1.92e-09:4.20e-02:4.66e+04  		# Gay et al. 2011, reaction 191 ()
D2+,H2=>H2D+,D:hmrate_exo:1.92e-09:4.20e-02:4.66e+04  		# Gay et al. 2011, reaction 192 ()
H2+,D2=>HD2+,H:hmrate_exo:1.92e-09:4.20e-02:4.66e+04  		# Gay et al. 2011, reaction 193 ()
H2+,D2=>H2D+,D:hmrate_exo:1.92e-09:4.20e-02:4.66e+04  		# Gay et al. 2011, reaction 194 ()
HD+,HD=>HD2+,H:hmrate_exo:1.80e-09:4.20e-02:4.66e+04  		# Gay et al. 2011, reaction 195 ()
HD+,HD=>H2D+,D:hmrate_exo:1.80e-09:4.20e-02:4.66e+04  		# Gay et al. 2011, reaction 196 ()
HeH+,D2=>HD2+,He:hmrate_exo:1.10e-09:0.24e+00:1.48e+04  		# Gay et al. 2011, reaction 197 ()
HeD+,D2=>D3+,He:hmrate_exo:1.04e-09:0.24e+00:1.48e+04  		# Gay et al. 2011, reaction 198 ()
D2,H+=>HD2+,PHOTON:hmrate:9.13e-21:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 199 (a)
HD,D+=>HD2+,PHOTON:hmrate:7.46e-21:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 200 (a)
D2,D+=>D3+,PHOTON:hmrate:7.07e-21:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 201 (a)
D2+,H=>HD2+,PHOTON:hmrate:9.86e-18:1.80e+00:-2.00e+01  		# Gay et al. 2011, reaction 202 (a)
HD+,D=>HD2+,PHOTON:hmrate:3.89e-18:1.80e+00:-2.00e+01  		# Gay et al. 2011, reaction 203 (a)
D2+,D=>D3+,PHOTON:hmrate:3.05e-18:1.80e+00:-2.00e+01  		# Gay et al. 2011, reaction 204 (a)
HD+,H-=>H2D+,e-:hmrate_exo:2.70e-10:-4.85e-01:-3.12e+04  		# Gay et al. 2011, reaction 205 ()
D2+,H-=>HD2+,e-:hmrate_exo:2.69e-10:-4.85e-01:-3.12e+04  		# Gay et al. 2011, reaction 206 ()
HD+,D-=>HD2+,e-:hmrate_exo:2.68e-10:-4.85e-01:-3.12e+04  		# Gay et al. 2011, reaction 207 ()
D2+,D-=>D3+,e-:hmrate_exo:2.67e-10:-4.85e-01:-3.12e+04  		# Gay et al. 2011, reaction 208 ()
HD2+,e-=>D2,H:hmrate:4.86e-08:-0.49e+00:0.00e+00  		# Gay et al. 2011, reaction 209 (a)
HD2+,e-=>HD,D:hmrate:1.70e-08:-0.49e+00:0.00e+00  		# Gay et al. 2011, reaction 210 (a)
D3+,e-=>D2,D:hmrate:6.59e-08:-0.80e+00:0.00e+00  		# Gay et al. 2011, reaction 211 (a)
HD2+,e-=>D,D,H:hmrate:1.77e-07:-0.49e+00:0.00e+00  		# Gay et al. 2011, reaction 212 (a)
D3+,e-=>D,D,D:hmrate:1.17e-07:-0.80e+00:0.00e+00  		# Gay et al. 2011, reaction 213 (a)
H2D+,H-=>HD,H,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 214 (a)
H2D+,H-=>H2,D,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 215 (a)
H3+,D-=>HD,H,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 216 (a)
H3+,D-=>H2,D,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 217 (a)
HD2+,H-=>D2,H,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 218 (a)
HD2+,H-=>HD,D,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 219 (a)
HD2+,H-=>H2,D,D:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 220 (a)
H2D+,D-=>D2,H,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 221 (a)
H2D+,D-=>HD,D,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 222 (a)
H2D+,D-=>H2,D,D:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 223 (a)
D3+,H-=>D2,D,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 224 (a)
D3+,H-=>HD,D,D:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 225 (a)
HD2+,D-=>D2,D,H:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 226 (a)
HD2+,D-=>HD,D,D:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 227 (a)
D3+,D-=>D2,D,D:hmrate:2.30e-07:-0.50e+00:0.00e+00  		# Gay et al. 2011, reaction 228 (a)
HD+,D=>D2+,H:hmrate:1.00e-09:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 229 (a)
