# >>chng 16 dec 28, wl from 2.96462m to 2.96448m, energies updated to Komasa+2011
H2   2.96448m # 1-0 Q(17)
# >>chng 16 dec 28, wl from 3.11688m to 3.11663m, energies updated to Komasa+2011
H2   3.11663m # 1-0 Q(19)
# >>chng 16 dec 28, wl from 3.36534m to 3.36496m, energies updated to Komasa+2011
H2   3.36496m # 0-0 S(22)
# >>chng 16 dec 28, wl from 3.36794m to 3.36779m, energies updated to Komasa+2011
H2   3.36779m # 0-0 S(21)
# >>chng 16 dec 28, wl from 3.37087m to 3.37126m, energies updated to Komasa+2011
H2   3.37126m # 0-0 S(23)
# >>chng 16 dec 28, wl from 3.38104m to 3.38108m, energies updated to Komasa+2011
H2   3.38108m # 6-5 Q(4)
# >>chng 16 dec 28, wl from 3.38671m to 3.38638m, energies updated to Komasa+2011
H2   3.38638m # 0-0 S(24)
# >>chng 16 dec 28, wl from 3.40299m to 3.40323m, energies updated to Komasa+2011
H2   3.40323m # 0-0 S(19)
# >>chng 16 dec 28, wl from 3.40989m to 3.41019m, energies updated to Komasa+2011
H2   3.41019m # 0-0 S(25)
# >>chng 16 dec 28, wl from 3.43697m to 3.43693m, energies updated to Komasa+2011
H2   3.43693m # 0-0 S(18)
# >>chng 16 dec 28, wl from 3.48530m to 3.48542m, energies updated to Komasa+2011
H2   3.48542m # 0-0 S(17)
# >>chng 16 dec 28, wl from 3.54606m to 3.54662m, energies updated to Komasa+2011
H2   3.54662m # 0-0 S(16)
# >>chng 16 dec 28, wl from 3.62531m to 3.62518m, energies updated to Komasa+2011
H2   3.62518m # 0-0 S(15)
# >>chng 16 dec 28, wl from 3.72257m to 3.72267m, energies updated to Komasa+2011
H2   3.72267m # 0-0 S(14)
# >>chng 16 dec 28, wl from 3.84534m to 3.84506m, energies updated to Komasa+2011
H2   3.84506m # 0-0 S(13)
# >>chng 16 dec 28, wl from 3.99573m to 3.99506m, energies updated to Komasa+2011
H2   3.99506m # 0-0 S(12)
# >>chng 16 dec 28, wl from 4.17983m to 4.17994m, energies updated to Komasa+2011
H2   4.17994m # 0-0 S(11)
# >>chng 16 dec 28, wl from 4.40836m to 4.40859m, energies updated to Komasa+2011
H2   4.40859m # 0-0 S(10)
# >>chng 16 dec 28, wl from 5.05148m to 5.05174m, energies updated to Komasa+2011
H2   5.05174m # 0-0 S(8)
# >>chng 16 dec 28, wl from 6.10718m to 6.10690m, energies updated to Komasa+2011
H2   6.10690m # 0-0 S(6)
CN        882.833m
CN        881.421m
CN        880.858m
CN        661.044m
CN        660.727m
NH3       523.514m 
HNC       1101.95m  
HNC       826.492m  
HNC       661.221m  
HNC       551.041m  
HNC       472.351m  
HNC       413.333m  
HCN       1127.22m 
HCN       845.428m 
HCN       676.373m 
HCN       563.665m 
HCN       483.168m 
CS        1529.50m 
CS        1223.63m 
CS        1019.72m 
CS        874.094m 
CS        764.867m 
CS        679.920m 
CS        611.963m 
CS        556.372m 
CS        510.044m 


