SEQ='MG'     NUCCHG=13                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  52978290.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    51982.8 
     3          2S2 2P6 3P1         (2)1( 1.5)    52223.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   112940.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   112953.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  53126022.0 NLVL=   922
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   173   123    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)   711390.8*
   174   124    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)   712512.2*
   175   125    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)   713263.7*
   176   126    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)   714179.1*
   177   127    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)   714551.1*
   178   128    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)   714580.2*
   179   129    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   716282.1*
   180   130    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   716395.7*
   181   131    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   716512.2*
   182   132    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   716531.6*
   183   133    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   716675.1*
   184   134    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   717241.4*
   185   135    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)   717576.6*
   186   136    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   718192.1*
   187   137    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)   718516.2*
   188   138    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   718844.5*
   189   139    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   720157.2*
   190   140    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)   728678.5*
   191   141    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)   730016.5*
   192   142    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)   731011.2*
   193   143    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)   731559.4*
   194   144    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   732002.9*
   195   145    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)   732280.3*
   196   146    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   733366.2*
   197   147    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   734096.6*
   198   148    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   734276.5*
