SEQ='MG'     NUCCHG=21                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 159388039.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   190259.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   196766.7 
     4          2S2 2P6 3D1         (2)2( 1.5)   463272.1 
     5          2S2 2P6 3D1         (2)2( 2.5)   464451.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 161190454.1 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    95    27    2S2 2P5 3P3         (1)1( 1.0)  3621084.9*
    96    28    2S2 2P5 3P3         (3)2( 3.0)  3621266.9*
    97   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  3621817.5*
    98    29    2S2 2P5 3P3         (3)2( 2.0)  3624856.8*
    99   657    2S2 2P5 3S2 3D1     (1)2( 2.0)  3625475.0*
   100    30    2S2 2P5 3P3         (3)3( 4.0)  3628423.1*
   101    31    2S2 2P5 3P3         (3)1( 1.0)  3629413.6*
   102    32    2S2 2P5 3P3         (3)1( 0.0)  3629502.0*
   103    33    2S2 2P5 3P3         (5)1( 3.0)  3629829.2*
   104   658    2S2 2P5 3S1 3P2     (1)1( 1.0)  3630225.7*
   105    34    2S2 2P5 3P3         (1)3( 3.0)  3633011.3*
   106    35    2S2 2P5 3P3         (5)1( 2.0)  3635146.7*
   107    36    2S2 2P5 3P3         (3)2( 1.0)  3648500.0*
   108    37    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  3649675.4*
   109    38    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  3651177.0*
   110    39    2S2 2P5 3P3         (3)3( 2.0)  3652689.8*
   111    40    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  3654249.3*
   112   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  3658759.0*
   113    41    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  3658814.8*
   114    42    2S2 2P5 3P3         (5)1( 1.0)  3661923.4*
   115    43    2S2 2P5 3P3         (3)1( 2.0)  3662235.6*
   116    44    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  3664938.5*
   117    45    2S2 2P5 3P3         (3)3( 3.0)  3665983.4*
   118    47    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  3671157.5*
   119    48    2S2 2P5 3P3         (3)0( 1.0)  3673215.4*
   120    49    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  3673669.1*
   121    50    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  3676823.0*
   122    51    2S2 2P5 3P3         (3)2( 3.0)  3677865.3*
