SEQ='NE'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 329256543.4  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)   206193.5 
     3          1S2 2S1 2P6         (2)0( 0.5)  1356236.2 
   111          1S2 2P6 3P1         (2)1( 1.5) 12068309.8 
   112          1S2 2P6 3D1         (2)2( 1.5) 12446710.7 
   113          1S2 2P6 3D1         (2)2( 2.5) 12459930.9 
   114          1S1 2S2 2P6         (2)0( 0.5) 70159980.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 344118449.0 NLVL=    37
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1     1    1S2 2S2 2P6         (1)0( 0.0)        0.0 
     2     2    1S2 2S2 2P5 3S1     (3)1( 2.0)  8497333.9 
     3     3    1S2 2S2 2P5 3S1     (1)1( 1.0)  8516939.2 
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)  8703048.2 
     5     5    1S2 2S2 2P5 3S1     (3)1( 1.0)  8714296.3 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)  8809612.3 
     7     7    1S2 2S2 2P5 3P1     (3)2( 2.0)  8830454.9 
     8     8    1S2 2S2 2P5 3P1     (3)2( 3.0)  8865637.7 
     9     9    1S2 2S2 2P5 3P1     (1)1( 1.0)  8872937.8 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)  8893839.0 
    11    11    1S2 2S2 2P5 3P1     (3)1( 0.0)  8976436.3 
    12    12    1S2 2S2 2P5 3P1     (3)2( 1.0)  9029652.8 
    13    13    1S2 2S2 2P5 3P1     (3)1( 1.0)  9080430.7 
    14    14    1S2 2S2 2P5 3P1     (1)2( 2.0)  9085683.8 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)  9233599.0 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)  9278474.6 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)  9290955.5 
    18    18    1S2 2S2 2P5 3D1     (3)3( 4.0)  9311890.6 
    19    19    1S2 2S2 2P5 3D1     (3)3( 3.0)  9313273.8 
    20    20    1S2 2S2 2P5 3D1     (3)1( 2.0)  9313348.8 
    21    21    1S2 2S2 2P5 3D1     (1)2( 2.0)  9331993.0 
    22    22    1S2 2S2 2P5 3D1     (3)2( 3.0)  9347327.7 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)  9406063.9 
