SEQ='MG'     NUCCHG=19                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 127272625.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   156241.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   159921.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   377904.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   378493.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 128510439.4 NLVL=  1111
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   104    33    2S2 2P5 3P3         (5)1( 3.0)  2714464.4*
   105    34    2S2 2P5 3P3         (3)3( 3.0)  2715437.1*
   106    35    2S2 2P5 3P3         (5)1( 2.0)  2717746.2*
   107    36    2S2 2P5 3P3         (3)2( 1.0)  2724693.4*
   108    37    2S2 2P5 3P3         (3)3( 2.0)  2728484.9*
   109    39    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  2731276.3*
   110    40    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  2733127.1*
   111    41    2S2 2P5 3P3         (3)1( 2.0)  2733648.5*
   112    42    2S2 2P5 3P3         (5)1( 1.0)  2734524.2*
   113   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  2735233.9*
   114    43    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  2736177.0*
   115    44    2S2 2P5 3P3         (1)3( 3.0)  2736444.6*
   116    45    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  2740289.4*
   117    47    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  2746559.1*
   118    48    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  2748609.8*
   119    49    2S2 2P5 3P3         (3)0( 1.0)  2749832.8*
   120    50    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  2751095.9*
   121    51    2S2 2P5 3P3         (3)2( 3.0)  2752972.3*
   122    52    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  2754401.5*
   123    53    2S2 2P5 3P3         (3)2( 2.0)  2755357.9*
   124    54    2S2 2P5 3P3         (3)1( 0.0)  2761576.6*
   125    55    2S2 2P5 3P3         (1)1( 1.0)  2761671.0*
   126    56    2S2 2P5 3P3         (3)1( 2.0)  2762795.9*
   127    57    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  2764895.0*
   128    58    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  2765327.3*
   129    59    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  2765566.5*
   130    60    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  2766823.5*
   131    61    2S2 2P5 3P3         (1)2( 2.0)  2767578.5*
   132    62    2S2 2P5 3P3         (3)1( 1.0)  2768436.2*
   133    63    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  2768474.9*
   134    64    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  2769962.6*
   135    65    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  2770065.7*
   136    66    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  2771231.5*
   137    67    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  2773663.1*
   138    68    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  2774342.0*
   139    69    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  2774543.7*
   140    70    2S2 2P5 3P3         (3)2( 1.0)  2776877.9*
   141    71    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  2778306.7*
   142    72    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  2780787.0*
   143    73    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  2781592.7*
   144    74    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  2782233.9*
   145    75    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2782781.9*
   146    76    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  2783035.9*
   147    77    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2783388.0*
   148    78    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  2783755.7*
   149    79    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  2784779.6*
   150    80    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  2786526.4*
   151    81    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2786830.8*
   152    82    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2787504.6*
   153    83    2S2 2P5 3P3         (1)0( 0.0)  2788594.7*
   154    84    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2788684.0*
   155    85    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  2789054.7*
   156    86    2S2 2P5 3P3         (3)1( 1.0)  2789326.6*
   157    87    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  2790445.2*
   158    88    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  2791184.9*
   159    89    2S2 2P5 3P3         (3)1( 2.0)  2791951.7*
   160    90    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  2792483.6*
   161    91    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2792967.7*
   162    92    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  2794617.9*
   163    93    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  2795449.7*
   164    94    2S2 2P5 3P3         (1)2( 2.0)  2796724.5*
   165    95    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2797806.7*
   166    96    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  2798307.5*
   167    97    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  2798698.8*
   168    98    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  2800061.4*
   169    99    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2801425.6*
   170   100    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2802657.9*
   171   101    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2803013.9*
   172   102    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  2805039.8*
   173   103    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2806018.0*
   174   104    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  2806420.6*
   175   105    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2808309.9*
   176   106    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2810164.1*
   177   107    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2811587.8*
   178   108    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2812706.2*
   179   109    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2813295.8*
   180   110    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2814353.5*
   181   111    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2814732.3*
   182   112    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2815721.9*
   183   113    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2815996.8*
   184   114    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2817698.8*
   185   115    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2818883.1*
   186   116    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2820201.3*
