SEQ='NE'     NUCCHG=12                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  43072608.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    26    26    1S2 2S2 2P5 3D1     (3)2( 2.0)   489937.4 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)   491013.2 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 10522038.0*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 10528603.6*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 10570002.6*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 10570087.4*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 10570271.8*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 10573359.9*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 10631896.3*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 10631897.2*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 10631910.4*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 10631911.8*
  
MG 3     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
                                                                              7           8           9          10          11          12
                                                                             13          14          15          16          17          18
                                                                             19          20          21          22          23          24
                                                                             25          26          27          28          29          30
                                                                             31          32          33          34          35          36
                                                                             37          38          39          40          41          42
                                                                             43          44          45          46          47          48
                                                                             49          50          51          52          53          54
                                                                             55          56          57          58          59          60
                                                                             61          62          63          64          65          66
                                                                             67          68          69          70          71          72
                                                                             73          74          75          76          77          78
                                                                             79          80          81          82          83          84
                                                                             85          86          87          88          89          90
                                                                             91          92          93          94          95          96
                                                                             97          98          99         100         101         102
                                                                            103         104         105         106         107         108
                                                                            109         110         111         112         113         114
     2    28  3  -1    9.241412E+01   5.910E+12   1.773E+13   6.280E+14   8.828E+11   4.407E+11   4.734E+12   2.938E+11   4.947E+10   3.938E+10
                                                                          2.931E+11   3.220E+10   2.256E+14   1.503E+14   1.274E+11   8.528E+10
                                                                          4.272E+10   2.752E+04   1.711E+09   9.153E+08   1.695E+08   3.135E+08
                                                                          3.656E+09   1.775E+10   1.392E+09   1.593E+11   3.421E+11   4.346E+13
