SEQ='MG'     NUCCHG=23                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 195209007.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   224166.7 
     3          2S2 2P6 3P1         (2)1( 1.5)   234829.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   548787.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   550898.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 197676032.0 NLVL=  1119
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   136    64    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  4752255.2*
   137    65    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  4752981.2*
   138    66    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  4754517.3*
   139    67    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  4756468.0*
   140    68    2S2 2P5 3P3         (3)1( 1.0)  4757206.2*
   141    69    2S2 2P5 3P3         (3)1( 2.0)  4761442.9*
   142    70    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4763633.7*
   143    71    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  4763734.1*
   144    72    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  4763752.2*
   145    73    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  4768601.9*
   146    74    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  4769050.6*
   147    75    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  4769456.6*
   148    76    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  4773851.3*
   149    77    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4774649.9*
   150    78    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  4775249.1*
   151    79    2S2 2P5 3P3         (3)2( 1.0)  4775583.1*
   152    80    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  4776306.3*
   153    81    2S2 2P5 3P3         (3)1( 0.0)  4778092.6*
   154    82    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  4780037.6*
   155    83    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  4781986.1*
   156    84    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  4782203.9*
   157    85    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  4783210.0*
   158    86    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  4784567.8*
   159    87    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  4784980.8*
   160    88    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  4785386.7*
   161    89    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  4787335.5*
   162    90    2S2 2P5 3P3         (1)2( 2.0)  4787668.0*
   163    91    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  4789892.7*
   164    92    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4792609.2*
   165    93    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  4793702.7*
   166    94    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  4794102.3*
   167    95    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  4796295.0*
   168    96    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4797148.1*
   169    97    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  4797389.7*
   170    98    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  4799206.9*
   171    99    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  4799680.7*
   172   100    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4799752.9*
   173   101    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4799837.3*
   174   102    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  4801997.4*
   175   103    2S2 2P5 3P3         (3)1( 1.0)  4802290.7*
   176   104    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  4803302.7*
   177   105    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4805021.5*
   178   106    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  4809901.9*
   179   107    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4810766.7*
   180   108    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4811865.3*
   181   109    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  4814752.3*
   182   110    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  4816971.6*
