SEQ='MG'     NUCCHG=29                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 325119064.1  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   325693.6 
     3          2S2 2P6 3P1         (2)1( 1.5)   360557.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   813451.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   821532.7 

   IC RESOLVED LEVEL INDEXING           BWNR= 330181359.8 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    98    30    2S2 2P5 3P3         (5)1( 3.0)  8524582.0*
    99    31    2S2 2P5 3P3         (3)1( 0.0)  8526031.1*
   100    32    2S2 2P5 3P3         (3)3( 4.0)  8527457.9*
   101    33    2S2 2P5 3P3         (3)1( 1.0)  8527657.1*
   102    34    2S2 2P5 3P3         (5)1( 2.0)  8532058.0*
   103    35    2S2 2P5 3P3         (1)3( 3.0)  8533685.8*
   104    36    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  8542572.5*
   105    37    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  8547618.1*
   106    38    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  8558618.8*
   107   655    2S2 2P5 3S2 3D1     (3)3( 2.0)  8565344.6*
   108   656    2S2 2P5 3S1 3P2     (1)1( 1.0)  8566239.8*
   109    39    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  8574409.6*
   110   657    2S2 2P5 3S2 3D1     (1)3( 3.0)  8578908.9*
   111   658    2S2 2P5 3S2 3D1     (3)2( 2.0)  8580341.4*
   112    40    2S2 2P5 3P3         (3)2( 1.0)  8585394.3*
   113    41    2S2 2P5 3P3         (1)2( 2.0)  8587841.5*
   114    42    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  8588607.0*
   115    43    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  8593785.5*
   116    44    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  8596613.4*
