SEQ='MG'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  98844258.0  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   122001.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   123868.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   291707.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   291954.8 

   IC RESOLVED LEVEL INDEXING           BWNR=  99617610.3 NLVL=  1109
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   199   130    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2009761.4*
   200   131    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  2012984.4*
   201   132    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2013431.3*
   202   133    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2016900.1*
   203   134    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2017143.8*
   204   135    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2017759.2*
   205   136    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2021339.4*
   206   137    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2021684.1*
   207   138    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2023986.1*
   208   139    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2024844.4*
   209   140    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  2037497.2*
   210   141    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2039293.7*
   211   142    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2040292.7*
   212   143    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  2040725.3*
   213   144    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2042881.8*
   214   145    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  2045252.5*
   215   146    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2045917.0*
   216   147    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2046084.0*
   217   148    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2047413.5*
   218   149    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2048737.0*
   219   150    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  2049305.5*
   220   151    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2051701.7*
   221   152    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2052142.0*
   222   153    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2053208.1*
   223   154    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2053463.3*
   224   155    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2054320.2*
   225   156    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2056204.6*
   226   157    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2057423.0*
   227   158    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2057495.7*
   228   159    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2057971.6*
   229   160    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2058001.3*
   230   161    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2058228.5*
   231   162    2S2 2P5 3P3         (3)1( 2.0)  2059525.6*
   232   163    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2059801.7*
   233   164    2S2 2P5 3P3         (3)1( 0.0)  2059930.3*
   234   165    2S2 2P5 3P3         (3)1( 1.0)  2060491.2*
   235   166    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2060587.2*
   236   167    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2062207.9*
   237   168    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2066334.0*
   238   169    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2068832.4*
   239   170    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2068917.7*
   240   171    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  2069576.8*
   241   172    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2071580.7*
   242   173    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2072139.2*
   243   174    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2072983.5*
   244   660    2S2 2P5 3P2 3D1     (3)2( 1.0)  2073409.5*
   245   175    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2073803.7*
   246   661    2S2 2P5 3P2 3D1     (3)2( 2.0)  2074346.4*
   247   176    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2074644.4*
   248   177    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2075246.2*
   249   662    2S2 2P5 3P2 3D1     (3)2( 3.0)  2075708.9*
   250   663    2S2 2P5 3P2 3D1     (5)2( 0.0)  2076755.0*
   251   664    2S2 2P5 3P2 3D1     (5)2( 1.0)  2077173.3*
   252   178    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2077678.9*
   253   665    2S2 2P5 3P2 3D1     (5)2( 2.0)  2078013.4*
   254   666    2S2 2P5 3P2 3D1     (5)2( 3.0)  2079259.8*
   255   668    2S2 2P5 3P2 3D1     (3)4( 5.0)  2080747.0*
   256   669    2S2 2P5 3P2 3D1     (3)4( 4.0)  2081453.5*
   257   670    2S2 2P5 3P2 3D1     (5)3( 5.0)  2081464.6*
   258   179    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2081910.2*
   259   671    2S2 2P5 3P2 3D1     (1)3( 3.0)  2081984.9*
   260   672    2S2 2P5 3P2 3D1     (5)3( 4.0)  2083040.0*
   261   673    2S2 2P5 3P2 3D1     (5)3( 2.0)  2084029.2*
   262   674    2S2 2P5 3P2 3D1     (5)3( 3.0)  2084078.5*
   263   675    2S2 2P5 3P2 3D1     (5)1( 1.0)  2085232.4*
   264   676    2S2 2P5 3P2 3D1     (1)4( 4.0)  2085723.9*
   265   677    2S2 2P5 3P2 3D1     (5)3( 1.0)  2085847.1*
   266   679    2S2 2P5 3P2 3D1     (5)1( 2.0)  2087125.3*
   267   680    2S2 2P5 3P2 3D1     (3)3( 2.0)  2087678.5*
   268   682    2S2 2P5 3P2 3D1     (3)3( 3.0)  2090063.1*
   269   684    2S2 2P5 3P2 3D1     (5)1( 3.0)  2090584.7*
   270   685    2S2 2P5 3P2 3D1     (3)1( 2.0)  2092146.2*
   271   686    2S2 2P5 3P2 3D1     (5)4( 3.0)  2092228.5*
   272   687    2S2 2P5 3P2 3D1     (3)3( 2.0)  2093939.6*
   273   688    2S2 2P5 3P2 3D1     (3)4( 3.0)  2094001.3*
   274   689    2S2 2P5 3P2 3D1     (3)1( 1.0)  2094788.5*
   275   690    2S2 2P5 3P2 3D1     (3)3( 4.0)  2095838.2*
   276   691    2S2 2P5 3P2 3D1     (3)1( 0.0)  2096119.2*
   277   692    2S2 2P5 3P2 3D1     (5)4( 2.0)  2096158.8*
   278   180    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  2096238.4*
   279   693    2S2 2P5 3P2 3D1     (3)3( 3.0)  2096681.4*
   280   694    2S2 2P5 3P2 3D1     (5)3( 5.0)  2099110.0*
   281   695    2S2 2P5 3P2 3D1     (3)2( 3.0)  2099467.9*
   282   696    2S2 2P5 3P2 3D1     (1)1( 1.0)  2099567.9*
   283   697    2S2 2P5 3P2 3D1     (3)3( 4.0)  2099730.0*
   284   698    2S2 2P5 3P2 3D1     (5)3( 4.0)  2100064.3*
   285   181    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2100470.5*
   286   699    2S2 2P5 3P2 3D1     (3)4( 3.0)  2100513.5*
   287   182    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2100596.4*
   288   183    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2100611.5*
   289   700    2S2 2P5 3P2 3D1     (1)2( 2.0)  2100759.2*
   290   701    2S2 2P5 3P2 3D1     (5)3( 2.0)  2104747.7*
   291   702    2S2 2P5 3P2 3D1     (5)3( 3.0)  2105063.2*
   292   703    2S2 2P5 3P2 3D1     (5)3( 1.0)  2105216.1*
   293   705    2S2 2P5 3P2 3D1     (3)4( 4.0)  2106738.9*
   294   706    2S2 2P5 3P2 3D1     (3)2( 2.0)  2107006.4*
   295   707    2S2 2P5 3P2 3D1     (3)0( 1.0)  2108028.5*
   296   708    2S2 2P5 3P2 3D1     (3)5( 5.0)  2108148.7*
   297   709    2S2 2P5 3P2 3D1     (3)4( 5.0)  2109191.3*
   298   710    2S2 2P5 3P2 3D1     (3)3( 2.0)  2110740.3*
   299   711    2S2 2P5 3P2 3D1     (3)2( 1.0)  2110872.4*
   300   712    2S2 2P5 3P2 3D1     (1)0( 0.0)  2111010.6*
   301   713    2S2 2P5 3P2 3D1     (3)3( 3.0)  2111709.1*
   302   714    2S2 2P5 3P2 3D1     (3)5( 4.0)  2113342.4*
   303   715    2S2 2P5 3P2 3D1     (5)2( 4.0)  2113580.3*
   304   716    2S2 2P5 3P2 3D1     (3)2( 2.0)  2115274.8*
   305   717    2S2 2P5 3P2 3D1     (3)2( 3.0)  2115450.9*
   306   718    2S2 2P5 3P2 3D1     (5)0( 2.0)  2115728.3*
   307   719    2S2 2P5 3P2 3D1     (5)2( 1.0)  2115894.3*
   308   720    2S2 2P5 3P2 3D1     (5)2( 0.0)  2116453.5*
   309   721    2S2 2P5 3P2 3D1     (1)5( 5.0)  2116487.2*
   310   722    2S2 2P5 3P2 3D1     (3)2( 1.0)  2116878.9*
   311   723    2S2 2P5 3P2 3D1     (5)2( 2.0)  2116903.1*
   312   724    2S2 2P5 3P2 3D1     (5)2( 3.0)  2118031.1*
   313   725    2S2 2P5 3P2 3D1     (3)3( 4.0)  2119160.0*
   314   726    2S2 2P5 3P2 3D1     (3)1( 0.0)  2120674.4*
   315   727    2S2 2P5 3P2 3D1     (3)2( 2.0)  2120708.5*
   316   728    2S2 2P5 3P2 3D1     (3)2( 1.0)  2121333.5*
   317   729    2S2 2P5 3P2 3D1     (3)1( 1.0)  2122059.8*
