SEQ='NE'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  61398233.7  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)   906852.4 
    11    11    1S2 2S2 2P5 3P1     (1)1( 1.0)   908964.1 
    12    12    1S2 2S2 2P5 3P1     (3)1( 0.0)   910716.7 
    13    13    1S2 2S2 2P5 3P1     (1)2( 2.0)   911144.0 
    14    14    1S2 2S2 2P5 3P1     (3)1( 1.0)   911682.8 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)   984262.5 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)  1003880.8 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)  1004589.4 
    18    18    1S2 2S2 2P5 3D1     (3)1( 2.0)  1006052.2 
    19    19    1S2 2S2 2P5 3D1     (3)3( 4.0)  1006837.1 
    20    20    1S2 2S2 2P5 3D1     (3)3( 3.0)  1007795.9 
    21    21    1S2 2S2 2P5 3D1     (3)3( 2.0)  1009819.8 
    22    22    1S2 2S2 2P5 3D1     (1)3( 3.0)  1010877.0 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)  1014616.1 
    24    24    1S2 2S2 2P5 3D1     (1)2( 2.0)  1015436.4 
    25    25    1S2 2S2 2P5 3D1     (3)2( 3.0)  1016033.9 
    26    26    1S2 2S2 2P5 3D1     (3)2( 2.0)  1016458.6 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)  1023656.1 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 14891852.8*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 14903527.0*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 14971373.8*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 14971639.1*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 14972244.2*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 14978441.8*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 15088878.2*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 15088884.7*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 15088960.3*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 15088972.6*
  
SI 5     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
                                                                              7           8           9          10          11          12
