SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112598657.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   139159.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   141824.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   334980.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   335372.8 

   IC RESOLVED LEVEL INDEXING           BWNR= 113591701.4 NLVL=  1113
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   109    39    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  2316345.7*
   110    40    2S2 2P5 3P3         (3)1( 2.0)  2316366.6*
   111    41    2S2 2P5 3P3         (5)1( 1.0)  2317877.7*
   112    42    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  2317897.3*
   113    43    2S2 2P5 3P3         (1)3( 3.0)  2318546.0*
   114    44    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  2320215.1*
   115   659    2S2 2P5 3S1 3P2     (1)1( 1.0)  2320477.2*
   116    45    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  2323434.6*
   117    47    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  2329468.3*
   118    48    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  2331247.0*
   119    49    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  2333338.8*
   120    50    2S2 2P5 3P3         (3)0( 1.0)  2333829.7*
   121    51    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  2335951.1*
   122    52    2S2 2P5 3P3         (3)2( 3.0)  2336557.9*
   123    53    2S2 2P5 3P3         (3)2( 2.0)  2338192.3*
   124    54    2S2 2P5 3P3         (3)1( 0.0)  2343461.3*
   125    55    2S2 2P5 3P3         (3)1( 1.0)  2343500.2*
   126    56    2S2 2P5 3P3         (3)1( 2.0)  2344213.1*
   127    57    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  2345269.2*
   128    58    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  2346043.8*
   129    59    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  2346105.7*
   130    60    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  2347166.8*
   131    61    2S2 2P5 3P3         (1)2( 2.0)  2347711.1*
   132    62    2S2 2P5 3P3         (3)2( 1.0)  2349066.6*
   133    63    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  2349437.3*
   134    64    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  2350120.9*
   135    65    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  2351291.6*
   136    66    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  2352212.0*
   137    67    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  2352547.4*
   138    68    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  2355007.1*
