SEQ='NA'     NUCCHG=27                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 273652705.5  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 278051021.8 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   104   123    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  7543894.1*
   105   124    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  7555584.7*
   106   125    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  7566722.9*
   107   126    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  7567122.7*
   108   127    1S2 2S1 2P6 3S2     (2)0( 0.5)  7579997.1*
   109   128    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  7591264.4*
   110   129    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  7615974.3*
   111   131    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  7632953.5*
   112   132    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  7638472.6*
   113   133    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  7656103.7*
   114   134    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  7690413.1*
   115   135    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  7699905.7*
   116   136    1S2 2S2 2P5 3D2     (4)2( 0.5)  7762890.9*
   117   137    1S2 2S2 2P5 3D2     (4)2( 1.5)  7765895.1*
   118   138    1S2 2S2 2P5 3D2     (4)2( 2.5)  7770953.0*
   119   139    1S2 2S1 2P6 3S1 3P1 (4)1( 0.5)  7775003.9*
   120   140    1S2 2S2 2P5 3D2     (4)2( 3.5)  7779506.4*
   121   141    1S2 2S1 2P6 3S1 3P1 (4)1( 1.5)  7782920.3*
   122   144    1S2 2S2 2P5 3D2     (4)4( 3.5)  7793630.0*
   123   145    1S2 2S2 2P5 3D2     (2)3( 2.5)  7794103.1*
   124   147    1S2 2S2 2P5 3D2     (4)1( 2.5)  7805566.7*
   125   149    1S2 2S2 2P5 3D2     (2)4( 3.5)  7807138.4*
   126   150    1S2 2S2 2P5 3D2     (4)3( 1.5)  7808978.7*
   127   151    1S2 2S2 2P5 3D2     (2)2( 2.5)  7817197.6*
   128   152    1S2 2S2 2P5 3D2     (4)1( 1.5)  7818202.1*
   129   153    1S2 2S2 2P5 3D2     (2)1( 0.5)  7825883.9*
   130   155    1S2 2S2 2P5 3D2     (2)3( 3.5)  7836144.8*
   131   156    1S2 2S2 2P5 3D2     (4)2( 2.5)  7836740.9*
   132   157    1S2 2S2 2P5 3D2     (4)2( 3.5)  7837795.0*
   133   158    1S2 2S2 2P5 3D2     (2)2( 1.5)  7838794.5*
   134   159    1S2 2S2 2P5 3D2     (4)1( 0.5)  7840262.8*
   135   160    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  7853777.8*
   136   162    1S2 2S2 2P5 3D2     (4)4( 2.5)  7862641.4*
   137   163    1S2 2S2 2P5 3D2     (2)2( 1.5)  7864110.2*
   138   164    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  7865685.2*
   139   165    1S2 2S2 2P5 3D2     (2)4( 3.5)  7875635.3*
   140   166    1S2 2S2 2P5 3D2     (4)3( 2.5)  7886505.1*
   141   167    1S2 2S2 2P5 3D2     (4)0( 1.5)  7890110.5*
   142   168    1S2 2S2 2P5 3D2     (4)2( 0.5)  7904397.5*
   143   169    1S2 2S2 2P5 3D2     (4)3( 3.5)  7922474.9*
   144   171    1S2 2S2 2P5 3D2     (2)1( 1.5)  7934747.3*
   145   172    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  7936326.2*
   146   173    1S2 2S2 2P5 3D2     (2)3( 2.5)  7939463.5*
   147   174    1S2 2S2 2P5 3D2     (2)3( 3.5)  7943850.0*
   148   175    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  7945044.5*
   149   176    1S2 2S2 2P5 3D2     (2)3( 2.5)  7949667.3*
   150   177    1S2 2S2 2P5 3D2     (4)2( 1.5)  7957817.1*
   151   178    1S2 2S2 2P5 3D2     (2)0( 0.5)  7961370.1*
   152   179    1S2 2S2 2P5 3D2     (2)1( 1.5)  7971816.7*
