SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83052192.2  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    14    14    1S2 2S2 2P5 3P1     (3)1( 1.0)  1495024.4 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)  1590963.3 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)  1623003.5 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)  1624346.6 
    18    18    1S2 2S2 2P5 3D1     (3)1( 2.0)  1627061.7 
    19    19    1S2 2S2 2P5 3D1     (3)3( 4.0)  1628358.1 
    20    20    1S2 2S2 2P5 3D1     (3)3( 3.0)  1630174.8 
    21    21    1S2 2S2 2P5 3D1     (3)3( 2.0)  1633640.0 
    22    22    1S2 2S2 2P5 3D1     (3)2( 3.0)  1635908.5 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)  1642664.5 
    24    24    1S2 2S2 2P5 3D1     (1)2( 2.0)  1643982.9 
    25    25    1S2 2S2 2P5 3D1     (1)3( 3.0)  1645441.9 
    26    26    1S2 2S2 2P5 3D1     (3)2( 2.0)  1645875.4 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)  1663140.4 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 20041753.1*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 20058519.1*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 20151691.4*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 20152277.6*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 20153701.4*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 20163082.2*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 20322450.5*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 20322471.1*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 20322712.1*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 20322750.4*
  
S  7     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
                                                                              7           8           9          10          11          12
                                                                             13          14          15          16          17          18
                                                                             19          20          21          22          23          24
                                                                             25          26          27          28          29          30
                                                                             31          32          33          34          35          36
                                                                             37          38          39          40          41          42
                                                                             43          44          45          46          47          48
                                                                             49          50          51          52          53          54
                                                                             55          56          57          58          59          60
                                                                             61          62          63          64          65          66
                                                                             67          68          69          70          71          72
                                                                             73          74          75          76          77          78
