SEQ='NE'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  95132401.6  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    14    14    1S2 2S2 2P5 3P1     (3)1( 1.0)  1830809.8 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)  1937099.5 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)  1974752.8 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)  1976504.6 
    18    18    1S2 2S2 2P5 3D1     (3)1( 2.0)  1980011.5 
    19    19    1S2 2S2 2P5 3D1     (3)3( 4.0)  1981416.8 
    20    20    1S2 2S2 2P5 3D1     (3)3( 3.0)  1983691.0 
    21    21    1S2 2S2 2P5 3D1     (3)3( 2.0)  1987999.0 
    22    22    1S2 2S2 2P5 3D1     (3)2( 3.0)  1990872.6 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)  1999448.0 
    24    24    1S2 2S2 2P5 3D1     (1)2( 2.0)  2001498.3 
    25    25    1S2 2S2 2P5 3D1     (1)3( 3.0)  2003566.6 
    26    26    1S2 2S2 2P5 3D1     (3)2( 2.0)  2003877.5 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)  2026690.7 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 22913101.9*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 22932411.9*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 23038028.7*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 23038839.1*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 23040881.8*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 23051841.6*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 23234629.5*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 23234660.5*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 23235043.0*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 23235100.2*
  
CL 8     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
                                                                              7           8           9          10          11          12
                                                                             13          14          15          16          17          18
                                                                             19          20          21          22          23          24
                                                                             25          26          27          28          29          30
                                                                             31          32          33          34          35          36
                                                                             37          38          39          40          41          42
                                                                             43          44          45          46          47          48
                                                                             49          50          51          52          53          54
                                                                             55          56          57          58          59          60
                                                                             61          62          63          64          65          66
                                                                             67          68          69          70          71          72
                                                                             73          74          75          76          77          78
                                                                             79          80          81          82          83          84
                                                                             85          86          87          88          89          90
                                                                             91          92          93          94          95          96
                                                                             97          98          99         100         101         102
                                                                            103         104         105         106         107         108
                                                                            109         110         111         112         113         114
     2    28  3  -1    1.934813E+02   2.945E+13   8.829E+13   7.740E+14   2.761E+12   1.378E+12   9.067E+12   3.122E+12   1.079E+12   4.740E+11
                                                                          2.962E+12   4.762E+11   2.757E+14   1.818E+14   2.216E+11   1.679E+11
                                                                          8.523E+10   6.333E+05   9.533E+09   5.146E+13   5.525E+09   1.790E+09
                                                                          2.761E+11   6.074E+09   4.292E+11   7.532E+10   2.328E+11   1.101E+11
                                                                          5.510E+07   4.364E+07   1.373E+10   1.904E+09   1.700E+10   4.136E+10
                                                                          2.063E+11   6.402E+04   4.636E+09   2.193E+09   1.065E+11   1.586E+07
                                                                          0.000E+00   1.614E+03   3.181E+09   3.933E+09   1.782E+08   1.181E+09
                                                                          3.316E+03   1.261E+09   1.059E+09   4.878E+07   6.233E+08   7.683E+09
                                                                          9.776E+07   1.701E+00   0.000E+00   2.353E+11   4.193E+10   5.339E+02
                                                                          2.085E+09   4.338E+11   6.070E+09   2.783E+11   8.823E+10   8.139E+10
                                                                          2.087E+13   1.408E+13   7.019E+12   4.641E+12   3.931E+12   5.934E+07
                                                                          1.028E+07   7.900E+09   3.847E+09   1.083E+07   2.438E+10   3.776E+06
                                                                          2.141E+10   2.889E+07   1.521E+10   1.056E+10   3.202E+10   5.608E+11
                                                                          9.615E+13   4.648E+13   4.143E+09   9.559E+09   8.387E+09   4.009E+04
                                                                          3.561E+04   1.913E+08   7.849E+08   1.431E+05   5.221E+09   4.128E+08
                                                                          6.708E+09   2.114E+05   1.068E+07   8.448E+09   4.570E+11   7.875E+07
                                                                          7.013E+11   2.779E+09   3.753E+09   7.874E+10   1.797E+11   9.076E+11
                                                                          2.037E+05   2.463E+05   2.772E+11   1.407E+11   5.506E+08   1.873E+06
                                                                          4.342E+13   1.703E+11   3.392E+11   5.669E+07   8.970E+07   0.000E+00
     3    28  3  -1    1.934253E+02   2.166E+13
     4    28  3  -1    1.933356E+02   2.938E+13
     5    28  3  -1    1.932695E+02   7.743E+12
    17    28  3  -1    1.907882E+02   3.411E+09
    18    28  3  -1    1.907562E+02   2.615E+09
     3    29  3  -1    1.936012E+02   7.911E+12   8.994E+13   8.058E+14   2.081E+13   1.042E+13   7.096E+12   3.121E+12   1.078E+12   4.737E+11
                                                                          2.961E+12   4.758E+11   2.755E+14   1.818E+14   7.713E+02   7.533E+09
                                                                          3.426E+09   1.345E+05   8.874E+04   5.141E+13   8.155E+07   9.414E+07
                                                                          7.479E+10   4.953E+04   1.183E+11   1.810E+10   6.706E+10   2.875E+10
                                                                          6.935E+06   9.407E+06   1.756E+09   6.964E+04   6.272E+07   9.510E+09
                                                                          8.104E+10   0.000E+00   4.627E+09   2.180E+09   4.585E+10   1.661E+07
                                                                          0.000E+00   0.000E+00   3.315E+09   4.041E+09   1.962E+08   1.199E+09
                                                                          0.000E+00   1.339E+09   1.111E+09   6.611E+07   5.053E+08   8.386E+09
                                                                          7.144E+07   0.000E+00   0.000E+00   2.456E+11   4.231E+10   0.000E+00
                                                                          2.100E+09   4.398E+11   6.309E+09   2.824E+11   8.945E+10   8.272E+10
                                                                          0.000E+00   7.824E+10   7.803E+09   2.933E+13   1.116E+13   6.709E+00
                                                                          0.000E+00   7.738E+09   3.773E+09   8.879E+06   2.370E+10   3.006E+06
                                                                          2.072E+10   2.422E+07   1.482E+10   1.048E+10   3.120E+10   5.589E+11
                                                                          1.052E+14   5.620E+13   4.482E+08   2.177E+09   6.927E+02   0.000E+00
                                                                          1.441E+05   8.707E+04   3.336E+08   3.368E+06   2.726E+09   4.054E+05
                                                                          3.443E+09   5.293E+06   3.377E+06   8.146E+08   4.538E+11   1.982E+06
                                                                          6.963E+11   2.743E+09   3.732E+09   1.091E+10   3.663E+10   8.791E+11
                                                                          1.270E+07   1.592E+07   3.058E+11   1.570E+11   3.749E+08   3.072E+04
                                                                          4.323E+13   1.944E+11   3.789E+11   5.665E+07   8.977E+07   0.000E+00
     5    29  3  -1    1.934455E+02   2.202E+13
    23    29  3  -1    1.907551E+02   4.042E+09
    27    29  3  -1    1.905068E+02   4.421E+10
     6    30  3  -1    1.935933E+02   6.158E+12   8.823E+13   7.909E+14   1.912E+13   1.690E+12   5.863E+12   2.576E+05   3.866E+10   4.629E+09
                                                                          2.706E+09   7.413E+09   2.282E+07   2.484E+11   6.053E+11   2.717E+12
                                                                          1.167E+11   0.000E+00   2.285E+12   5.724E+10   1.373E+11   5.432E+11
                                                                          6.894E+11   2.704E+11   2.394E+13   7.075E+12   1.772E+13   1.022E+12
                                                                          2.365E+14   0.000E+00   7.364E+13   4.010E+13   2.876E+13   4.354E+13
                                                                          1.971E+13   1.435E+04   5.702E+02   1.277E+11   2.263E+13   4.088E+10
                                                                          0.000E+00   5.701E+03   1.043E+08   6.342E+04   8.187E+09   3.621E+08
                                                                          1.120E+05   2.025E+03   6.145E+10   6.012E+02   9.334E+10   1.351E+03
                                                                          2.850E+09   4.648E+06   0.000E+00   8.457E+10   4.371E+05   3.656E+05
                                                                          8.213E+10   2.016E+05   1.020E+11   8.340E+10   1.131E+04   2.763E+10
                                                                          3.020E+08   3.488E+10   1.301E+09   1.951E+12   3.121E+11   7.464E+12
                                                                          4.109E+03   6.786E+02   2.214E+13   1.095E+13   6.348E+02   1.962E+12
                                                                          7.843E+02   6.843E+10   1.363E+11   2.664E+12   2.008E+12   1.877E+12
                                                                          1.656E+11   2.252E+11   1.724E+07   2.208E+05   2.139E+05   0.000E+00
                                                                          0.000E+00   4.395E+08   7.679E+07   0.000E+00   1.466E+08   8.281E+07
                                                                          9.746E+07   0.000E+00   3.609E+07   5.864E+07   8.606E+13   2.019E+08
                                                                          8.203E+04   3.195E+13   9.499E+12   1.015E+10   1.534E+09   1.808E+13
                                                                          3.229E+11   0.000E+00   2.502E+10   1.024E+12   3.692E+10   1.759E+10
                                                                          1.107E+11   4.184E+13   3.572E+09   1.959E+11   3.164E+01   0.000E+00
     9    30  3  -1    1.934098E+02   1.758E+13
    11    30  3  -1    1.933070E+02   2.551E+12
    14    30  3  -1    1.932542E+02   3.122E+12
     1    31  3  -1    2.099452E+02   2.747E+11   8.833E+13   7.908E+14   1.714E+13   3.622E+12   5.798E+12   1.474E+10   2.073E+10   2.132E+10
