SEQ='NA'     NUCCHG=25                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 231254972.0  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 234755856.1 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   163   191    1S2 2S1 2P6 3P2     (2)2( 1.5)  6734714.6*
   164   192    1S2 2S1 2P6 3P2     (4)1( 2.5)  6747365.8*
   165   193    1S2 2S1 2P6 3P2     (2)1( 0.5)  6754373.1*
   166   194    1S2 2S1 2P6 3P2     (2)1( 1.5)  6769599.5*
   167   199    1S2 2S1 2P6 3P2     (2)0( 0.5)  6835532.0*
   168   200    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  6900215.4*
   169   201    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  6902038.0*
   170   202    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  6943487.3*
   171   203    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  6944731.2*
   172   204    1S2 2S1 2P6 3P1 3D1 (4)3( 1.5)  7045037.3*
   173   205    1S2 2S1 2P6 3P1 3D1 (4)3( 2.5)  7049335.5*
   174   206    1S2 2S1 2P6 3P1 3D1 (4)3( 3.5)  7056321.9*
   175   208    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  7074444.6*
   176   209    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  7077229.9*
   177   210    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  7090110.0*
   178   211    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  7101028.6*
   179   212    1S2 2S1 2P6 3P1 3D1 (4)2( 0.5)  7103697.4*
   180   213    1S2 2S1 2P6 3P1 3D1 (4)2( 1.5)  7103698.3*
   181   214    1S2 2S1 2P6 3P1 3D1 (4)1( 2.5)  7105016.4*
   182   216    1S2 2S1 2P6 3P1 3D1 (4)1( 1.5)  7114691.8*
   183   217    1S2 2S1 2P6 3P1 3D1 (4)2( 3.5)  7115315.3*
   184   218    1S2 2S1 2P6 3P1 3D1 (4)2( 2.5)  7115512.4*
   185   219    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  7142051.0*
   186   220    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  7149849.0*
   187   221    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  7153448.5*
   188   222    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  7153702.9*
   189   223    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  7204214.5*
   190   224    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  7204909.9*
   191   225    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  7217696.1*
   192   226    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  7219183.0*
   193   234    1S2 2S1 2P6 3D2     (2)3( 2.5)  7491070.0*
   194   235    1S2 2S1 2P6 3D2     (2)2( 1.5)  7494973.6*
   195   237    1S2 2S1 2P6 3D2     (2)2( 2.5)  7496138.1*
   196   242    1S2 2S1 2P6 3D2     (2)0( 0.5)  7584535.0*
  
MN15     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1
     1     6  3  -1    4.734565E+01   8.733E+11   4.387E+11   2.202E+12   2.202E+12
     4     6  3  -1    4.155973E+01   1.783E+08
     5     6  3  -1    4.152506E+01   1.218E+09
     1     7  3  -1    4.818045E+01   4.869E+11   4.889E+11   2.143E+12   2.143E+12
     4     7  3  -1    4.239452E+01   1.028E+09
     2     8  3  -1    4.666689E+01   2.921E+09   7.787E+09   2.164E+07   2.164E+07
     3     8  3  -1    4.649996E+01   6.324E+09
     3     9  3  -1    4.672767E+01   7.555E+10   5.040E+10   1.820E+10   1.820E+10
     2    11  3  -1    4.695642E+01   5.429E+11   2.724E+11   9.771E+10   9.771E+10
     3    11  3  -1    4.678949E+01   9.594E+08
     2    12  3  -1    4.706020E+01   3.017E+11   3.147E+11   5.463E+10   5.463E+10
     3    12  3  -1    4.689326E+01   6.426E+09
     3    13  3  -1    4.698128E+01   2.885E+11   1.923E+11   9.372E+10   9.372E+10
     2    14  3  -1    4.716406E+01   2.106E+11   4.064E+11   1.321E+11   1.321E+11
     3    14  3  -1    4.699712E+01   3.011E+11
     2    15  3  -1    4.731380E+01   1.586E+10   4.068E+11   3.551E+11   3.551E+11
     3    15  3  -1    4.714686E+01   1.945E+11
     2    16  3  -1    4.769978E+01   7.479E+10   1.493E+11   2.690E+11   2.690E+11
     3    16  3  -1    4.753284E+01   3.712E+10
     2    17  3  -1    4.776125E+01   3.157E+11   3.233E+11   1.637E+13   1.637E+13
     3    17  3  -1    4.759432E+01   1.553E+09
     2    18  3  -1    4.778731E+01   4.993E+11   2.545E+11   7.285E+10   7.285E+10
     3    18  3  -1    4.762038E+01   4.623E+09
     2    19  3  -1    4.788473E+01   1.200E+10   1.457E+11   6.500E+09   6.500E+09
     3    19  3  -1    4.771780E+01   1.386E+11
     3    20  3  -1    4.773390E+01   3.177E+10   3.450E+10   1.533E+11   1.533E+11
     3    21  3  -1    4.779839E+01   9.499E+11   6.374E+11   4.648E+11   4.648E+11
     2    22  3  -1    4.805662E+01   4.617E+11   5.411E+11   7.939E+10   7.939E+10
     3    22  3  -1    4.788969E+01   2.914E+11
