SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86007551.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)   104032.6 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)   105523.2 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   247698.8 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   247865.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  86588438.9 NLVL=   167
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     6   495  3  -1    1.827558E+02   6.888E+09   6.661E+13   7.794E+14   2.626E+04   1.258E+05   7.206E+06   2.900E+08   9.602E+08
     7   496  3  -1    1.827535E+02   6.530E+09   6.661E+13   7.794E+14   0.000E+00   1.358E+06   1.262E+07   4.661E+06   1.287E+09
     3   498  3  -1    1.850215E+02   3.959E+09   6.749E+13   7.768E+14   3.765E+05   3.962E+07   1.001E+08   5.796E+10   1.401E+11
     9   498  3  -1    1.826107E+02   5.781E+11
    10   498  3  -1    1.826073E+02   4.125E+11
    12   498  3  -1    1.825893E+02   7.208E+09
    13   498  3  -1    1.825871E+02   1.817E+10
    10   499  3  -1    1.826088E+02   7.115E+10   6.684E+13   7.787E+14   1.442E+04   1.968E+07   7.667E+06   3.155E+10   1.979E+10
    12   499  3  -1    1.825907E+02   3.161E+09
     8   500  3  -1    1.827832E+02   7.067E+09   6.698E+13   7.783E+14   7.481E+04   3.223E+07   2.346E+07   4.026E+10   4.234E+10
     9   500  3  -1    1.826122E+02   8.003E+10
    10   500  3  -1    1.826088E+02   7.721E+10
    11   500  3  -1    1.826065E+02   4.027E+11
    13   500  3  -1    1.825886E+02   2.966E+09
     9   501  3  -1    1.826181E+02   1.804E+11   6.686E+13   7.787E+14   2.759E+04   1.096E+07   3.094E+07   1.458E+10   4.283E+10
    10   501  3  -1    1.826148E+02   8.352E+10
    12   501  3  -1    1.825967E+02   7.800E+09
    13   501  3  -1    1.825946E+02   3.749E+09
     9   502  3  -1    1.826183E+02   4.287E+09   6.662E+13   7.794E+14   2.874E+04   3.130E+07   1.054E+07   4.993E+07   4.495E+08
    13   502  3  -1    1.825948E+02   6.460E+09
     7   503  3  -1    1.828229E+02   6.269E+09   6.663E+13   7.794E+14   0.000E+00   2.260E+07   5.684E+07   1.119E+08   9.364E+08
    14   503  3  -1    1.825957E+02   2.208E+10
     8   504  3  -1    1.827928E+02   2.101E+10   6.738E+13   7.771E+14   7.843E+04   7.264E+07   4.015E+07   8.063E+10   9.391E+10
     9   504  3  -1    1.826218E+02   1.687E+11
    10   504  3  -1    1.826185E+02   1.741E+11
    11   504  3  -1    1.826161E+02   7.385E+11
    12   504  3  -1    1.826004E+02   5.407E+09
    13   504  3  -1    1.825983E+02   3.673E+09
     2   505  3  -1    1.850443E+02   1.918E+09   6.749E+13   7.767E+14   6.646E+04   8.027E+07   3.081E+07   1.266E+11   7.917E+10
    10   505  3  -1    1.826218E+02   2.770E+11
