SEQ='NA'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85304453.4  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  86007309.9 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   143   172    1S2 2S2 2P5 3D2     (2)0( 0.5)  1870280.4*
   144   174    1S2 2S2 2P5 3D2     (2)2( 2.5)  1875369.1*
   145   175    1S2 2S2 2P5 3D2     (2)3( 3.5)  1875527.9*
   146   176    1S2 2S2 2P5 3D2     (2)2( 1.5)  1875988.4*
   147   177    1S2 2S2 2P5 3D2     (2)1( 0.5)  1877467.9*
   148   178    1S2 2S2 2P5 3D2     (2)1( 1.5)  1881469.0*
   149   179    1S2 2S2 2P5 3D2     (2)1( 1.5)  1898918.9*
   150   180    1S2 2S2 2P5 3D2     (2)1( 0.5)  1910271.4*
   151   184    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  1963906.0*
   152   185    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  1964491.5*
   153   186    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  1999000.9*
   154   187    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  1999552.5*
   155   188    1S2 2S1 2P6 3P2     (2)2( 2.5)  2057866.3*
   156   189    1S2 2S1 2P6 3P2     (2)2( 1.5)  2057935.6*
   157   190    1S2 2S1 2P6 3P2     (4)1( 0.5)  2060854.9*
   158   191    1S2 2S1 2P6 3P2     (4)1( 1.5)  2061458.3*
   159   192    1S2 2S1 2P6 3P2     (4)1( 2.5)  2062485.2*
   160   193    1S2 2S1 2P6 3P2     (2)1( 0.5)  2073355.7*
   161   194    1S2 2S1 2P6 3P2     (2)1( 1.5)  2074516.9*
   162   199    1S2 2S1 2P6 3P2     (2)0( 0.5)  2108073.4*
   163   200    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  2130163.1*
   164   201    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  2130264.3*
   165   202    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  2161612.8*
   166   203    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  2161679.7*
   167   204    1S2 2S1 2P6 3P1 3D1 (4)3( 1.5)  2193097.5*
   168   205    1S2 2S1 2P6 3P1 3D1 (4)3( 2.5)  2193461.2*
   169   206    1S2 2S1 2P6 3P1 3D1 (4)3( 3.5)  2193977.9*
   170   208    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  2202475.6*
   171   209    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  2202577.7*
   172   210    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  2205251.9*
   173   211    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  2206215.6*
   174   215    1S2 2S1 2P6 3P1 3D1 (4)2( 0.5)  2222768.3*
   175   216    1S2 2S1 2P6 3P1 3D1 (4)2( 1.5)  2222975.1*
   176   219    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  2232383.4*
   177   220    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  2232895.6*
   178   221    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  2235039.8*
   179   222    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  2235378.4*
   180   223    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  2265976.8*
   181   224    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  2265977.4*
   182   225    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  2273887.1*
   183   226    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  2273887.2*
   184   236    1S2 2S1 2P6 3D2     (2)2( 2.5)  2380564.1*
   185   237    1S2 2S1 2P6 3D2     (2)2( 1.5)  2380564.2*
   186   240    1S2 2S1 2P6 3D2     (2)1( 0.5)  2386914.2*
   187   241    1S2 2S1 2P6 3D2     (2)1( 1.5)  2387017.2*
   188   242    1S2 2S1 2P6 3D2     (2)0( 0.5)  2421130.2*
  
S  6     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1
     1     6  3  -1    1.203410E+01   5.044E+10   2.528E+10   4.658E+11   4.658E+11
     5     6  3  -1    9.773468E+00   3.756E+07
     1     7  3  -1    1.214361E+01   2.626E+10   2.633E+10   4.683E+11   4.683E+11
     4     7  3  -1    9.884488E+00   3.119E+07
     2     8  3  -1    1.172471E+01   8.970E+07   2.302E+08   1.079E+06   1.079E+06
     3     8  3  -1    1.171114E+01   1.854E+08
     3    10  3  -1    1.183041E+01   2.529E+09   1.686E+09   7.755E+06   7.755E+06
     2    11  3  -1    1.186545E+01   7.815E+09   3.979E+09   2.034E+08   2.034E+08
     3    11  3  -1    1.185188E+01   7.128E+07
     2    12  3  -1    1.189040E+01   2.788E+09   3.507E+09   4.602E+09   4.602E+09
     3    12  3  -1    1.187683E+01   3.591E+08
     3    13  3  -1    1.190205E+01   7.929E+09   5.286E+09   7.018E+08   7.018E+08
     2    14  3  -1    1.193790E+01   1.164E+10   1.437E+10   1.783E+09   1.783E+09
     3    14  3  -1    1.192433E+01   8.548E+09
     2    15  3  -1    1.195664E+01   1.442E+09   2.593E+09   1.033E+11   1.033E+11
     3    15  3  -1    1.194307E+01   5.584E+08
     2    16  3  -1    1.199721E+01   3.638E+10   2.268E+10   3.100E+09   3.100E+09
     3    16  3  -1    1.198363E+01   4.493E+09
     2    17  3  -1    1.201559E+01   1.287E+10   2.823E+10   1.019E+10   1.019E+10
     3    17  3  -1    1.200201E+01   7.651E+09
     3    18  3  -1    1.202098E+01   4.477E+10   2.985E+10   1.657E+09   1.657E+09
     2    19  3  -1    1.204447E+01   1.775E+10   2.715E+10   6.298E+07   6.298E+07
     3    19  3  -1    1.203090E+01   1.824E+10
     2    20  3  -1    1.209789E+01   1.955E+10   3.636E+10   9.116E+11   9.116E+11
     3    20  3  -1    1.208431E+01   7.767E+09
     3    21  3  -1    1.231074E+01   2.295E+10   2.067E+10   5.497E+11   5.497E+11
     2    22  3  -1    1.237052E+01   3.002E+10   2.685E+10   2.434E+11   2.434E+11
     3    22  3  -1    1.235694E+01   6.011E+09
     2    23  3  -1    1.245276E+01   2.356E+09   2.616E+10   2.730E+11   2.730E+11
     3    23  3  -1    1.243919E+01   1.920E+10
     2    24  3  -1    1.246371E+01   1.192E+10   3.279E+10   1.296E+12   1.296E+12
     3    24  3  -1    1.245013E+01   7.345E+09
     1    25  3  -1    1.382270E+01   8.122E+09   1.211E+10   1.205E+13   1.205E+13
     4    25  3  -1    1.156358E+01   1.503E+09
     1    26  3  -1    1.384107E+01   1.076E+10   9.230E+09   8.173E+12   8.173E+12
     4    26  3  -1    1.158195E+01   5.348E+08
     5    26  3  -1    1.158043E+01   1.212E+09
     1    28  3  -1    1.388484E+01   2.839E+09   5.631E+09   2.928E+12   2.928E+12
     4    28  3  -1    1.162572E+01   1.834E+08
     5    28  3  -1    1.162421E+01   3.137E+08
     5    29  3  -1    1.162554E+01   3.441E+09   2.837E+09   1.015E+11   1.015E+11
     2    30  3  -1    1.293575E+01   1.852E+10   5.487E+10   3.125E+14   3.125E+14
     3    30  3  -1    1.292217E+01   1.384E+10
     1    31  3  -1    1.389862E+01   3.689E+08   4.500E+09   8.637E+11   8.637E+11
     4    31  3  -1    1.163950E+01   7.754E+07
     4    32  3  -1    1.167755E+01   3.047E+09   2.491E+09   5.905E+10   5.905E+10
     5    32  3  -1    1.167603E+01   1.783E+08
     5    33  3  -1    1.169392E+01   3.534E+07   4.909E+09   2.495E+08   2.495E+08
     4    34  3  -1    1.171367E+01   9.321E+07   4.766E+09   1.614E+09   1.614E+09
     4    35  3  -1    1.172753E+01   1.394E+07   4.269E+09   8.968E+09   8.968E+09
     4    36  3  -1    1.176794E+01   7.143E+08   2.219E+09   3.679E+10   3.679E+10
     5    36  3  -1    1.176643E+01   1.276E+09
     1    37  3  -1    1.403330E+01   2.989E+08   5.216E+09   1.221E+12   1.221E+12
     4    37  3  -1    1.177418E+01   6.412E+07
     1    38  3  -1    1.403647E+01   3.757E+08   2.784E+09   3.533E+11   3.533E+11
     4    38  3  -1    1.177735E+01   7.287E+08
     5    38  3  -1    1.177583E+01   3.449E+08
     1    39  3  -1    1.408225E+01   1.240E+08   4.746E+09   5.734E+11   5.734E+11
     4    39  3  -1    1.182314E+01   6.026E+08
     5    40  3  -1    1.185556E+01   3.804E+08   4.680E+09   5.280E+08   5.280E+08
     1    41  3  -1    1.412280E+01   4.824E+07   4.632E+09   2.549E+11   2.549E+11
     4    41  3  -1    1.186368E+01   1.018E+07
     1    42  3  -1    1.412379E+01   3.700E+08   6.094E+09   1.246E+12   1.246E+12
     5    42  3  -1    1.186316E+01   1.334E+08
