SEQ='NE'     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  28047372.7  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                          2.637E+10   5.576E+12   5.491E+13   6.145E+12   3.080E+13   1.266E+13
                                                                          1.043E+11   4.599E+08   8.262E+09   4.972E+10   3.144E+09   7.373E+09
                                                                          3.212E+10   3.170E+08   3.433E+13   4.025E+09   3.626E+10   0.000E+00
     7    32  3  -1    6.285855E+01   2.644E+12
     8    32  3  -1    6.285631E+01   1.070E+11
     9    32  3  -1    6.285364E+01   7.698E+10
    10    32  3  -1    6.285176E+01   1.194E+12
    11    32  3  -1    6.284465E+01   3.446E+11
    13    32  3  -1    6.284240E+01   1.319E+12
    14    32  3  -1    6.284209E+01   1.264E+12
     1    33  3  -1    6.309513E+01   2.445E+12   8.011E+12   5.950E+14   8.896E+11   4.612E+11   7.309E+05   5.157E+06   8.054E+05   3.878E+09
                                                                          2.033E+09   2.175E+10   2.319E+10   5.288E+09   4.673E+10   1.215E+10
                                                                          5.324E+09   4.899E+09   2.401E+10   1.436E+10   1.160E+11   4.011E+10
                                                                          5.420E+10   9.208E+09   6.302E+12   1.166E+13   2.548E+10   6.832E+13
                                                                          9.845E+13   8.606E+00   1.422E+07   1.121E+08   4.705E+13   6.810E+07
                                                                          7.237E+13   3.960E+01   9.284E+09   3.161E+01   6.345E+09   1.668E+08
                                                                          2.579E+00   2.018E+09   1.070E+09   6.299E+08   2.441E+07   1.745E+09
                                                                          1.436E+09   4.423E+09   3.568E+13   1.851E+13   3.232E+10   2.988E+13
                                                                          1.354E+13   1.787E+10   8.755E+09   6.498E+04   8.123E+04   1.242E+10
                                                                          8.049E+09   1.394E+07   2.155E+04   9.120E+10   3.685E+09   2.472E+09
                                                                          2.686E+06   2.749E+08   5.457E+07   1.987E+11   1.029E+11   1.036E+10
                                                                          0.000E+00   3.555E+10   4.292E+10   1.800E+10   4.765E+11   8.695E+10
                                                                          1.230E+10   1.487E+13   1.035E+13   9.764E+12   4.967E+12   8.515E+12
                                                                          1.430E+05   8.452E+05   0.000E+00   2.663E+05   6.029E+06   1.351E+06
                                                                          2.525E+07   1.470E+07   3.370E+07   1.257E+07   4.426E+07   6.275E+06
                                                                          2.764E+06   1.309E+06   3.076E+06   6.926E+06   3.180E+07   9.269E+10
                                                                          4.371E+10   2.338E+13   3.777E+13   1.207E+13   2.523E+13   8.645E+12
                                                                          7.202E+10   3.269E+10   2.378E+10   3.422E+10   4.128E+09   6.365E+09
                                                                          1.028E+11   1.070E+13   2.363E+13   1.512E+10   2.457E+10   0.000E+00
     6    33  3  -1    6.287062E+01   5.822E+10
     8    33  3  -1    6.286033E+01   4.725E+11
     9    33  3  -1    6.285766E+01   9.787E+11
    10    33  3  -1    6.285579E+01   9.236E+11
    11    33  3  -1    6.284867E+01   7.686E+11
    13    33  3  -1    6.284642E+01   1.231E+12
    14    33  3  -1    6.284611E+01   8.235E+11
    15    34  3  -1    6.285924E+01   2.616E+12   7.883E+12   5.953E+14   4.169E+08   1.464E+09   1.617E+06   2.250E+06   2.810E+06   2.585E+08
                                                                          2.054E+08   7.720E+07   7.138E+08   1.011E+09   3.389E+01   7.628E+08
                                                                          2.112E+09   1.746E+09   1.587E+10   4.454E+10   2.816E+06   4.472E+08
                                                                          2.114E+06   2.106E+06   3.539E+06   1.214E+07   9.575E+08   1.672E+10
                                                                          7.262E+03   6.579E+09   3.224E+10   3.268E+10   2.649E+09   8.593E+09
                                                                          2.292E+08   0.000E+00   2.674E+10   5.942E+10   1.639E+10   8.154E+09
                                                                          1.078E+03   7.982E+06   1.417E+10   1.326E+10   1.337E+08   1.303E+10
                                                                          4.958E+09   1.808E+10   2.175E+07   4.825E+07   5.467E+12   4.451E+08
