SEQ='MG'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 350076065.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   342599.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   383777.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   859545.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   869257.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 355659006.2 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   198   126    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9588702.7*
   199   127    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  9596130.3*
   200   128    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  9598036.0*
   201   129    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  9602530.5*
   202   130    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  9603976.5*
   203   131    2S2 2P5 3P3         (3)1( 0.0)  9604002.8*
   204   132    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  9608679.5*
   205   133    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  9609775.3*
   206   134    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  9612058.5*
   207   135    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9612615.3*
   208   136    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  9614906.2*
   209   137    2S2 2P5 3P3         (3)1( 2.0)  9616199.9*
   210   138    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  9616599.9*
   211   139    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  9616972.9*
   212   140    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  9618027.2*
   213   141    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  9620033.2*
