SEQ='MG'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 142868335.0  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   173269.9 
     3          2S2 2P6 3P1         (2)1( 1.5)   178218.2 
     4          2S2 2P6 3D1         (2)2( 1.5)   420625.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   421472.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 144375947.0 NLVL=  1116
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   114    42    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  3182346.6*
   115    43    2S2 2P5 3P3         (5)1( 1.0)  3182464.4*
   116    44    2S2 2P5 3P3         (3)3( 3.0)  3185514.4*
   117    45    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  3187393.3*
   118    47    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  3193722.9*
   119    48    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  3196022.3*
   120    49    2S2 2P5 3P3         (3)0( 1.0)  3196238.2*
   121    50    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  3198870.1*
   122    51    2S2 2P5 3P3         (3)2( 3.0)  3199948.8*
   123    52    2S2 2P5 3P3         (3)2( 2.0)  3202680.0*
   124    53    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  3203305.6*
   125    54    2S2 2P5 3P3         (3)1( 0.0)  3210103.5*
   126    55    2S2 2P5 3P3         (1)1( 1.0)  3210502.1*
   127    56    2S2 2P5 3P3         (3)1( 2.0)  3211975.5*
   128    57    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  3214537.9*
   129    58    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  3214691.7*
   130    59    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  3215167.4*
   131    60    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  3216525.5*
   132    61    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  3216895.9*
   133    62    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  3217348.3*
   134    63    2S2 2P5 3P3         (1)2( 2.0)  3218144.9*
   135    64    2S2 2P5 3P3         (3)1( 1.0)  3219822.5*
   136    65    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  3220277.8*
   137    66    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  3221094.8*
   138    67    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  3223749.8*
   139    68    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  3223803.5*
   140    69    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  3224766.3*
   141    70    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  3228439.3*
   142    71    2S2 2P5 3P3         (3)2( 1.0)  3229193.5*
   143    72    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  3230994.9*
   144    73    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  3232115.2*
   145    74    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  3233813.0*
   146    75    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  3234394.6*
   147    76    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  3234750.9*
   148    77    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3235549.6*
   149    78    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3235851.2*
   150    79    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  3236333.6*
   151    80    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3238030.1*
   152    81    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  3238894.5*
   153    82    2S2 2P5 3P3         (3)1( 0.0)  3239937.3*
   154    83    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  3240416.7*
   155    84    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3241114.2*
   156    85    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  3241213.2*
   157    86    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  3241998.8*
   158    87    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  3242929.1*
   159    88    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3244252.2*
   160    89    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3244489.7*
   161    90    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  3244595.9*
   162    91    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  3245505.8*
   163    92    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3247337.3*
   164    93    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  3247577.9*
   165    94    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3249496.0*
   166    95    2S2 2P5 3P3         (1)2( 2.0)  3250160.0*
   167    96    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  3251662.7*
   168    97    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  3252314.1*
   169    98    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  3252965.5*
   170    99    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3254450.7*
   171   100    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3255277.9*
   172   101    2S2 2P5 3P3         (3)1( 1.0)  3256250.8*
   173   102    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3258350.6*
   174   103    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  3259100.3*
   175   104    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3260606.8*
   176   105    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3262397.3*
   177   106    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3263713.8*
   178   107    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3264517.4*
   179   108    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3267231.0*
   180   109    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  3268583.6*
   181   110    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3269554.6*
   182   111    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3269704.6*
   183   112    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3272241.3*
   184   113    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3272799.3*
   185   114    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3274294.2*
   186   115    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  3274314.1*
   187   116    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  3274625.2*
   188   117    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3275905.2*
   189   118    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3276275.6*
   190   119    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3277339.6*
   191   120    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3277729.3*
   192   121    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3278192.5*
   193   122    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  3280923.0*
   194   123    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  3281471.6*
   195   124    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  3281950.6*
   196   125    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  3282216.7*
   197   126    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3284889.1*
   198   127    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  3285219.3*
   199   128    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  3289506.4*
   200   129    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  3290747.9*
   201   130    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3297757.8*
   202   131    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3298058.8*
   203   132    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3298984.5*
   204   133    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3300304.5*
   205   134    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3300674.9*
   206   135    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3305387.6*
   207   136    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3307364.1*
   208   137    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  3308094.9*
   209   138    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3311857.9*
   210   139    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3313615.8*
   211   140    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  3318523.1*
   212   141    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  3324215.6*
   213   142    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3326926.0*
   214   143    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3328212.4*
   215   144    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  3329722.1*
   216   145    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  3331123.1*
   217   146    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  3332088.9*
   218   147    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  3332719.4*
   219   148    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3332834.7*
   220   149    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  3333790.3*
   221   150    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  3336373.1*
   222   151    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3338360.5*
   223   152    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3339061.8*
   224   153    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3340827.8*
   225   154    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3343547.5*
   226   155    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3343651.2*
   227   156    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3345000.9*
   228   157    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3345078.8*
