SEQ='NE'     NUCCHG=11                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  35150581.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                              7           8           9          10          11          12
                                                                             13          14          15          16          17          18
                                                                             19          20          21          22          23          24
                                                                             25          26          27          28          29          30
                                                                             31          32          33          34          35          36
                                                                             37          38          39          40          41          42
                                                                             43          44          45          46          47          48
                                                                             49          50          51          52          53          54
                                                                             55          56          57          58          59          60
                                                                             61          62          63          64          65          66
                                                                             67          68          69          70          71          72
                                                                             73          74          75          76          77          78
                                                                             79          80          81          82          83          84
                                                                             85          86          87          88          89          90
                                                                             91          92          93          94          95          96
                                                                             97          98          99         100         101         102
                                                                            103         104         105         106         107         108
                                                                            109         110         111         112         113         114
     2    28  3  -1    7.684074E+01   3.986E+12   1.196E+13   6.053E+14   5.059E+11   2.525E+11   4.517E+12   1.633E+11   2.567E+10   1.918E+10
                                                                          1.500E+11   1.506E+10   2.176E+14   1.450E+14   9.417E+10   6.279E+10
                                                                          3.150E+10   8.021E+03   1.047E+09   5.621E+08   1.048E+08   1.751E+08
                                                                          8.974E+08   3.160E+09   4.777E+08   1.192E+11   2.390E+11   4.146E+13
                                                                          6.745E+06   8.947E+06   3.882E+08   5.836E+07   1.075E+03   3.621E+08
                                                                          1.365E+08   1.619E+06   0.000E+00   1.072E+01   3.778E+09   5.261E+08
                                                                          1.323E+09   3.788E+01   4.824E+07   3.607E+09   1.720E+09   1.591E+08
                                                                          4.697E+10   2.118E+10   4.100E+09   1.223E+08   6.847E+08   5.520E+10
                                                                          2.849E+10   0.000E+00   0.000E+00   3.907E+06   1.236E+09   2.767E+11
                                                                          2.504E+11   1.678E+11   7.627E+08   9.844E-01   5.741E+10   3.886E+10
                                                                          2.003E+13   1.336E+13   6.683E+12   4.497E+12   2.489E+12   6.199E+06
                                                                          2.020E+06   3.973E+08   1.769E+08   6.261E+05   1.235E+09   5.101E+07
                                                                          2.909E+05   2.745E+10   1.322E+10   7.498E+09   1.201E+08   1.539E+11
                                                                          4.432E+09   8.786E+09   1.170E+10   1.263E+02   1.657E+02   1.004E+08
                                                                          3.001E+08   1.087E+03   1.373E+08   1.207E+02   1.130E+10   1.509E+10
                                                                          2.532E+08   1.718E+10   1.822E+08   2.913E+10   7.886E+10   7.346E+13
                                                                          3.650E+13   2.105E+11   3.170E+11   5.614E+07   1.190E+08   4.213E+11
                                                                          1.209E+11   6.063E+10   6.460E+03   8.561E+03   1.112E+06   8.903E+04
                                                                          3.519E+13   8.293E+10   1.659E+11   6.363E+06   9.659E+06   0.000E+00
     3    28  3  -1    7.683092E+01   3.649E+12
     4    28  3  -1    7.682199E+01   3.983E+12
     5    28  3  -1    7.679911E+01   3.355E+11
     3    29  3  -1    7.686751E+01   3.381E+11   1.202E+13   6.171E+14   6.349E+12   3.175E+12   4.377E+12   1.634E+11   2.568E+10   1.916E+10
                                                                          1.501E+11   1.504E+10   2.178E+14   1.451E+14   4.368E+01   1.633E+08
                                                                          4.349E+07   7.734E+04   2.207E+04   1.504E+07   1.297E+07   4.872E+04
                                                                          3.553E+08   1.158E+09   9.438E+06   4.418E+10   9.109E+10   4.136E+13
                                                                          6.446E+07   8.601E+07   3.580E+07   3.749E+04   0.000E+00   3.596E+08
                                                                          1.344E+08   1.654E+06   0.000E+00   0.000E+00   3.948E+09   5.232E+08
                                                                          1.406E+09   0.000E+00   4.953E+07   3.798E+09   1.858E+09   1.612E+08
