SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63077169.6  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)    69139.9 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)    69711.6 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   158171.7 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   158213.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  63343080.2 NLVL=   160
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    10   498  3  -1    1.357662E+02   2.199E+11
    12   498  3  -1    1.357554E+02   2.636E+09
    13   498  3  -1    1.357546E+02   6.283E+09
     3   499  3  -1    1.372645E+02   9.259E+08   3.650E+13   7.068E+14   3.056E+04   2.744E+06   2.649E+06   7.403E+10   8.009E+10
     8   499  3  -1    1.358870E+02   5.642E+09
     9   499  3  -1    1.357700E+02   1.181E+11
    10   499  3  -1    1.357686E+02   1.169E+11
    11   499  3  -1    1.357678E+02   5.064E+11
    12   499  3  -1    1.357578E+02   1.949E+09
    13   499  3  -1    1.357571E+02   1.012E+09
     2   500  3  -1    1.372689E+02   1.232E+09   3.648E+13   7.069E+14   2.209E+04   6.831E+05   4.552E+04   9.166E+10   5.912E+10
    10   500  3  -1    1.357700E+02   1.580E+11
    12   500  3  -1    1.357591E+02   1.416E+09
    10   501  3  -1    1.357799E+02   7.930E+09   3.602E+13   7.097E+14   1.338E+03   1.353E+04   7.605E+01   4.792E+09   3.084E+09
     9   502  3  -1    1.357814E+02   3.358E+09   3.601E+13   7.098E+14   8.410E+02   1.436E+05   4.060E+05   1.917E+09   2.542E+09
    10   502  3  -1    1.357800E+02   3.782E+09
    11   502  3  -1    1.357791E+02   1.107E+10
     9   503  3  -1    1.357816E+02   3.713E+09   3.600E+13   7.098E+14   3.407E+03   1.093E+06   5.710E+05   2.508E+08   1.118E+09
     7   505  3  -1    1.359221E+02   2.398E+09   3.601E+13   7.098E+14   0.000E+00   3.310E+06   8.721E+06   1.130E+07   1.024E+08
    14   505  3  -1    1.357696E+02   4.203E+09
     5   506  3  -1    1.359415E+02   1.772E+12   3.890E+13   7.023E+14   1.852E+05   2.146E+09   2.460E+09   3.021E+09   6.915E+08
     6   506  3  -1    1.359397E+02   1.805E+11
     8   506  3  -1    1.359155E+02   4.667E+09
     9   506  3  -1    1.357985E+02   4.169E+09
    10   506  3  -1    1.357971E+02   2.759E+10
    12   506  3  -1    1.357863E+02   1.152E+12
    13   506  3  -1    1.357856E+02   1.216E+11
    14   506  3  -1    1.357849E+02   2.394E+09
     5   507  3  -1    1.359424E+02   9.560E+09   3.788E+13   7.014E+14   2.035E+04   3.754E+08   7.073E+08   8.355E+10   1.172E+11
     8   507  3  -1    1.359164E+02   1.102E+12
     9   507  3  -1    1.357995E+02   1.065E+09
    11   507  3  -1    1.357972E+02   1.176E+10
     5   508  3  -1    1.359436E+02   2.501E+11   3.890E+13   7.023E+14   9.214E+04   1.841E+09   2.776E+09   2.295E+09   1.592E+09
     6   508  3  -1    1.359419E+02   1.664E+12
     7   508  3  -1    1.359396E+02   1.491E+11
     8   508  3  -1    1.359177E+02   2.114E+09
     9   508  3  -1    1.358007E+02   3.306E+10
    13   508  3  -1    1.357878E+02   1.007E+12
    14   508  3  -1    1.357871E+02   8.675E+10
     6   509  3  -1    1.359448E+02   1.920E+11   3.890E+13   7.023E+14   0.000E+00   1.264E+09   3.356E+09   2.908E+08   4.143E+09
     7   509  3  -1    1.359425E+02   1.896E+12
    14   509  3  -1    1.357900E+02   1.053E+12
     1   510  3  -1    1.373458E+02   1.091E+10   3.879E+13   7.027E+14   2.972E+07   3.369E+08   3.394E+09   4.058E+08   5.949E+08
     2   510  3  -1    1.373443E+02   2.761E+09
     5   510  3  -1    1.359897E+02   7.544E+11
     8   510  3  -1    1.359637E+02   7.831E+09
     9   510  3  -1    1.358467E+02   1.474E+10
    10   510  3  -1    1.358453E+02   4.330E+11
    11   510  3  -1    1.358445E+02   1.975E+12
    12   510  3  -1    1.358345E+02   2.869E+11
    13   510  3  -1    1.358338E+02   4.962E+10
     2   511  3  -1    1.373450E+02   8.329E+09   3.879E+13   7.027E+14   3.058E+07   8.905E+08   2.874E+09   2.674E+08   3.888E+08
     3   511  3  -1    1.373419E+02   1.694E+09
     5   511  3  -1    1.359904E+02   1.641E+11
     6   511  3  -1    1.359886E+02   7.833E+11
     9   511  3  -1    1.358475E+02   2.539E+11
    10   511  3  -1    1.358461E+02   1.542E+12
    12   511  3  -1    1.358352E+02   5.363E+09
    13   511  3  -1    1.358345E+02   2.696E+11
    14   511  3  -1    1.358338E+02   3.205E+10
     3   512  3  -1    1.373432E+02   9.570E+09   3.879E+13   7.027E+14   3.198E+07   1.746E+09   2.066E+09   1.132E+08   2.787E+08
     5   512  3  -1    1.359917E+02   6.173E+09
