SEQ='NA'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  62720095.9  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63076909.1 NLVL=   181
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   117   144    1S2 2S2 2P5 3D2     (2)4( 3.5)  1140801.5*
   118   145    1S2 2S2 2P5 3D2     (4)3( 1.5)  1141732.2*
   119   146    1S2 2S2 2P5 3D2     (4)3( 2.5)  1142765.9*
   120   147    1S2 2S2 2P5 3D2     (4)3( 3.5)  1145024.1*
   121   148    1S2 2S2 2P5 3D2     (2)3( 2.5)  1145454.4*
   122   149    1S2 2S2 2P5 3D2     (4)1( 2.5)  1146061.0*
   123   150    1S2 2S2 2P5 3D2     (2)3( 3.5)  1146272.7*
   124   152    1S2 2S2 2P5 3D2     (2)2( 2.5)  1146933.7*
   125   153    1S2 2S2 2P5 3D2     (4)1( 1.5)  1147238.4*
   126   154    1S2 2S2 2P5 3D2     (2)2( 1.5)  1148190.5*
   127   155    1S2 2S2 2P5 3D2     (4)1( 0.5)  1148255.7*
   128   157    1S2 2S2 2P5 3D2     (2)1( 0.5)  1149904.8*
   129   158    1S2 2S2 2P5 3D2     (2)3( 3.5)  1150591.8*
   130   159    1S2 2S2 2P5 3D2     (2)1( 1.5)  1151984.9*
   131   160    1S2 2S2 2P5 3D2     (4)2( 3.5)  1152241.0*
   132   161    1S2 2S2 2P5 3D2     (4)2( 2.5)  1152312.6*
   133   163    1S2 2S2 2P5 3D2     (2)3( 2.5)  1152983.5*
   134   164    1S2 2S2 2P5 3D2     (2)2( 1.5)  1153024.5*
   135   165    1S2 2S2 2P5 3D2     (2)2( 2.5)  1155356.9*
   136   166    1S2 2S2 2P5 3D2     (2)3( 3.5)  1155679.0*
   137   167    1S2 2S2 2P5 3D2     (4)2( 0.5)  1155978.5*
   138   168    1S2 2S2 2P5 3D2     (4)2( 1.5)  1156271.6*
   139   169    1S2 2S2 2P5 3D2     (2)2( 2.5)  1158403.4*
   140   170    1S2 2S2 2P5 3D2     (4)0( 1.5)  1158677.7*
   141   171    1S2 2S2 2P5 3D2     (2)0( 0.5)  1159105.8*
   142   173    1S2 2S2 2P5 3D2     (2)2( 1.5)  1159891.8*
   143   174    1S2 2S2 2P5 3D2     (2)3( 2.5)  1159937.6*
   144   175    1S2 2S2 2P5 3D2     (2)4( 3.5)  1161201.7*
   145   176    1S2 2S2 2P5 3D2     (2)1( 0.5)  1161452.2*
   146   177    1S2 2S2 2P5 3D2     (2)1( 1.5)  1163582.1*
   147   178    1S2 2S2 2P5 3D2     (2)1( 1.5)  1181783.0*
