SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63076954.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    69764.0 
     3          2S2 2P6 3P1         (2)1( 1.5)    70231.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   158402.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   158438.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63342701.4 NLVL=   981
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   133    72    2S2 2P5 3P3         (3)2( 2.0)   970675.9*
   134    73    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)   970810.4*
   135    74    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)   971148.6*
   136    75    2S2 2P5 3P3         (3)2( 1.0)   971480.2*
   137    76    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)   971780.9*
   138    77    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)   972282.9*
   139    78    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)   972571.8*
   140    79    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   973650.5*
   141    80    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)   973705.6*
   142    81    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)   973721.6*
   143    82    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   974433.4*
   144    83    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   974463.0*
   145    84    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)   974664.2*
   146    85    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)   975211.6*
   147    86    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)   975542.8*
   148    87    2S2 2P5 3P3         (1)1( 1.0)   975876.5*
   149    88    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)   976170.7*
   150    89    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)   976198.3*
   151    90    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)   976474.3*
   152    91    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)   976953.7*
   153    92    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)   977379.0*
   154    93    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)   979935.0*
   155    94    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)   979943.9*
