SEQ='NE'     NUCCHG=28                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 283807305.8  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    12    12    1S2 2S2 2P5 3P1     (3)2( 1.0)  7567179.1 
    13    13    1S2 2S2 2P5 3P1     (3)1( 1.0)  7604828.7 
    14    14    1S2 2S2 2P5 3P1     (1)2( 2.0)  7609002.2 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)  7762886.7 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)  7819803.1 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)  7830066.3 
    18    18    1S2 2S2 2P5 3D1     (3)3( 4.0)  7847319.1 
    19    19    1S2 2S2 2P5 3D1     (3)1( 2.0)  7848633.6 
    20    20    1S2 2S2 2P5 3D1     (3)3( 3.0)  7850504.7 
    21    21    1S2 2S2 2P5 3D1     (1)2( 2.0)  7866432.2 
    22    22    1S2 2S2 2P5 3D1     (3)2( 3.0)  7878762.5 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)  7927333.6 
    24    24    1S2 2S2 2P5 3D1     (3)3( 2.0)  8000563.1 
    25    25    1S2 2S2 2P5 3D1     (3)2( 2.0)  8011677.2 
    26    26    1S2 2S2 2P5 3D1     (1)3( 3.0)  8017076.4 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)  8079930.5 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 67751354.9*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 67799428.8*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 68039175.3*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 68045470.9*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 68075377.9*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 68101702.5*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 68524031.3*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 68524299.6*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 68532411.0*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 68532848.5*
  
NI19     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
                                                                              7           8           9          10          11          12
                                                                             13          14          15          16          17          18
