SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86007310.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   104740.3 
     3          2S2 2P6 3P1         (2)1( 1.5)   105995.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   247928.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   248073.7 

   IC RESOLVED LEVEL INDEXING           BWNR=  86586122.6 NLVL=  1096
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   123    54    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  1595279.1*
   124    55    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  1596045.4*
   125    56    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  1596451.4*
   126    57    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  1596637.3*
   127    58    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  1597274.6*
   128    59    2S2 2P5 3P3         (3)1( 0.0)  1597543.0*
   129    60    2S2 2P5 3P3         (3)1( 2.0)  1597861.2*
   130    61    2S2 2P5 3P3         (3)1( 1.0)  1597961.5*
   131    62    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  1599869.2*
   132    63    2S2 2P5 3P3         (3)2( 2.0)  1600185.9*
   133    64    2S2 2P5 3P3         (3)2( 1.0)  1601151.8*
   134    65    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  1601970.4*
   135    66    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  1602508.2*
   136    67    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  1603064.6*
   137    68    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  1603273.8*
   138    69    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  1605260.1*
   139    70    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  1605447.4*
   140    71    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1605988.3*
   141    72    2S2 2P5 3P3         (1)1( 1.0)  1606018.7*
   142    73    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1606226.9*
   143    74    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1606612.6*
   144    75    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1607963.8*
   145    76    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1609045.0*
   146    77    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1609184.2*
   147    78    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1610074.9*
   148    79    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  1610655.3*
   149    80    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  1611200.7*
   150    81    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  1612262.2*
   151    82    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1612402.1*
   152    83    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1613393.8*
   153    84    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1613836.4*
   154    85    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1614437.4*
   155    86    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1614602.7*
   156    87    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1615315.4*
   157    88    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  1616068.9*
   158    89    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1616347.6*
   159    90    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1616375.5*
   160    91    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  1616778.3*
   161    92    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  1617396.9*
   162    93    2S2 2P5 3P3         (3)1( 2.0)  1618022.7*
   163    94    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  1618644.1*
   164    95    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1619122.1*
   165    96    2S2 2P5 3P3         (1)2( 2.0)  1620458.8*
   166    97    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  1621007.7*
   167    98    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  1621854.4*
   168    99    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1622146.7*
   169   100    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1623157.2*
   170   101    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  1623397.8*
   171   102    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1624924.2*
   172   103    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1625309.9*
   173   104    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1625564.6*
   174   105    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1626543.5*
   175   106    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1626993.5*
   176   107    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1628031.4*
   177   108    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1628413.5*
   178   109    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1628477.3*
   179   110    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1628832.0*
   180   111    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1630828.0*
   181   112    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1631056.9*
   182   113    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1631226.8*
   183   114    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1631365.9*
   184   115    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1634790.7*
   185   116    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  1635054.0*
   186   117    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1635575.4*
   187   118    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1636096.4*
   188   119    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1636225.9*
   189   120    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1637336.0*
   190   121    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1637985.8*
   191   122    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  1638739.4*
   192   123    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1639120.3*
   193   124    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1639363.4*
   194   125    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  1639719.4*
   195   126    2S2 2P5 3P3         (1)0( 0.0)  1640636.6*
   196   127    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1640884.7*
   197   128    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1641370.9*
   198   129    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1641717.3*
   199   130    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  1642890.7*
   200   131    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  1646546.0*
