SEQ='NA'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  73568537.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74085637.4 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   101   120    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1373965.9*
   102   121    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1374800.4*
   103   122    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1375498.3*
   104   123    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1376095.8*
   105   126    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  1396499.2*
   106   127    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  1399807.4*
   107   129    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  1402531.0*
   108   130    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1404886.9*
   109   131    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1408720.1*
   110   132    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  1410136.4*
   111   133    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  1444709.6*
   112   134    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  1445193.6*
   113   135    1S2 2S2 2P5 3D2     (4)2( 0.5)  1469848.3*
   114   136    1S2 2S2 2P5 3D2     (4)2( 1.5)  1470224.6*
   115   137    1S2 2S2 2P5 3D2     (4)2( 2.5)  1470894.0*
   116   138    1S2 2S2 2P5 3D2     (4)2( 3.5)  1472003.7*
   117   141    1S2 2S2 2P5 3D2     (4)4( 3.5)  1475289.7*
   118   142    1S2 2S2 2P5 3D2     (4)4( 2.5)  1476478.1*
   119   144    1S2 2S2 2P5 3D2     (2)4( 3.5)  1477416.2*
   120   145    1S2 2S2 2P5 3D2     (4)3( 1.5)  1478589.1*
   121   146    1S2 2S2 2P5 3D2     (4)3( 2.5)  1479936.3*
   122   147    1S2 2S2 2P5 3D2     (4)1( 2.5)  1482449.9*
   123   148    1S2 2S2 2P5 3D2     (4)3( 3.5)  1482800.4*
