SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085659.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    87341.3 
     3          2S2 2P6 3P1         (2)1( 1.5)    88138.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   203504.5 
     5          2S2 2P6 3D1         (2)2( 2.5)   203581.9 

   IC RESOLVED LEVEL INDEXING           BWNR=  74495206.5 NLVL=  1082
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   146    78    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1277304.3*
   147    79    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  1277728.8*
   148    80    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  1278680.1*
   149    81    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1279085.8*
   150    82    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  1279182.6*
   151    83    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1280037.2*
   152    84    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  1280403.5*
   153    85    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1280891.7*
   154    86    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  1280935.2*
   155    87    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  1281570.6*
   156    88    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  1282223.1*
   157    89    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  1282463.2*
   158    90    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  1282983.9*
   159    91    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  1283178.2*
   160    92    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  1283659.2*
   161    93    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1285344.8*
   162    94    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1285873.9*
   163    95    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1286154.1*
   164    96    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  1286471.8*
   165    97    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  1286845.4*
   166    98    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  1287193.2*
   167    99    2S2 2P5 3P3         (1)2( 2.0)  1288264.2*
