SEQ='NA'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  97930480.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  98844272.0 NLVL=   190
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    91   110    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  2080409.6*
    92   111    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  2080473.9*
    93   112    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  2081640.4*
    94   113    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  2083783.1*
    95   115    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  2084328.0*
    96   116    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  2084533.7*
    97   117    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  2085856.0*
    98   118    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  2087167.5*
    99   119    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  2092471.4*
   100   120    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  2095013.2*
   101   121    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  2095270.7*
   102   122    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  2097305.4*
   103   123    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  2097615.2*
   104   126    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  2121047.5*
   105   127    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  2122313.0*
   106   128    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  2125335.0*
   107   130    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  2131757.3*
   108   131    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  2136568.8*
   109   132    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  2139170.4*
   110   133    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  2181202.1*
   111   134    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  2182200.5*
   112   135    1S2 2S2 2P5 3D2     (4)2( 0.5)  2220323.6*
   113   136    1S2 2S2 2P5 3D2     (4)2( 1.5)  2220946.3*
   114   137    1S2 2S2 2P5 3D2     (4)2( 2.5)  2222042.5*
   115   138    1S2 2S2 2P5 3D2     (4)2( 3.5)  2223884.4*
   116   140    1S2 2S1 2P6 3S2     (2)0( 0.5)  2227413.0*
   117   142    1S2 2S2 2P5 3D2     (4)4( 3.5)  2229644.6*
   118   143    1S2 2S2 2P5 3D2     (4)4( 2.5)  2231279.6*
   119   145    1S2 2S2 2P5 3D2     (2)4( 3.5)  2233410.0*
   120   146    1S2 2S2 2P5 3D2     (4)3( 1.5)  2235068.2*
   121   147    1S2 2S2 2P5 3D2     (4)3( 2.5)  2236835.7*
   122   148    1S2 2S2 2P5 3D2     (4)1( 2.5)  2237703.9*
   123   149    1S2 2S2 2P5 3D2     (4)1( 1.5)  2240327.8*
   124   150    1S2 2S2 2P5 3D2     (2)3( 3.5)  2241498.2*
   125   151    1S2 2S2 2P5 3D2     (2)3( 2.5)  2241652.1*
   126   152    1S2 2S2 2P5 3D2     (4)1( 0.5)  2242673.1*
   127   153    1S2 2S2 2P5 3D2     (2)2( 2.5)  2243934.6*
   128   154    1S2 2S2 2P5 3D2     (2)2( 1.5)  2244828.1*
   129   155    1S2 2S2 2P5 3D2     (4)3( 3.5)  2245262.9*
   130   157    1S2 2S2 2P5 3D2     (2)1( 0.5)  2246263.8*
   131   159    1S2 2S2 2P5 3D2     (2)3( 3.5)  2249616.8*
   132   161    1S2 2S2 2P5 3D2     (4)2( 2.5)  2253629.8*
   133   163    1S2 2S2 2P5 3D2     (2)1( 1.5)  2254364.9*
   134   164    1S2 2S2 2P5 3D2     (2)2( 1.5)  2254730.3*
   135   165    1S2 2S2 2P5 3D2     (2)3( 2.5)  2260628.2*
   136   166    1S2 2S2 2P5 3D2     (4)2( 0.5)  2261716.6*
   137   167    1S2 2S2 2P5 3D2     (4)2( 1.5)  2263418.6*
   138   168    1S2 2S2 2P5 3D2     (2)4( 3.5)  2263503.3*
   139   169    1S2 2S2 2P5 3D2     (2)3( 2.5)  2264485.7*
   140   170    1S2 2S2 2P5 3D2     (4)0( 1.5)  2267873.8*
   141   171    1S2 2S2 2P5 3D2     (2)2( 2.5)  2267922.7*
   142   172    1S2 2S2 2P5 3D2     (2)0( 0.5)  2268365.0*
   143   174    1S2 2S2 2P5 3D2     (2)3( 3.5)  2276124.8*
   144   175    1S2 2S2 2P5 3D2     (2)2( 2.5)  2277092.2*
   145   176    1S2 2S2 2P5 3D2     (2)2( 1.5)  2277957.9*
   146   177    1S2 2S2 2P5 3D2     (2)1( 0.5)  2278526.3*
   147   178    1S2 2S2 2P5 3D2     (2)1( 1.5)  2283748.4*
   148   179    1S2 2S2 2P5 3D2     (2)1( 1.5)  2299408.7*
   149   181    1S2 2S1 2P6 3S1 3P1 (4)1( 1.5)  2309103.0*
   150   183    1S2 2S2 2P5 3D2     (2)1( 0.5)  2314154.2*
   151   184    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  2342558.0*
   152   185    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  2343346.6*
   153   186    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  2381469.7*
   154   187    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  2382268.4*
   155   188    1S2 2S1 2P6 3P2     (2)2( 2.5)  2451360.2*
   156   189    1S2 2S1 2P6 3P2     (2)2( 1.5)  2451495.8*
   157   190    1S2 2S1 2P6 3P2     (4)1( 0.5)  2453623.2*
   158   191    1S2 2S1 2P6 3P2     (4)1( 1.5)  2454519.9*
   159   192    1S2 2S1 2P6 3P2     (4)1( 2.5)  2456052.1*
   160   193    1S2 2S1 2P6 3P2     (2)1( 0.5)  2467894.3*
   161   194    1S2 2S1 2P6 3P2     (2)1( 1.5)  2469584.0*
   162   199    1S2 2S1 2P6 3P2     (2)0( 0.5)  2506936.2*
   163   200    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  2535192.5*
   164   201    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  2535352.2*
   165   202    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  2568546.7*
   166   203    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  2568655.3*
