SEQ='NE'     NUCCHG=13                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  51820567.8  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     4     4    1S2 2S2 2P5 3S1     (3)1( 0.0)   594024.2 
     5     5    1S2 2S2 2P5 3S1     (1)1( 1.0)   598973.3 
     6     6    1S2 2S2 2P5 3P1     (3)0( 1.0)   645666.1 
     7     7    1S2 2S2 2P5 3P1     (3)2( 3.0)   652599.1 
     8     8    1S2 2S2 2P5 3P1     (3)2( 2.0)   653601.8 
     9     9    1S2 2S2 2P5 3P1     (3)2( 1.0)   655158.8 
    10    10    1S2 2S2 2P5 3P1     (3)1( 2.0)   657762.0 
    11    11    1S2 2S2 2P5 3P1     (1)1( 1.0)   659208.0 
    12    12    1S2 2S2 2P5 3P1     (3)1( 0.0)   660558.2 
    13    13    1S2 2S2 2P5 3P1     (1)2( 2.0)   660713.3 
    14    14    1S2 2S2 2P5 3P1     (3)1( 1.0)   661154.6 
    15    15    1S2 2S2 2P5 3P1     (1)0( 0.0)   720669.7 
    16    16    1S2 2S2 2P5 3D1     (3)1( 0.0)   733425.7 
    17    17    1S2 2S2 2P5 3D1     (3)1( 1.0)   733898.4 
    18    18    1S2 2S2 2P5 3D1     (3)1( 2.0)   734890.4 
    19    19    1S2 2S2 2P5 3D1     (3)3( 4.0)   735333.9 
    20    20    1S2 2S2 2P5 3D1     (3)3( 3.0)   735919.1 
    21    21    1S2 2S2 2P5 3D1     (3)3( 2.0)   737355.4 
    22    22    1S2 2S2 2P5 3D1     (1)3( 3.0)   737893.5 
    23    23    1S2 2S2 2P5 3D1     (3)2( 1.0)   740280.4 
    24    24    1S2 2S2 2P5 3D1     (1)2( 2.0)   741239.4 
    25    25    1S2 2S2 2P5 3D1     (3)2( 3.0)   741571.6 
    26    26    1S2 2S2 2P5 3D1     (3)2( 2.0)   741893.6 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)   745290.2 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 12610714.8*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 12619837.1*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 12674659.8*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 12674819.7*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 12675175.3*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 12679797.3*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 12764556.5*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 12764559.3*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 12764594.4*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 12764599.6*
  
AL 4     /IC/

