SEQ='NE'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  71808099.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    24    24    1S2 2S2 2P5 3D1     (1)2( 2.0)  1315694.2 
    25    25    1S2 2S2 2P5 3D1     (3)2( 3.0)  1316663.3 
    26    26    1S2 2S2 2P5 3D1     (3)2( 2.0)  1317131.1 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)  1329092.7 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 17368338.1*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 17382559.5*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 17463160.8*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 17463566.7*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 17464520.2*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 17472309.5*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 17607602.7*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 17607615.1*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 17607756.6*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 17607779.9*
  
P  6     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
                                                                              7           8           9          10          11          12
                                                                             13          14          15          16          17          18
                                                                             19          20          21          22          23          24
                                                                             25          26          27          28          29          30
                                                                             31          32          33          34          35          36
                                                                             37          38          39          40          41          42
                                                                             43          44          45          46          47          48
                                                                             49          50          51          52          53          54
                                                                             55          56          57          58          59          60
                                                                             61          62          63          64          65          66
                                                                             67          68          69          70          71          72
                                                                             73          74          75          76          77          78
                                                                             79          80          81          82          83          84
                                                                             85          86          87          88          89          90
                                                                             91          92          93          94          95          96
                                                                             97          98          99         100         101         102
                                                                            103         104         105         106         107         108
                                                                            109         110         111         112         113         114
     2    28  3  -1    1.484361E+02   1.654E+13   4.961E+13   7.160E+14   2.035E+12   1.016E+12   7.428E+12   1.360E+12   3.285E+11   1.941E+11
                                                                          1.425E+12   1.832E+11   2.563E+14   1.700E+14   1.966E+11   1.377E+11
                                                                          6.870E+10   2.504E+05   5.686E+09   3.107E+09   5.314E+08   4.855E+13
                                                                          2.006E+09   2.060E+11   1.440E+11   9.959E+10   3.699E+11   1.116E+11
                                                                          3.187E+07   3.698E+07   5.300E+09   7.837E+08   1.562E+10   3.765E+10
                                                                          1.750E+11   3.658E+04   2.362E+09   1.066E+09   4.197E+06   8.913E+10
                                                                          0.000E+00   7.790E+02   1.761E+09   1.517E+09   5.636E+08   1.501E+08
                                                                          1.061E+03   1.234E+09   1.609E+08   5.726E+08   1.056E+07   9.462E+09
                                                                          9.257E+07   1.917E-01   0.000E+00   2.309E+11   4.131E+08   4.574E+10
                                                                          1.571E+02   5.420E+09   3.795E+11   2.682E+11   8.381E+10   6.581E+10
