SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085886.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)    86683.0 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)    87642.8 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   203276.5 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   203366.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74496363.9 NLVL=   165
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    13   474  3  -1    1.561698E+02   3.834E+09
    14   474  3  -1    1.561687E+02   1.008E+10
     1   475  3  -1    1.582653E+02   2.267E+12   5.090E+13   7.502E+14   5.238E+11   6.529E+10   1.074E+10   1.001E+11   2.132E+05
     2   475  3  -1    1.582627E+02   6.115E+11
     3   475  3  -1    1.582574E+02   2.816E+10
     5   475  3  -1    1.564802E+02   1.066E+10
    11   475  3  -1    1.562970E+02   7.605E+09
     2   476  3  -1    1.582629E+02   1.695E+12   5.090E+13   7.503E+14   5.238E+11   4.096E+10   3.520E+10   6.031E+10   3.956E+10
     3   476  3  -1    1.582576E+02   3.975E+11
     5   476  3  -1    1.564804E+02   2.016E+09
     6   476  3  -1    1.564773E+02   1.126E+10
    10   476  3  -1    1.562986E+02   5.881E+09
     3   477  3  -1    1.582578E+02   1.980E+12   5.090E+13   7.502E+14   5.242E+11   2.017E+07   7.595E+10   4.323E+05   9.963E+10
     7   477  3  -1    1.564736E+02   1.260E+10
     9   477  3  -1    1.563011E+02   6.841E+09
     4   478  3  -1    1.579913E+02   2.409E+12   5.092E+13   7.694E+14   5.570E+11   1.992E+11   3.989E+11   5.393E+10   8.118E+10
     8   478  3  -1    1.565427E+02   2.565E+10
    15   478  3  -1    1.561173E+02   1.647E+10
     1   479  3  -1    1.585494E+02   5.424E+11   5.110E+13   7.511E+14   2.764E+11   4.092E+10   4.878E+10   3.959E+05   1.525E+08
     2   479  3  -1    1.585468E+02   5.375E+11
     3   479  3  -1    1.585415E+02   5.255E+11
     9   479  3  -1    1.565848E+02   5.480E+09
    10   479  3  -1    1.565825E+02   4.626E+09
     2   480  3  -1    1.586476E+02   1.203E+11   5.009E+13   7.646E+14   3.634E+10   6.604E+11   3.968E+10   1.676E+10   1.021E+10
     4   480  3  -1    1.582791E+02   6.994E+10
    10   480  3  -1    1.566833E+02   7.410E+09
    12   480  3  -1    1.566679E+02   1.467E+10
    16   480  3  -1    1.563505E+02   3.672E+09
     1   481  3  -1    1.586548E+02   3.520E+11   4.993E+13   7.630E+14   5.120E+08   3.534E+11   3.462E+11   1.613E+10   1.491E+10
     2   481  3  -1    1.586522E+02   8.362E+10
     3   481  3  -1    1.586469E+02   1.208E+11
     4   481  3  -1    1.582838E+02   1.942E+10
     9   481  3  -1    1.566902E+02   7.098E+09
    10   481  3  -1    1.566879E+02   2.217E+09
    11   481  3  -1    1.566865E+02   1.685E+10
    12   481  3  -1    1.566725E+02   1.698E+10
    13   481  3  -1    1.566712E+02   2.345E+10
     2   482  3  -1    1.586570E+02   1.566E+11   4.990E+13   7.632E+14   5.130E+07   1.144E+11   5.904E+11   9.422E+09   2.175E+10
     3   482  3  -1    1.586517E+02   2.980E+11
     9   482  3  -1    1.566950E+02   8.688E+09
    10   482  3  -1    1.566927E+02   6.038E+09
    13   482  3  -1    1.566760E+02   1.219E+10
    14   482  3  -1    1.566748E+02   3.632E+10
     2   483  3  -1    1.586649E+02   1.508E+10   5.096E+13   7.746E+14   2.402E+11   4.131E+10   6.763E+11   1.898E+09   2.314E+09
     4   483  3  -1    1.582965E+02   4.496E+11
    10   483  3  -1    1.567006E+02   1.096E+09
    12   483  3  -1    1.566852E+02   2.179E+09
    16   483  3  -1    1.563679E+02   2.604E+10
     4   484  3  -1    1.583305E+02   4.851E+12   5.447E+13   7.447E+14   1.137E+08   7.009E+10   1.815E+11   1.194E+10   1.915E+10
     8   484  3  -1    1.568819E+02   1.419E+10
    16   484  3  -1    1.564019E+02   1.207E+10
     1   485  3  -1    1.589323E+02   3.541E+11   4.979E+13   7.393E+14   1.064E+11   1.011E+10   2.914E+09   6.297E+11   2.084E+07
     2   485  3  -1    1.589297E+02   9.077E+10
     3   485  3  -1    1.589244E+02   3.825E+09
     5   485  3  -1    1.571472E+02   1.487E+10
    11   485  3  -1    1.569640E+02   1.669E+10
    12   485  3  -1    1.569500E+02   2.853E+10
    13   485  3  -1    1.569487E+02   5.385E+09
     2   486  3  -1    1.589300E+02   2.650E+11   4.979E+13   7.393E+14   1.062E+11   6.797E+09   6.259E+09   3.886E+11   2.413E+11
     3   486  3  -1    1.589247E+02   5.581E+10
     5   486  3  -1    1.571475E+02   3.036E+09
     6   486  3  -1    1.571444E+02   1.564E+10
    10   486  3  -1    1.569657E+02   1.557E+10
    12   486  3  -1    1.569503E+02   5.867E+09
    13   486  3  -1    1.569490E+02   2.578E+10
    14   486  3  -1    1.569478E+02   3.862E+09
     3   487  3  -1    1.589251E+02   3.004E+11   4.979E+13   7.393E+14   1.060E+11   3.108E+08   1.268E+10   1.923E+07   6.302E+11
     6   487  3  -1    1.571448E+02   2.250E+09
     7   487  3  -1    1.571409E+02   1.768E+10
     9   487  3  -1    1.569684E+02   1.687E+10
    13   487  3  -1    1.569495E+02   2.974E+09
    14   487  3  -1    1.569483E+02   3.049E+10
     4   488  3  -1    1.585805E+02   4.038E+11   4.985E+13   7.444E+14   7.655E+10   4.152E+10   8.692E+10   2.274E+11   3.685E+11
     8   488  3  -1    1.571320E+02   1.540E+10
    15   488  3  -1    1.567066E+02   5.864E+10
    16   488  3  -1    1.566519E+02   3.326E+10
     5   489  3  -1    1.583763E+02   4.303E+11   5.058E+13   7.397E+14   1.076E+05   1.739E+08   1.812E+08   3.006E+11   7.557E+10
     6   489  3  -1    1.583732E+02   3.314E+10
     8   489  3  -1    1.583419E+02   3.422E+09
     9   489  3  -1    1.581968E+02   2.652E+09
    10   489  3  -1    1.581946E+02   2.123E+10
    12   489  3  -1    1.581792E+02   8.107E+11
    13   489  3  -1    1.581779E+02   8.309E+10
    14   489  3  -1    1.581767E+02   1.550E+09
     5   490  3  -1    1.583777E+02   4.213E+10   5.060E+13   7.397E+14   1.873E+04   1.366E+08   4.158E+08   2.279E+11   1.495E+11
     6   490  3  -1    1.583746E+02   3.919E+11
     7   490  3  -1    1.583707E+02   2.427E+10
     8   490  3  -1    1.583433E+02   6.525E+10
     9   490  3  -1    1.581982E+02   2.277E+10
    13   490  3  -1    1.581793E+02   7.153E+11
    14   490  3  -1    1.581781E+02   5.978E+10
     6   491  3  -1    1.583772E+02   3.666E+10   5.058E+13   7.397E+14   0.000E+00   9.174E+07   3.087E+08   4.080E+10   3.363E+11
     7   491  3  -1    1.583733E+02   4.308E+11
    14   491  3  -1    1.581806E+02   7.814E+11
     5   492  3  -1    1.583926E+02   3.206E+10   5.152E+13   7.361E+14   7.182E+04   2.923E+09   5.223E+09   1.333E+11   2.932E+11
     6   492  3  -1    1.583895E+02   1.186E+10
     8   492  3  -1    1.583581E+02   2.717E+12
    13   492  3  -1    1.581941E+02   1.199E+10
    15   492  3  -1    1.579327E+02   2.987E+10
     6   495  3  -1    1.584166E+02   2.354E+09   4.949E+13   7.450E+14   1.373E+04   3.299E+05   2.651E+06   9.562E+07   2.350E+08
     7   496  3  -1    1.584153E+02   2.327E+09   4.949E+13   7.450E+14   0.000E+00   3.770E+05   5.573E+06   1.367E+07   4.112E+08
     3   498  3  -1    1.602470E+02   3.659E+09   5.022E+13   7.420E+14   1.676E+05   1.417E+07   4.147E+07   5.633E+10   1.374E+11
     9   498  3  -1    1.582903E+02   5.048E+11
    10   498  3  -1    1.582880E+02   3.266E+11
    12   498  3  -1    1.582726E+02   4.206E+09
    13   498  3  -1    1.582713E+02   1.014E+10
     8   499  3  -1    1.584382E+02   8.643E+09   5.006E+13   7.427E+14   6.353E+04   2.648E+07   1.570E+07   7.195E+10   7.763E+10
