SEQ='NA'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 141171768.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 142868363.9 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   126   151    1S2 2S2 2P5 3D2     (2)2( 2.5)  3598452.7*
   127   152    1S2 2S2 2P5 3D2     (2)3( 3.5)  3599155.2*
   128   153    1S2 2S2 2P5 3D2     (2)2( 1.5)  3601501.9*
   129   155    1S2 2S2 2P5 3D2     (2)1( 0.5)  3602787.1*
   130   156    1S2 2S2 2P5 3D2     (2)3( 3.5)  3605571.2*
   131   157    1S2 2S2 2P5 3D2     (4)4( 2.5)  3605719.5*
   132   158    1S2 2S2 2P5 3D2     (4)3( 3.5)  3613189.4*
   133   160    1S2 2S2 2P5 3D2     (4)2( 2.5)  3615973.9*
   134   161    1S2 2S1 2P6 3S1 3P1 (4)1( 0.5)  3616143.1*
   135   162    1S2 2S2 2P5 3D2     (2)2( 1.5)  3616718.5*
   136   163    1S2 2S2 2P5 3D2     (4)2( 3.5)  3617667.9*
   137   165    1S2 2S1 2P6 3S1 3P1 (4)1( 1.5)  3618015.3*
   138   166    1S2 2S2 2P5 3D2     (2)1( 1.5)  3620863.5*
   139   168    1S2 2S2 2P5 3D2     (4)2( 0.5)  3630831.6*
   140   169    1S2 2S2 2P5 3D2     (2)3( 2.5)  3633513.4*
   141   170    1S2 2S2 2P5 3D2     (4)2( 1.5)  3634725.7*
   142   171    1S2 2S2 2P5 3D2     (2)4( 3.5)  3634736.8*
   143   172    1S2 2S2 2P5 3D2     (2)3( 2.5)  3638339.9*
   144   173    1S2 2S2 2P5 3D2     (4)0( 1.5)  3642136.0*
   145   174    1S2 2S2 2P5 3D2     (2)0( 0.5)  3642366.8*
   146   175    1S2 2S2 2P5 3D2     (2)2( 2.5)  3644447.3*
   147   177    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  3657183.9*
   148   178    1S2 2S2 2P5 3D2     (2)3( 3.5)  3660464.9*
   149   179    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  3661646.1*
   150   180    1S2 2S2 2P5 3D2     (2)2( 2.5)  3664421.1*
   151   181    1S2 2S2 2P5 3D2     (2)2( 1.5)  3664846.0*
   152   182    1S2 2S2 2P5 3D2     (2)1( 0.5)  3667262.1*
   153   183    1S2 2S2 2P5 3D2     (2)1( 1.5)  3672477.1*
   154   184    1S2 2S2 2P5 3D2     (2)1( 1.5)  3681930.4*
