SEQ='MG'     NUCCHG=26                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 255933470.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   274947.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   295123.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   679003.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   683387.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 259585121.1 NLVL=  1120
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   175   103    2S2 2P5 3P3         (3)1( 2.0)  6633135.4*
   176   104    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  6634865.0*
   177   105    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  6635377.6*
   178   106    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  6639538.4*
   179   107    2S2 2P5 3P3         (3)1( 1.0)  6640557.6*
   180   108    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  6644345.1*
   181   109    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  6645989.8*
   182   110    2S2 2P5 3P3         (3)1( 2.0)  6647180.6*
   183   111    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  6649863.6*
   184   112    2S2 2P5 3P3         (1)2( 2.0)  6651664.0*
   185   113    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  6664035.4*
   186   114    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  6668252.5*
   187   115    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  6668479.3*
   188   116    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  6671856.4*
   189   117    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  6674645.7*
   190   118    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  6675995.4*
   191   119    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  6676212.6*
   192   120    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  6681157.2*
   193   121    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  6682136.8*
   194   122    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  6682258.7*
   195   123    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  6682545.9*
   196   124    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6685563.8*
   197   125    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6687404.4*
   198   126    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  6688111.1*
