SEQ='MG'     NUCCHG=22                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 176834102.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   207222.1 
     3          2S2 2P6 3P1         (2)1( 1.5)   215619.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   505958.9 
     5          2S2 2P6 3D1         (2)2( 2.5)   507555.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 178956323.0 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   159    88    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  4241449.2*
   160    89    2S2 2P5 3P3         (3)1( 2.0)  4241495.6*
   161    90    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  4241691.0*
   162    91    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  4242557.5*
   163    92    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4246067.2*
   164    93    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  4248047.8*
   165    94    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  4249496.8*
   166    95    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  4249867.6*
   167    96    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  4250058.3*
   168    97    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4250230.7*
   169    98    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4251419.6*
   170    99    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  4251908.4*
   171   100    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4252844.5*
   172   101    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4255195.5*
   173   102    2S2 2P5 3P3         (3)1( 1.0)  4255612.3*
   174   103    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  4257270.0*
   175   104    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  4259370.4*
   176   105    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4259777.0*
   177   106    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  4263859.0*
   178   107    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4264503.6*
   179   108    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  4264762.6*
   180   109    2S2 2P5 3P3         (1)2( 2.0)  4271021.0*
   181   110    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  4271068.3*
   182   111    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  4272180.5*
   183   112    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  4274605.7*
   184   113    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  4276143.2*
   185   114    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  4278681.3*
   186   115    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4280417.7*
   187   116    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  4280557.2*
   188   117    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  4280990.9*
   189   118    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  4282167.3*
   190   119    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4282594.2*
   191   120    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  4285163.0*
   192   121    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  4285500.7*
   193   122    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  4285580.7*
   194   123    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  4285945.6*
   195   124    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  4288316.4*
   196   125    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4289223.4*
   197   126    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  4291474.9*
   198   127    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  4293904.2*
   199   128    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  4294333.7*
   200   129    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  4299470.9*
   201   130    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  4306660.8*
   202   131    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4309744.7*
   203   132    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  4310946.3*
   204   133    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  4311395.2*
   205   134    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  4313231.2*
   206   135    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4318193.8*
   207   136    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4318306.3*
   208   137    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4318765.5*
   209   138    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  4320900.9*
   210   139    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  4322529.1*
   211   140    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  4329250.3*
   212   141    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  4330542.6*
   213   142    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4336067.7*
   214   143    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  4337933.9*
   215   144    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  4338050.8*
   216   145    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  4340366.6*
   217   146    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  4340798.8*
   218   147    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4343579.9*
   219   148    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  4343962.5*
   220   149    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  4344520.3*
   221   150    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  4344599.0*
