SEQ='MG'     NUCCHG=27                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 278051087.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   291866.0 
     3          2S2 2P6 3P1         (2)1( 1.5)   316289.0 
     4          2S2 2P6 3D1         (2)2( 1.5)   723251.0 
     5          2S2 2P6 3D1         (2)2( 2.5)   728686.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 282147785.7 NLVL=  1122
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   133    61    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  7221583.3*
   134    62    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  7222490.8*
   135    63    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  7223783.8*
   136    64    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  7227156.5*
   137    65    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  7234333.5*
   138    66    2S2 2P5 3P3         (3)3( 3.0)  7235947.6*
   139    67    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  7236147.8*
   140    68    2S2 2P5 3P3         (3)3( 2.0)  7237132.9*
   141    69    2S2 2P5 3P3         (1)1( 1.0)  7237843.1*
   142    70    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7241297.9*
   143    71    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  7243680.7*
   144    72    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  7244577.4*
   145    73    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7247932.0*
   146    74    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  7249674.8*
   147    75    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  7249997.8*
   148    76    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  7251834.8*
   149    77    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  7253476.6*
   150    78    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7255377.9*
